,nct_id,canonical_aact_interventions,snomed_termid,aact_snomed_term_canonical_interventions,aact_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
20288,NCT03892772,sas0421b,388350002,Swine serum albumin specific immunoglobulin E (substance),14.8045,"[106181007, 261226001]","['Immunologic substance (substance)', 'Blood component (substance)']",Immunologic substance (substance)
20289,NCT03892772,sas0421a,388350002,Swine serum albumin specific immunoglobulin E (substance),14.7287,"[106181007, 261226001]","['Immunologic substance (substance)', 'Blood component (substance)']",Immunologic substance (substance)
20290,NCT03892785,methotrexate treatment,387381009,Methotrexate (substance),9.8865,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
20291,NCT03892785,prednisone treatment,116602009,Prednisone (substance),8.7678,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20298,NCT03894826,vorinostat 100 mg,422505001,Vorinostat (substance),15.4824,"[372688009, 31414002]","['Antineoplastic agent (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
20299,NCT03896009,meloxicam,387055000,Meloxicam (substance),0.0044,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
20308,NCT03899324,"bumetanide white, oblong, scored tablet",387498005,Bumetanide (substance),13.825,"[372695000, 31414002]","['Diuretic (substance)', 'Amide (substance)']",Diuretic (substance)
20326,NCT03907046,apixaban,698090000,Apixaban (substance),0.0,"[372862008, 106205006, 31414002]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)', 'Amide (substance)']",Anticoagulant (substance)
20331,NCT03907176,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
20333,NCT03907592,l-carnitine supplementation,372601001,Levocarnitine (substance),11.7735,"[226355009, 373267003]","['Nutrients (substance)', 'Antilipemic agent (substance)']",Nutrients (substance)
20336,NCT03910088,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
20338,NCT03910088,pregabalin 100mg oral cap,415160008,Pregabalin (substance),16.4096,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
20340,NCT03910088,caffeine,255641001,Caffeine (substance),0.0059,"[418183005, 259553003]","['Psychotropic agent (substance)', 'Methylated xanthine derivative (substance)']",Psychotropic agent (substance)
20353,NCT03912428,celecoxib,116081000,Celecoxib (substance),0.0,"[300903003, 373265006, 31414002]","['Azole (substance)', 'Analgesic (substance)', 'Amide (substance)']",Azole (substance)
20356,NCT03914625,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
20357,NCT03914625,tioguanine,387407006,Tioguanine (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
20358,NCT03914625,thioguanine,387407006,Tioguanine (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
20360,NCT03914625,leucovorin calcium,126223008,Calcium folinate (substance),4.291,"[226355009, 372892004]","['Nutrients (substance)', 'Antidote (substance)']",Nutrients (substance)
20362,NCT03914625,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20363,NCT03914625,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20364,NCT03914625,prednisolone,116601002,Prednisolone (substance),0.0014,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20365,NCT03914625,cytarabine,387511003,Cytarabine (substance),0.0048,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
20366,NCT03914625,blinatumomab,716122004,Blinatumomab (substance),0.0069,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20368,NCT03914625,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
20369,NCT03914625,mercaptopurine,386835005,Mercaptopurine (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
20377,NCT03915938,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
20403,NCT03924791,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20407,NCT03926351,olive oil,41834005,Olive oil (substance),0.007,"[288841007, 226355009, 21847005]","['Patch test substance (substance)', 'Nutrients (substance)', 'Oil (substance)']",Patch test substance (substance)
20411,NCT03927313,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20416,NCT03928093,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
20425,NCT03931070,ramelteon,419878007,Ramelteon (substance),0.0044,"[418183005, 418033003]","['Psychotropic agent (substance)', 'Indan (substance)']",Psychotropic agent (substance)
20426,NCT03931161,evolocumab auto-injector [repatha],716068004,Evolocumab (substance),10.453,"[106181007, 373267003]","['Immunologic substance (substance)', 'Antilipemic agent (substance)']",Immunologic substance (substance)
20429,NCT03932669,nilotinib,427941004,Nilotinib (substance),0.0,"[372688009, 300903003]","['Antineoplastic agent (substance)', 'Azole (substance)']",Antineoplastic agent (substance)
20430,NCT03932825,nitrous oxide,111132001,Nitrous oxide (substance),0.0,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
20439,NCT03936894,canakinumab injection [ilaris],698091001,Canakinumab (substance),11.5999,"[106181007, 373244000]","['Immunologic substance (substance)', 'Immunologic agent (substance)']",Immunologic substance (substance)
20457,NCT03945279,biib100,385548008,Ibritumomab tiuxetan (substance),13.513,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20469,NCT03950076,edoxaban,712778008,Edoxaban (substance),0.0,"[372862008, 106205006]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)']",Anticoagulant (substance)
20470,NCT03950427,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
20477,NCT03952637,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20478,NCT03952637,sirolimus,387014003,Sirolimus (substance),0.0,"[372688009, 59431004, 372823004, 31414002]","['Antineoplastic agent (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
20480,NCT03952637,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
20489,NCT03955211,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
20494,NCT03956368,atorvastatin 20mg,725658002,Atorvastatin calcium trihydrate (substance),15.1037,"[373267003, 300903003]","['Antilipemic agent (substance)', 'Azole (substance)']",Antilipemic agent (substance)
20500,NCT03957499,dexamethasone/bupivacaine,734623002,Dexamethasone sodium metasulfobenzoate (substance),14.1264,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20504,NCT03957720,penicillamine,387235007,Penicillamine (substance),0.0,"[226355009, 372892004]","['Nutrients (substance)', 'Antidote (substance)']",Nutrients (substance)
20506,NCT03958396,remifentanil infusion,108376001,Remifentanil hydrochloride (substance),11.201,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
20510,NCT03958877,interferon beta type 1a,386902004,Interferon beta-1a (substance),2.1493,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20511,NCT03958877,biib017 (peginterferon beta-1a),706897007,Peginterferon beta-1a (substance),11.1764,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20519,NCT03963336,lmwh,373294004,Low molecular weight heparin (substance),9.3899,"[372862008, 106205006]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)']",Anticoagulant (substance)
20520,NCT03963336,acetazolamide,372709008,Acetazolamide (substance),0.0044,"[372695000, 31414002]","['Diuretic (substance)', 'Amide (substance)']",Diuretic (substance)
20521,NCT03963362,gla5pr tablet 75 mg,767402003,Immunoglobulin G antibody to Streptococcus pneumoniae Danish serotype 43 (substance),15.832,"[106181007, 261226001]","['Immunologic substance (substance)', 'Blood component (substance)']",Immunologic substance (substance)
20523,NCT03963375,cladribine,386916009,Cladribine (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
20527,NCT03965871,esketamine dpi - high dose,1217154004,Esketamine hydrochloride (substance),13.5158,"[373288007, 59431004, 418183005, 373265006]","['General anesthetic (substance)', 'Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",General anesthetic (substance)
20528,NCT03965871,esketamine dpi - low dose,1217154004,Esketamine hydrochloride (substance),13.554,"[373288007, 59431004, 418183005, 373265006]","['General anesthetic (substance)', 'Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",General anesthetic (substance)
20529,NCT03965871,esketamine dpi - medium dose,1217154004,Esketamine hydrochloride (substance),13.7718,"[373288007, 59431004, 418183005, 373265006]","['General anesthetic (substance)', 'Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",General anesthetic (substance)
20537,NCT03970798,caffeine,255641001,Caffeine (substance),0.0059,"[418183005, 259553003]","['Psychotropic agent (substance)', 'Methylated xanthine derivative (substance)']",Psychotropic agent (substance)
20538,NCT03970798,rosuvastatin,700067006,Rosuvastatin (substance),0.0,"[373267003, 31414002]","['Antilipemic agent (substance)', 'Amide (substance)']",Antilipemic agent (substance)
20539,NCT03970798,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
20545,NCT03971487,ocrelizumab infusion,733464008,Ocrelizumab (substance),9.084,"[106181007, 373244000]","['Immunologic substance (substance)', 'Immunologic agent (substance)']",Immunologic substance (substance)
20555,NCT03974932,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
20559,NCT03974932,celecoxib,116081000,Celecoxib (substance),0.0,"[300903003, 373265006, 31414002]","['Azole (substance)', 'Analgesic (substance)', 'Amide (substance)']",Azole (substance)
20560,NCT03975829,dabrafenib,703641001,Dabrafenib (substance),0.0063,"[372688009, 31414002]","['Antineoplastic agent (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
20561,NCT03975829,trametinib,708711009,Trametinib (substance),0.0,"[74947009, 31414002]","['Gaseous substance (substance)', 'Amide (substance)']",Gaseous substance (substance)
20562,NCT03976349,biib094,385548008,Ibritumomab tiuxetan (substance),13.8993,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20563,NCT03977441,agomelatine or piacebo,698012009,Agomelatine (substance),10.0485,"[418183005, 31414002]","['Psychotropic agent (substance)', 'Amide (substance)']",Psychotropic agent (substance)
20564,NCT03977584,crenezumab,716125002,Pembrolizumab (substance),10.6911,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20574,NCT03978442,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
20579,NCT03979456,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
20584,NCT03980938,neflamapimod,386941002,Imiquimod (substance),11.2412,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
20589,NCT03983018,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
20590,NCT03983031,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
20605,NCT03987893,lactulose,273945008,Lactulose (substance),0.0,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
20609,NCT03988907,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
20615,NCT03990909,microcrystalline cellulose,68992005,Cellulose (substance),8.9559,"[372800002, 226355009]","['Laxative (substance)', 'Nutrients (substance)']",Laxative (substance)
20625,NCT03993457,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
20629,NCT03996148,"remifentanil, propofol, and desflurane",386839004,Remifentanil (substance),14.5688,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
20630,NCT03996148,"remifentanil, dexmedetomidine, and desflurane",437750002,Dexmedetomidine (substance),14.3746,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
20631,NCT03996148,remifentanil and desflurane,386839004,Remifentanil (substance),13.9301,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
20632,NCT03996772,dabigatran,698871007,Dabigatran (substance),0.0087,"[372862008, 106205006]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)']",Anticoagulant (substance)
20633,NCT03996772,apixaban oral tablet,698090000,Apixaban (substance),14.1892,"[372862008, 106205006, 31414002]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)', 'Amide (substance)']",Anticoagulant (substance)
20634,NCT03996772,edoxaban tablets,712778008,Edoxaban (substance),12.1309,"[372862008, 106205006]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)']",Anticoagulant (substance)
20635,NCT03996772,rivaroxaban,442031002,Rivaroxaban (substance),0.0,"[372862008, 106205006, 31414002]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)', 'Amide (substance)']",Anticoagulant (substance)
20644,NCT03999164,[18f]dpa-714 positron emission tomography scan,396024004,Diethylamine (14-C) aminopyrine (substance),15.1781,"[300903003, 89457008]","['Azole (substance)', 'Radioactive isotope (substance)']",Azole (substance)
20648,NCT04000919,5htp,33635003,Serotonin (substance),10.251,"[106181007, 300903003]","['Immunologic substance (substance)', 'Azole (substance)']",Immunologic substance (substance)
20663,NCT04006054,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
20664,NCT04006054,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
20666,NCT04006925,sodium oxybate,410917003,Sodium oxybate (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
20695,NCT04015479,peanut protein powder,417889008,Arachis oil (substance),11.367,"[226355009, 21847005]","['Nutrients (substance)', 'Oil (substance)']",Nutrients (substance)
20698,NCT04016740,remifentanil,386839004,Remifentanil (substance),0.0,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
20701,NCT04016740,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
20704,NCT04016740,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
20709,NCT04018157,"""ketamine"" and ""dexmedetomidine"" and ""propofol"" and ""0.9%saline""",437750002,Dexmedetomidine (substance),15.2449,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
20713,NCT04020588,celecoxib 200mg,116081000,Celecoxib (substance),13.6672,"[300903003, 373265006, 31414002]","['Azole (substance)', 'Analgesic (substance)', 'Amide (substance)']",Azole (substance)
20716,NCT04021121,high dose rif,768973004,Rifamycin (substance),11.8251,"[2537003, 31414002]","['Antituberculosis agent (substance)', 'Amide (substance)']",Antituberculosis agent (substance)
20717,NCT04021121,standard dose rif,768973004,Rifamycin (substance),11.3346,"[2537003, 31414002]","['Antituberculosis agent (substance)', 'Amide (substance)']",Antituberculosis agent (substance)
20718,NCT04021121,lzd,66322002,Dextran 40 (substance),13.864,"[373545003, 226355009]","['Replacement agent (substance)', 'Nutrients (substance)']",Replacement agent (substance)
20722,NCT04022473,monomethyl fumarate,1010557002,Monomethyl fumarate (substance),0.002,"[431070007, 372823004]","['Fumarate (substance)', 'Immunosuppressant (substance)']",Fumarate (substance)
20724,NCT04023669,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
20725,NCT04023669,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
20727,NCT04023669,gemcitabine,386920008,Gemcitabine (substance),0.0059,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
20728,NCT04023669,pegfilgrastim,385544005,Pegfilgrastim (substance),0.0,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
20731,NCT04025554,anakinra,385549000,Anakinra (substance),0.0081,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
20740,NCT04028596,paracetamol,387517004,Paracetamol (substance),0.0,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
20741,NCT04028596,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
20742,NCT04029831,propofol and ketamine mixture (ketofol),136501000146105,Piketoprofen (substance),13.3026,"[59431004, 373265006]","['Ketone (substance)', 'Analgesic (substance)']",Ketone (substance)
20748,NCT04032301,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
20749,NCT04032626,lenalidomide 10 mg,421471009,Lenalidomide (substance),14.1101,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
20768,NCT04042753,nivolumab,704191007,Nivolumab (substance),0.0,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20769,NCT04042753,ipilimumab,697995005,Ipilimumab (substance),0.0,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
20771,NCT04043338,xc130-a10h,116932004,Hepatitis C virus recombinant protein C 100-3 antibody (substance),14.6075,"[106181007, 407073003]","['Immunologic substance (substance)', 'Recombinant protein (substance)']",Immunologic substance (substance)
20775,NCT04044131,sorbitol,19839007,Sorbitol (substance),0.0,"[372800002, 226355009]","['Laxative (substance)', 'Nutrients (substance)']",Laxative (substance)
20790,NCT04048096,krill oil,726756003,Krill oil (substance),0.0,"[226355009, 21847005]","['Nutrients (substance)', 'Oil (substance)']",Nutrients (substance)
20791,NCT04048577,dosing interruption of natalizumab,414805007,Natalizumab (substance),12.5711,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
20804,NCT04051320,leuprolide acetate 3.75 mg/ml,397198002,Leuprorelin (substance),15.548,"[372688009, 49869009]","['Antineoplastic agent (substance)', 'Gonadotropin releasing factor (substance)']",Antineoplastic agent (substance)
20805,NCT04051320,micronized progesterone,769098005,Medrogestone (substance),10.3547,"[304275008, 419430000]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Synthetic progestogen (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20815,NCT04054960,levodopa tablet,292266007,Levodopa adverse reaction (disorder),14.0762,"[876800006, 876799007]","['Adverse reaction to carbidopa and/or levodopa (disorder)', 'Adverse reaction to benserazide and/or levodopa (disorder)']",Adverse reaction to carbidopa and/or levodopa (disorder)
20828,NCT04058899,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
20830,NCT04059978,remifentanil,386839004,Remifentanil (substance),0.0,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
20835,NCT04060771,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20837,NCT04062019,aldesleukin,386917000,Aldesleukin (substance),0.0034,"[372688009, 106181007, 407073003]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Recombinant protein (substance)']",Antineoplastic agent (substance)
20838,NCT04062019,human interleukin-2,897192009,Recombinant interleukin 2 (substance),3.6165,"[372688009, 106181007, 407073003]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Recombinant protein (substance)']",Antineoplastic agent (substance)
20849,NCT04066244,blz945,716122004,Blinatumomab (substance),13.8437,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20852,NCT04070378,daratumumab injection,716016006,Daratumumab (substance),10.3727,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20859,NCT04070833,fish oil,735341005,Fish oil (substance),0.0081,"[226355009, 21847005]","['Nutrients (substance)', 'Oil (substance)']",Nutrients (substance)
20864,NCT04071639,zoloft 50mg tablet,387569009,Zolpidem (substance),14.8518,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
20866,NCT04072354,sep-363856 75mg,395894004,Tauroselcholic acid (75-Se) (substance),14.8453,"[89457008, 767399004]","['Radioactive isotope (substance)', 'Selenium and/or selenium compound (substance)']",Radioactive isotope (substance)
20875,NCT04073290,lactulose 667 milligram/milliliter oral solution,273945008,Lactulose (substance),16.1405,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
20881,NCT04074785,bevacizumab,409406007,Bevacizumab (substance),0.0039,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20884,NCT04075266,ocrelizumab,733464008,Ocrelizumab (substance),0.0,"[106181007, 373244000]","['Immunologic substance (substance)', 'Immunologic agent (substance)']",Immunologic substance (substance)
20898,NCT04076826,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
20914,NCT04082728,metamizole,780831000,Metamizole (substance),0.0039,"[300903003, 373265006]","['Azole (substance)', 'Analgesic (substance)']",Azole (substance)
20917,NCT04082858,ketamine,373464007,Ketamine (substance),0.0014,"[59431004, 418183005, 373265006]","['Ketone (substance)', 'Psychotropic agent (substance)', 'Analgesic (substance)']",Ketone (substance)
20918,NCT04082858,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
20929,NCT04085887,panitumumab-irdye800,423259008,Panitumumab (substance),9.3458,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20941,NCT04089852,nitrous oxide gas for inhalation,111132001,Nitrous oxide (substance),9.0923,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
20950,NCT04091932,pembrolizumab,716125002,Pembrolizumab (substance),0.0,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
20951,NCT04092686,sep-363856 75mg,395894004,Tauroselcholic acid (75-Se) (substance),14.8453,"[89457008, 767399004]","['Radioactive isotope (substance)', 'Selenium and/or selenium compound (substance)']",Radioactive isotope (substance)
20981,NCT04102267,bupivacaine liposome injectable suspension,426952001,Morphine sulfate liposome (substance),13.4963,"[414612001, 373265006]","['Liposomal agent (substance)', 'Analgesic (substance)']",Liposomal agent (substance)
20984,NCT04102956,kallikrein,66587009,Kallikrein (substance),0.0,"[261226001, 106205006]","['Blood component (substance)', 'Hemostasis related substance (substance)']",Blood component (substance)
20988,NCT04103684,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
20989,NCT04104399,xc101-d13h,116932004,Hepatitis C virus recombinant protein C 100-3 antibody (substance),14.0905,"[106181007, 407073003]","['Immunologic substance (substance)', 'Recombinant protein (substance)']",Immunologic substance (substance)
20994,NCT04106050,biib074,385548008,Ibritumomab tiuxetan (substance),13.764,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
21006,NCT04110535,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
