,nct_id,linkbert_snomed_term_canonical_conditions,linkbert_top_concept_canonical_first_conditions
16031,NCT05106686,Sarcopenia (disorder),Degenerative disorder of muscle (disorder)
16032,NCT05107128,Huntington's chorea (disorder),Chronic mental disorder (disorder)
16033,NCT05107752,"Posttraumatic stress disorder (disorder)|Posttraumatic stress disorder, delayed onset (disorder)|Treatment",Anxiety disorder (disorder)|Treatment
16034,NCT05108922,"Alzheimer's disease (disorder)|Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",Alzheimer's disease (disorder)|Presenile dementia (disorder)
16035,NCT05109091,Multiple system atrophy (disorder),Disorder of autonomic nervous system (disorder)
16036,NCT05109169,Alzheimer's disease (disorder)|Cognitive disorder (disorder)|Dementia (disorder)|Diabetes mellitus (disorder),Alzheimer's disease (disorder)|Cognitive disorder (disorder)|Dementia (disorder)|Disorder of glucose metabolism (disorder)
16037,NCT05109312,Abdominoplasty|Loosening of total shoulder replacement (disorder),Abdominoplasty|Mechanical complication of device (disorder)
16038,NCT05109364,Parkinson's disease (disorder)|Young onset Parkinson disease (disorder),Parkinsonism (disorder)
16039,NCT05109377,Erectile dysfunction (disorder),Sexual disorder (disorder)
16040,NCT05110157,Schizophrenia (disorder),Schizophrenia (disorder)
16041,NCT05110417,Bont|Bont) injections|Botulinum neurotoxin laryngeal chemo-denervation|Laryngeal botulinum neurotoxin (|Afterimage (disorder)|Receptive dysphasia (disorder)|Spastic dysphonia (disorder),Bont|Bont) injections|Botulinum neurotoxin laryngeal chemo-denervation|Laryngeal botulinum neurotoxin (|Visual disturbance (disorder)|Communication disorder (disorder)|Dystonia (disorder)
16042,NCT05111821,Iron|Secondary cerebellar degeneration (disorder)|Secondary vitreoretinal degeneration (disorder)|Cerebrovascular accident (disorder),Iron|Cerebellar disorder (disorder)|Disorder of connective tissue (disorder)|Cerebrovascular accident (disorder)
16043,NCT05113628,Vagus nerve laryngeal paralysis (disorder)|Malignant tumor of thyroid gland (disorder)|Congenital absence of half of thyroid (disorder),Disorder of autonomic nervous system (disorder)|Disorder of endocrine system (disorder)
16044,NCT05113745,Cataplexy (disorder)|Excessive day and night-time sleepiness (disorder)|Narcolepsy (disorder),Cataplexy (disorder)|Sleep disorder (disorder)
16045,NCT05113953,Binge eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
16046,NCT05114941,Guillain-Barré syndrome (disorder),Autoimmune disease (disorder)
16047,NCT05116540,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
16048,NCT05116813,Levodopa|Parkinson's disease (disorder)|Pd,Levodopa|Parkinsonism (disorder)|Pd
16049,NCT05116878,Acoustic neuroma (disorder)|Avulsion - injury (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)|Avulsion - injury (disorder)
16050,NCT05116930,Accidental puncture of dura (disorder)|Post dural puncture headache (disorder)|Puncture wound - injury (disorder),Wound (disorder)|Headache disorder (disorder)
16051,NCT05117034,Acute headache due to craniotomy (disorder)|Postoperative nausea (disorder)|Cut of head (disorder),Complication of surgical procedure (disorder)|Perioperative complication (disorder)|Wound (disorder)
16052,NCT05117112,Sarcopenia (disorder),Degenerative disorder of muscle (disorder)
16053,NCT05117281,Inanition (disorder)|Inguinal hernia (disorder),Nutritional disorder (disorder)|Hernia of anterior abdominal wall (disorder)
16054,NCT05117632,Major depressive disorder (disorder)|Posttraumatic stress disorder (disorder),Depressive disorder (disorder)|Anxiety disorder (disorder)
16055,NCT05118204,Opioid withdrawal syndrome (disorder),Opioid withdrawal syndrome (disorder)
16056,NCT05118906,Binge eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
16057,NCT05118997,Intracerebral and|Intracranial hematoma (disorder)|Ventricular hemorrhage (disorder),Intracerebral and|Intracranial hemorrhage (disorder)
16058,NCT05119075,Interictal behavior disorder (disorder)|Parkinson's disease (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)|Parkinsonism (disorder)
16059,NCT05119894,Schizophrenia (disorder),Schizophrenia (disorder)
16060,NCT05120505,Behavioral syndrome associated with physiological disturbance and physical factors (disorder)|Fragile X syndrome (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)|Congenital malformation (disorder)
16061,NCT05120960,"Metastatic malignant neoplasm to brain (disorder)|Neoplasm of brain (disorder)|Non-small cell lung cancer, positive for epidermal growth factor receptor expression (disorder)|Resistance to antineoplastic drug (disorder)|Non-small cell lung cancer with mutation in epidermal growth factor receptor (disorder)|Glioblastoma multiforme (disorder)|Functional defects of methionine synthase (disorder)|Hypertension due to gain-of-function mutation in mineralocorticoid receptor (disorder)|Non-small cell lung cancer (disorder)|Glioblastoma multiforme of brain (disorder)|Decreased drug resistance (disorder)",Neoplastic disease (disorder)|Disorder of respiratory system (disorder)|Drug resistance (disorder)|Disorder of amino acid metabolism (disorder)|Autosomal dominant hereditary disorder (disorder)
16062,NCT05121324,Active|Seizure disorder (disorder),Active|Seizure disorder (disorder)
16063,NCT05121831,Major depressive disorder (disorder),Depressive disorder (disorder)
16064,NCT05122559,Progressive multiple sclerosis (disorder),Chronic nervous system disorder (disorder)
16065,NCT05122650,Essential tremor (disorder)|Moderate proteinuric hypertension of pregnancy (disorder),Essential tremor (disorder)|Disorder of pregnancy (disorder)
16066,NCT05122949,Disorder of nervous system (disorder),Disorder of nervous system (disorder)
16067,NCT05123092,Chronic pain syndrome (disorder)|Accidental rupture of dural mater (disorder)|Iatrogenic lumbar spinal stenosis (disorder)|Sacralization of lumbar vertebra (disorder)|Postoperative complication (disorder),Chronic pain syndrome (disorder)|Accidental injury (disorder)|Iatrogenic lumbar spinal stenosis (disorder)|Congenital malformation (disorder)|Perioperative complication (disorder)
16068,NCT05123703,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
16069,NCT05124067,Disorder of teeth AND/OR supporting structures (disorder)|Loss of teeth due to extraction (disorder)|Postoperative nausea and vomiting (disorder),Disorder of upper digestive tract (disorder)
16070,NCT05125081,Presbycusis (disorder)|Dhat (disorder),Hearing loss (disorder)|Dhat (disorder)
16071,NCT05125302,Headache disorder (disorder)|Migraine (disorder)|Migraine without aura (disorder),Headache disorder (disorder)|Disorder of blood vessel (disorder)
16072,NCT05126238,Stress reaction with psychomotor agitation (disorder)|Cerebral ischemia (disorder)|Disorder of carotid artery (disorder)|Transection of carotid artery (disorder)|Delirium (disorder)|Cognitive dysfunction following surgical procedure (disorder)|Cerebrovascular accident (disorder)|Dissection of carotid artery (disorder),Adjustment disorder (disorder)|Disorder of blood vessel (disorder)|Soft tissue injury (disorder)|Confusional state (disorder)|Perioperative complication (disorder)|Cerebrovascular accident (disorder)
16073,NCT05126264,Extraction|Inflammatory disorder (disorder)|Complete avulsion of tooth (disorder)|Fusion of mandibular incisor teeth (disorder)|Open bite (disorder)|Postoperative complication (disorder)|Lymphadenopathy (disorder)|Congenital ankylosis of temporomandibular joint (disorder),Extraction|Inflammatory disorder (disorder)|Disorder of upper digestive tract (disorder)|Perioperative complication (disorder)|Disorder of lymphatic system (disorder)|Congenital malformation (disorder)
16074,NCT05126693,Cerebral palsy (disorder)|Laxity of ligament (disorder)|Spastic cerebral palsy (disorder)|Spastic syndrome (disorder),Paralytic syndrome (disorder)|Disorder of connective tissue (disorder)|Spastic syndrome (disorder)
16075,NCT05126758,Duchenne muscular dystrophy (disorder)|Disorder of skeletal muscle (disorder),Congenital malformation (disorder)|Disorder of skeletal muscle (disorder)
16076,NCT05126888,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
16077,NCT05127226,Angelman syndrome (disorder),Congenital malformation (disorder)
16078,NCT05127369,Depressive disorder (disorder),Depressive disorder (disorder)
16079,NCT05127486,Episodic migraine (disorder)|Migraine (disorder),Disorder of blood vessel (disorder)
16080,NCT05127694,Benign paroxysmal positional vertigo (disorder)|Psychogenic vertigo (disorder),"Ear, nose and throat disorder (disorder)|Bodily distress disorder (disorder)"
16081,NCT05127954,Headache disorder (disorder)|Migraine (disorder)|Migraine without aura (disorder),Headache disorder (disorder)|Disorder of blood vessel (disorder)
16082,NCT05128162,Chronic pain syndrome (disorder)|Fibromyalgia (disorder),Chronic pain syndrome (disorder)|Fibromyalgia (disorder)
16083,NCT05128292,Disorder of cardiovascular system (disorder)|Chronic fatigue syndrome (disorder)|Psychogenic fatigue (disorder)|Latah (disorder),Disorder of cardiovascular system (disorder)|Chronic nervous system disorder (disorder)|Bodily distress disorder (disorder)|Latah (disorder)
16084,NCT05128305,Ascites (disorder)|Chronic type B viral hepatitis (disorder)|Cirrhosis of liver (disorder)|Hepatic coma due to chronic hepatitis B (disorder)|Disorder of brain (disorder)|Hepatic encephalopathy (disorder)|Portal hypertension (disorder)|Partial portal-systemic vascular shunt (disorder)|Upper gastrointestinal hemorrhage (disorder),Ascites (disorder)|Disorder of digestive organ (disorder)|Coma (disorder)|Disorder of brain (disorder)|Metabolic encephalopathy (disorder)|Disorder of blood vessel (disorder)|Fistula (disorder)|Disorder of gastrointestinal tract (disorder)
16085,NCT05128344,Cryptogenic late-onset epileptic spasms (disorder)|Newly diagnosed diabetes (disorder),Seizure disorder (disorder)|Disorder of glucose metabolism (disorder)
16086,NCT05128903,Inflammatory disorder (disorder)|Injury caused by ionizing radiation (disorder)|Encephalopathy caused by radiation damage (disorder)|Radiation injury of brain caused by ionizing radiation following radiotherapy procedure (disorder)|Cervical rib (disorder),Inflammatory disorder (disorder)|Injury caused by ionizing radiation (disorder)|Traumatic brain injury (disorder)|Congenital malformation (disorder)
16087,NCT05129020,Neonatal|Opioid withdrawal syndrome (disorder),Neonatal|Opioid withdrawal syndrome (disorder)
16088,NCT05130866,Familial multiple benign meningioma (disorder),Familial disease (disorder)
16089,NCT05131295,Subarachnoid intracranial hemorrhage (disorder)|Spasm of cerebral arteries (disorder),Intracranial hemorrhage (disorder)|Disorder of blood vessel (disorder)
16090,NCT05131828,Multiple sclerosis (disorder)|Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
16091,NCT05132569,Generalized myasthenia (disorder)|Generalized moderate acute periodontitis (disorder)|Myasthenia gravis (disorder),Autoimmune disease (disorder)|Disorder of upper digestive tract (disorder)
16092,NCT05132699,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
16093,NCT05133323,Migraine (disorder),Disorder of blood vessel (disorder)
16094,NCT05133804,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)|Disorder of sleep-wake cycle (disorder)|Posttraumatic stress disorder (disorder)",Disorders of attention and motor control (disorder)|Sleep disorder (disorder)|Anxiety disorder (disorder)
16095,NCT05134441,Progressive relapsing multiple sclerosis (disorder),Multiple sclerosis (disorder)
16096,NCT05136885,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
16097,NCT05137678,Subarachnoid hemorrhage from anterior cerebral artery aneurysm (disorder)|Intracranial subarachnoid hemorrhage due to ruptured aneurysm (disorder)|Asah,Intracranial hemorrhage (disorder)|Asah
16098,NCT05137938,Dissociative convulsions (disorder)|Depressive disorder (disorder)|Major depressive disorder (disorder)|Therapy|Treatment resistant depression (disorder),Seizure disorder (disorder)|Depressive disorder (disorder)|Therapy
16099,NCT05140863,Postherpetic neuralgia (disorder),Postinfectious neuralgia (disorder)
16100,NCT05141877,Cut of head (disorder)|Primary malignant neoplasm of brain (disorder)|Neoplastic disease (disorder),Wound (disorder)|Neoplastic disease (disorder)
16101,NCT05142085,Parkinson's disease (disorder)|Pd,Parkinsonism (disorder)|Pd
16102,NCT05142228,Pain|Trigeminal neuralgia (disorder),Pain|Cranial neuralgia (disorder)
16103,NCT05143528,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)|Early onset Alzheimer's disease with behavioral disturbance (disorder)",Presenile dementia (disorder)
16104,NCT05143762,Avulsion of tonsil (disorder)|Pain|Postoperative nausea and vomiting (disorder),"Ear, nose and throat disorder (disorder)|Pain|Disorder of upper digestive tract (disorder)"
16105,NCT05145361,Aquaporin-4 antibody (aqp4-igg) positive|Polyneuropathy associated with monoclonal immunoglobulin M antibodies to myelin-associated glycoprotein (disorder)|Neuromyelitis optica (disorder),Aquaporin-4 antibody (aqp4-igg) positive|Peripheral nerve disease (disorder)|Disorder of optic nerve (disorder)
16106,NCT05145413,Cyclothymia in remission (disorder)|Schizophrenia (disorder),Disorder in remission (disorder)|Schizophrenia (disorder)
16107,NCT05145452,Autonomic neuropathy (disorder)|Neuropathy due to diabetes mellitus (disorder)|Impaired glucose tolerance (disorder)|Neuropathy (disorder)|Axonal sensorimotor neuropathy (disorder)|Diabetes mellitus type 2 (disorder),Disorder of autonomic nervous system (disorder)|Disorder of nervous system due to diabetes mellitus (disorder)|Disorder of glucose regulation (disorder)|Neuropathy (disorder)|Idiopathic disease (disorder)|Disorder of glucose metabolism (disorder)
16108,NCT05145881,Alzheimer's disease (disorder)|Amnestic mild cognitive disorder (disorder),Alzheimer's disease (disorder)|Cognitive disorder (disorder)
16109,NCT05146089,Hypoxia (disorder),Disorder of respiratory system (disorder)
16110,NCT05146245,Pervasive developmental disorder (disorder)|Disruptive behavior disorder (disorder),Developmental mental disorder (disorder)
16111,NCT05146284,Adrenoleukodystrophy (disorder)|Adrenomyeloneuropathy (disorder),Disorder of endocrine system (disorder)
16112,NCT05146570,Aseptic meningitis (disorder)|Infection associated with device (disorder)|Meningitis caused by Adenovirus (disorder)|Meningitis (disorder)|Native|Native and|Meningitis caused by La Crosse virus (disorder)|Sepsis (disorder)|Infective meningitis (disorder),Meningitis (disorder)|Infectious disease (disorder)|Native|Native and|Sepsis (disorder)
16113,NCT05146739,"Acute myeloid leukemia (disorder)|Malignant neoplastic disease (disorder)|E-selectin|Leukemia, disease (disorder)|Mixed phenotype acute leukemia (disorder)|Myelodysplastic syndrome (disorder)|Refractory malignant neoplastic disease (disorder)|Recurrent disease (disorder)",Myeloproliferative disorder (disorder)|Neoplastic disease (disorder)|E-selectin|Recurrent disease (disorder)
16114,NCT05146921,Constipation - functional (disorder)|Parkinson's disease (disorder)|Symp,Disorder of digestive organ (disorder)|Parkinsonism (disorder)|Symp
16115,NCT05147701,Disorder of eye proper (disorder),Disorder of eye region (disorder)
16116,NCT05147779,Erectile dysfunction (disorder)|Chronic interstitial cystitis (disorder)|Induratio penis plastica (disorder),Sexual disorder (disorder)|Disorder of the genitourinary system (disorder)
16117,NCT05148403,Cerebral edema (disorder)|Traumatic brain injury (disorder)|Late effect of traumatic injury to brain (disorder)|Major head injury (disorder),Disorder characterized by edema (disorder)|Traumatic brain injury (disorder)|Late effect of injury (disorder)|Major head injury (disorder)
16118,NCT05148715,Delayed renal graft function (disorder)|Disorder of nervous system (disorder),Disorder of the genitourinary system (disorder)|Disorder of nervous system (disorder)
16119,NCT05151601,Pervasive developmental disorder (disorder),Developmental mental disorder (disorder)
16120,NCT05152290,Spinal cord injury (disorder),Spinal cord disorder (disorder)
16121,NCT05152368,Disorder of the peripheral nervous system (disorder)|Trigeminal neuralgia (disorder),Disorder of the peripheral nervous system (disorder)|Cranial neuralgia (disorder)
16122,NCT05152394,Parkinson's disease (disorder),Parkinsonism (disorder)
16123,NCT05153434,Prader-Willi syndrome (disorder),Disorder of endocrine system (disorder)
16124,NCT05154734,Neuromyelitis optica (disorder)|Nmo,Disorder of optic nerve (disorder)|Nmo
16125,NCT05155137,Cognitive disorder (disorder)|Cryptogenic stroke (disorder)|Cerebrovascular accident (disorder),Cognitive disorder (disorder)|Cerebrovascular accident (disorder)
16126,NCT05156047,Excessive day and night-time sleepiness (disorder)|Idiopathic hypersomnia (disorder),Sleep disorder (disorder)|Idiopathic disease (disorder)
16127,NCT05156320,Adult spinal muscular atrophy (disorder)|Motor neuron disease (disorder)|Spinal muscular atrophy (disorder),Motor neuron disease (disorder)
16128,NCT05156398,Episodic migraine (disorder)|Migraine (disorder),Disorder of blood vessel (disorder)
16129,NCT05158101,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
16130,NCT05158166,Adduct|Adductor spastic dysphonia (disorder)|Spastic dysphonia (disorder),Adduct|Dystonia (disorder)
16131,NCT05158296,Non-distal trisomy 13q (disorder)|Retinitis pigmentosa (disorder),Chromosomal disorder (disorder)|Disorder of eye region (disorder)
16132,NCT05158439,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
16133,NCT05159219,Cerebral hemorrhage (disorder)|Atherosclerosis of artery (disorder)|Traumatic or nontraumatic brain injury (disorder)|Cardiovascular morbidity (disorder)|Events|Ich|Spontaneous intracranial hemorrhage (disorder)|Disorder of blood vessel (disorder),Intracranial hemorrhage (disorder)|Disorder of blood vessel (disorder)|Traumatic or nontraumatic brain injury (disorder)|Cardiovascular morbidity (disorder)|Events|Ich
16134,NCT05159687,Psychogenic syncope (disorder)|Near syncope (disorder)|Recurrent ventricular tachycardia (disorder),Acute nervous system disorder (disorder)|Near syncope (disorder)|Heart disease (disorder)
16135,NCT05159947,Ischemic stroke (disorder),Cerebrovascular accident (disorder)
16136,NCT05160350,Drug resistance (disorder)|Drug resistance to anti-seizure medication (disorder)|Epilepsy (disorder)|Seizure disorder (disorder),Drug resistance (disorder)|Seizure disorder (disorder)
16137,NCT05160558,Azorean disease (disorder),Spinal cord disorder (disorder)
16138,NCT05161871,Headache disorder (disorder)|Migraine (disorder)|Pain,Headache disorder (disorder)|Disorder of blood vessel (disorder)|Pain
16139,NCT05161975,Injury of ankle (disorder)|Traumatic or non-traumatic injury (disorder)|Muscle atrophy (disorder),Injury of ankle (disorder)|Traumatic or non-traumatic injury (disorder)|Degenerative disorder of muscle (disorder)
16140,NCT05162638,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
16141,NCT05162768,Distal nebulin myopathy (disorder)|Nuclear dna mutations|Mitochondrial cytopathy (disorder)|Pure mitochondrial myopathy (disorder),Degenerative disorder of muscle (disorder)|Nuclear dna mutations|Mitochondrial cytopathy (disorder)
16142,NCT05163288,"Niemann-Pick disease, type C (disorder)",Hereditary metabolic disease (disorder)
16143,NCT05163496,Physical AND emotional exhaustion state (disorder)|Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)|Depressive disorder (disorder),Anxiety disorder (disorder)|Infectious disease (disorder)|Depressive disorder (disorder)
16144,NCT05163808,Fragile X syndrome (disorder),Congenital malformation (disorder)
16145,NCT05163886,Autosomal dominant amyotrophic lateral sclerosis type 1 (disorder)|Amyotrophic lateral sclerosis type 9 (disorder),Motor neuron disease (disorder)
16146,NCT05164003,Sequelae of cerebral infarction (disorder)|Spastic monoplegia of upper limb (disorder),Late effect of injury (disorder)|Paralytic syndrome (disorder)
16147,NCT05164055,Glycogen storage disease due to acid maltase deficiency (disorder),Hereditary metabolic disease (disorder)
16148,NCT05164172,Transformed migraine (disorder),Disorder of blood vessel (disorder)
16149,NCT05165394,Depressive disorder (disorder)|Major depressive disorder (disorder),Depressive disorder (disorder)
16150,NCT05165836,Postoperative nausea (disorder)|Arthrofibrosis of joint of shoulder region (disorder),Perioperative complication (disorder)|Disorder of skeletal system (disorder)
16151,NCT05166031,Poliomyelomalacia (disorder),Spinal cord disorder (disorder)
16152,NCT05166161,Phenylketonuria (disorder),Hereditary metabolic disease (disorder)
16153,NCT05167370,Neoplasm of brain (disorder)|High risk proliferative retinopathy due to diabetes mellitus (disorder)|Infectious disease (disorder),Neoplastic disease (disorder)|Disorder of eye region (disorder)|Infectious disease (disorder)
16154,NCT05167721,Multiple system atrophy (disorder),Disorder of autonomic nervous system (disorder)
16155,NCT05167760,Oculomotor nerve synkinesis (disorder),Peripheral nerve disease (disorder)
16156,NCT05168007,Acute psychosis (disorder)|Schizophrenia (disorder),Acute psychosis (disorder)|Schizophrenia (disorder)
16157,NCT05168280,Cut of head (disorder)|Delirium (disorder)|Neurological complication of procedure (disorder),Wound (disorder)|Confusional state (disorder)|Neurological complication of procedure (disorder)
16158,NCT05168475,Aav|Anti-neutrophil cytoplasmic antibody|Antineutrophil cytoplasmic antibody positive vasculitis (disorder)|Refractory migraine without aura (disorder)|Hypocomplementemic urticarial vasculitis (disorder)|Vasculitis (disorder),Aav|Anti-neutrophil cytoplasmic antibody|Disorder of blood vessel (disorder)|Inflammation of skin and/or subcutaneous tissue (disorder)
16159,NCT05168735,Depressive disorder (disorder),Depressive disorder (disorder)
16160,NCT05168774,Advanced retinal disease (disorder)|Friedreich ataxia (disorder)|Functional visual loss (disorder),Disorder of eye region (disorder)|Spinal cord disorder (disorder)|Visual disturbance (disorder)
16161,NCT05169021,"Cardiovascular morbidity (disorder)|Small vessel cerebrovascular disease (disorder)|Cerebrovascular disease (disorder)|Hyperhomocysteinemia (disorder)|Hypertensive disorder, systemic arterial (disorder)|Cerebrovascular accident (disorder)","Cardiovascular morbidity (disorder)|Small vessel cerebrovascular disease (disorder)|Cerebrovascular disease (disorder)|Disorder of amino acid metabolism (disorder)|Hypertensive disorder, systemic arterial (disorder)|Cerebrovascular accident (disorder)"
16162,NCT05169060,Diabetes mellitus (disorder)|Neuropathy due to diabetes mellitus (disorder)|Peripheral neuropathy due to diabetes mellitus (disorder)|Diabetes mellitus type 2 (disorder),Disorder of glucose metabolism (disorder)|Disorder of nervous system due to diabetes mellitus (disorder)
16163,NCT05169450,Ischemic stroke (disorder),Cerebrovascular accident (disorder)
16164,NCT05170464,Moderate mood disorder (disorder),Moderate mood disorder (disorder)
16165,NCT05172128,Alzheimer's disease (disorder)|Mild neurocognitive disorder (disorder),Alzheimer's disease (disorder)|Cognitive disorder (disorder)
16166,NCT05172947,Diabetes mellitus (disorder)|Neuropathy due to diabetes mellitus (disorder)|Chronic painful neuropathy due to diabetes mellitus (disorder)|Cranial neuralgia (disorder)|Neuropathy (disorder)|Neurological pain disorder (disorder),Disorder of glucose metabolism (disorder)|Disorder of nervous system due to diabetes mellitus (disorder)|Cranial neuralgia (disorder)|Neuropathy (disorder)|Neurological pain disorder (disorder)
16167,NCT05173012,Essential tremor (disorder),Essential tremor (disorder)
16168,NCT05173701,Parkinson's disease (disorder),Parkinsonism (disorder)
16169,NCT05173831,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
16170,NCT05173896,Small vessel cerebrovascular disease (disorder),Small vessel cerebrovascular disease (disorder)
16171,NCT05174559,Dihydropteridine reductase deficiency (disorder)|Phenylalanine|Bodily distress disorder (disorder),Hereditary metabolic disease (disorder)|Phenylalanine|Bodily distress disorder (disorder)
16172,NCT05175521,Migraine with aura (disorder)|Episodic migraine (disorder)|Functional nausea (disorder),Disorder of blood vessel (disorder)|Disorder of gastrointestinal tract (disorder)
16173,NCT05175547,Ischemic stroke (disorder)|Androgen resistance syndrome (disorder)|Mechanical thrombectomy|Impaired oxygen extraction (disorder),Cerebrovascular accident (disorder)|Disorder of endocrine system (disorder)|Mechanical thrombectomy|Impaired oxygen extraction (disorder)
16174,NCT05176093,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
16175,NCT05176158,Complete avulsion of tooth (disorder)|Open bite (disorder)|Aphthous ulcer of mouth (disorder)|Postoperative complication (disorder)|Lymphadenopathy (disorder)|Congenital ankylosis of temporomandibular joint (disorder),Disorder of upper digestive tract (disorder)|Ulcer (disorder)|Perioperative complication (disorder)|Disorder of lymphatic system (disorder)|Congenital malformation (disorder)
16176,NCT05176418,Smoking,Smoking
16177,NCT05176717,Moderate visual impairment (disorder)|Distal monosomy 13q syndrome (disorder)|Retinitis pigmentosa (disorder),Visual impairment (disorder)|Chromosomal disorder (disorder)|Disorder of eye region (disorder)
16178,NCT05177055,"Superimposed infection (disorder)|Sleep-wake schedule disorder, delayed phase type (disorder)|Mental disorder (disorder)|Moderately severe major depression (disorder)|Disorder of sleep-wake cycle (disorder)",Infectious disease (disorder)|Sleep disorder (disorder)|Mental disorder (disorder)|Depressive disorder (disorder)
16179,NCT05177445,Acute disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)|Pneumonia caused by severe acute respiratory syndrome coronavirus 2 (disorder)|Acute hypoxemic respiratory failure due to disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)|Disorder of olfactory system (disorder),Infectious disease (disorder)|Acute metabolic disorder (disorder)|Disorder of olfactory system (disorder)
16180,NCT05177601,Depressive disorder (disorder)|Obsessive-compulsive disorder (disorder),Depressive disorder (disorder)|Obsessive-compulsive disorder (disorder)
16181,NCT05177718,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
16182,NCT05178316,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
16183,NCT05178810,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
16184,NCT05179252,Delirium (disorder)|Fracture of proximal end of femur (disorder)|Pod|Sfi,Confusional state (disorder)|Injury of trunk (disorder)|Pod|Sfi
16185,NCT05180032,Chronic disorder of spinal cord (disorder),Spinal cord disorder (disorder)
16186,NCT05180136,Depressive disorder (disorder)|Moderate depression (disorder),Depressive disorder (disorder)
16187,NCT05180890,Obstructive sleep apnea syndrome (disorder),Sleep disorder (disorder)
16188,NCT05180916,"Epilepsy (disorder)|Benign childhood epilepsy with centrotemporal spikes, refractory (disorder)",Seizure disorder (disorder)
16189,NCT05181150,Spinal cord injury (disorder),Spinal cord disorder (disorder)
16190,NCT05181189,Amnestic mild cognitive disorder (disorder)|Senile dementia (disorder),Cognitive disorder (disorder)|Senile dementia (disorder)
16191,NCT05181475,Amnestic mild cognitive disorder (disorder),Cognitive disorder (disorder)
16192,NCT05181891,Alcohol|Disorder caused by alcohol (disorder)|Cigarette smoking|Smokers|Smoking,Alcohol|Disorder caused by alcohol (disorder)|Cigarette smoking|Smokers|Smoking
16193,NCT05181995,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
16194,NCT05182476,Cognitive disorder (disorder)|Schizophrenia (disorder),Cognitive disorder (disorder)|Schizophrenia (disorder)
16195,NCT05182619,Traumatic brain injury (disorder)|Achalasia of esophagus (disorder),Traumatic brain injury (disorder)|Disorder of upper digestive tract (disorder)
16196,NCT05183165,Hypocupremia (disorder)|Wilson's disease (disorder),Nutritional disorder (disorder)|Chorea (disorder)
16197,NCT05183334,Anejaculation (disorder),Disorder of the genitourinary system (disorder)
16198,NCT05183516,Alzheimer's disease (disorder)|Dementia (disorder),Alzheimer's disease (disorder)|Dementia (disorder)
16199,NCT05183594,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
16200,NCT05184192,Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)|Disorder of olfactory system (disorder)|Post-acute COVID-19 (disorder),Infectious disease (disorder)|Disorder of olfactory system (disorder)|Disorder following viral disease (disorder)
16201,NCT05184335,Acute schizophrenic episode (disorder)|Schizophrenia (disorder),Schizophrenia (disorder)
16202,NCT05185011,Compensated liver disease (disorder)|Hepatic failure (disorder),Disorder of digestive organ (disorder)
16203,NCT05185622,Duchenne muscular dystrophy (disorder),Congenital malformation (disorder)
16204,NCT05187546,Progressive supranuclear palsy (disorder)|Atypical progressive supranuclear palsy syndrome (disorder)|Psp-rs,Paralytic syndrome (disorder)|Psp-rs
16205,NCT05188833,Depressive disorder (disorder)|Obsessive-compulsive disorder (disorder),Depressive disorder (disorder)|Obsessive-compulsive disorder (disorder)
16206,NCT05188989,Erectile dysfunction (disorder),Sexual disorder (disorder)
16207,NCT05189106,Alzheimer's disease (disorder)|Amyotrophic lateral sclerosis (disorder)|Mild neurocognitive disorder (disorder)|Cognitive disorder (disorder),Alzheimer's disease (disorder)|Motor neuron disease (disorder)|Cognitive disorder (disorder)
16208,NCT05189535,Malignant neoplasm of breast (disorder)|Disorder of the peripheral nervous system (disorder),Disorder of breast (disorder)|Disorder of the peripheral nervous system (disorder)
16209,NCT05191277,Depressive disorder (disorder)|Major depressive disorder (disorder),Depressive disorder (disorder)
