,nct_id,aact_snomed_term_canonical_interventions,aact_top_concept_canonical_first_interventions
13015,NCT03418675,Brexpiprazole (substance),Psychotropic agent (substance)
13016,NCT03418688,Cor a 8 (substance),Cor a 8 (substance)
13017,NCT03418831,Raloxifene hydrochloride (substance),Raloxifene hydrochloride (substance)
13018,NCT03419000,Blood (substance),Blood (substance)
13019,NCT03419039,Anthocyanin (substance),Anthocyanin (substance)
13020,NCT03419325,Cytochrome p450 CYP2C19 enzyme (substance),Cytochrome p450 enzyme (substance)
13021,NCT03419715,Test control (substance)|Bimatoprost (substance),Test control (substance)|Bimatoprost (substance)
13022,NCT03419767,Melatonin (substance),Azole (substance)
13023,NCT03419806,Dopexamine (substance)|Enteroglucagon (substance)|Miliaria crystallina (disorder),Catecholamine (substance)|Enteroglucagon (substance)|Miliaria crystallina (disorder)
13024,NCT03419819,Phenylketonuria (disorder),Aminoacidemia (disorder)
13025,NCT03420105,Hyperstimulation of ovaries (disorder),Hyperstimulation of ovaries (disorder)
13026,NCT03420222,Argipressin (substance),Argipressin (substance)
13027,NCT03420339,Stimulant (substance),Stimulant (substance)
13028,NCT03420482,Syngeneic bone marrow fluid (substance),Fluid containing hemopoietic stem cells (substance)
13029,NCT03421496,Cannabidiol (substance)|Vigabatrin (substance),Psychotropic agent (substance)|Nutrients (substance)
13030,NCT03422796,Sumatriptan (substance)|Cilostazol (substance),Amide (substance)|Azole (substance)
13031,NCT03422900,Glucose (substance)|Formula milk (substance),Nutrients (substance)|Formula milk (substance)
13032,NCT03423667,Acetylcysteine (substance)|Lactose (substance),Nutrients (substance)
13033,NCT03423680,Abietic acid (substance),Patch test substance (substance)
13034,NCT03424460,Ribonucleic acid (substance)|Hemostasis related substance (substance)|Monocytopenia with susceptibility to infections (disorder),Ribonucleic acid (substance)|Hemostasis related substance (substance)|Monocytopenia with susceptibility to infections (disorder)
13035,NCT03424733,Ophthalmomandibulomelic dysplasia (disorder)|Prednisone (substance)|Interferon beta-1a (substance)|Peginterferon beta-1a (substance),Ophthalmomandibulomelic dysplasia (disorder)|Corticosteroid and/or corticosteroid derivative (substance)|Antineoplastic agent (substance)
13036,NCT03425539,Panobinostat lactate (substance),Antineoplastic agent (substance)
13037,NCT03425552,Paliperidone (substance),Psychotropic agent (substance)
13038,NCT03426085,Liraglutide (substance),Liraglutide (substance)
13039,NCT03426891,Temozolomide (substance)|Vorinostat (substance)|Substance (substance)|Pembrolizumab (substance),Immunologic agent (substance)|Antineoplastic agent (substance)|Substance (substance)
13040,NCT03426982,Heparin (substance),Anticoagulant (substance)
13041,NCT03427086,Biotin (substance),Nutrients (substance)
13042,NCT03427892,Brexpiprazole (substance),Psychotropic agent (substance)
13043,NCT03428360,MacCallum's patch (disorder),MacCallum's patch (disorder)
13044,NCT03428633,Morphine (substance)|Ropivacaine (substance),Analgesic (substance)|Local anesthetic (substance)
13045,NCT03429491,N-3 fatty acid (substance)|Cytosol aminopeptidase (substance),Essential fatty acid (substance)|Cytosol aminopeptidase (substance)
13046,NCT03430180,Naloxone hydrochloride (substance),Antidote (substance)
13047,NCT03430349,Ribosomal ribonucleic acid of Papillomavirus (substance)|Messenger ribonucleic acid of severe acute respiratory syndrome coronavirus 2 encoding BA.4/BA.5 lineage spike protein (substance),Ribonucleic acid (substance)
13048,NCT03430388,Antigen of live attenuated Yellow fever virus 17D-204 strain (substance),Immunologic substance (substance)
13049,NCT03430531,Lidocaine (substance),Local anesthetic (substance)
13050,NCT03431402,Hyperoxia (disorder),Hyperoxia (disorder)
13051,NCT03431675,Ciprofloxacin (substance),Ciprofloxacin (substance)
13052,NCT03432065,Buspirone (substance),Psychotropic agent (substance)
13053,NCT03432195,Donepezil (substance),Ketone (substance)
13054,NCT03432858,Vancomycin (substance)|Cefazolin (substance)|Sodium chloride solution (substance),Glycopeptide (substance)|Amide (substance)|Sodium chloride solution (substance)
13055,NCT03432871,Nicotinamide mononucleotide (substance),Nicotinamide mononucleotide (substance)
13056,NCT03433183,Sirolimus (substance)|Selumetinib (substance),Antineoplastic agent (substance)
13057,NCT03433482,Pudding-thick liquid (substance)|Latah (disorder),Pudding-thick liquid (substance)|Latah (disorder)
13058,NCT03433651,Creatine monohydrate (substance),Metabolite (substance)
13059,NCT03433859,OnabotulinumtoxinA (substance),Bacterial agent (substance)
13060,NCT03434262,Sonidegib (substance)|Ribociclib (substance)|Filgrastim (substance)|Trametinib (substance)|Gemcitabine (substance),"Antineoplastic agent (substance)|Colony-stimulating factor, granulocytic (substance)|Gaseous substance (substance)"
13061,NCT03434366,Sodium chloride solution (substance)|Dexmedetomidine (substance)|Ketamine (substance),Sodium chloride solution (substance)|Azole (substance)|Ketone (substance)
13062,NCT03435861,Nerve agent VX (substance),Nerve agent VX (substance)
13063,NCT03436121,Ketamine (substance)|Midazolam (substance),Ketone (substance)|General anesthetic (substance)
13064,NCT03436173,Fluoxetine (substance),Psychotropic agent (substance)
13065,NCT03436199,Recombinant non-replicating human adenovirus 26 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance)|Potato salad with french dressing (substance),Recombinant non-replicating human adenovirus 26 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance)|Salad (substance)
13066,NCT03436433,Lacosamide (substance)|Levetiracetam (substance),Amino acid derivative (substance)|Levetiracetam (substance)
13067,NCT03436472,Dexmedetomidine (substance),Azole (substance)
13068,NCT03436953,Ampicillin (substance),Amide (substance)
13069,NCT03437668,Early onset parkinsonism and intellectual disability syndrome (disorder),Early onset parkinsonism and intellectual disability syndrome (disorder)
13070,NCT03438604,Donepezil (substance),Ketone (substance)
13071,NCT03439670,Prednisone (substance)|Oxymetholone (substance),Corticosteroid and/or corticosteroid derivative (substance)|Oxymetholone (substance)
13072,NCT03439943,Lixisenatide (substance),Lixisenatide (substance)
13073,NCT03439982,Benign familial mesial temporal lobe epilepsy (disorder),Seizure disorder (disorder)
13074,NCT03440034,Pioglitazone (substance),Pioglitazone (substance)
13075,NCT03440112,Clarithromycin (substance)|Radioisotope labeled flumazenil (substance),Clarithromycin (substance)|Radioactive isotope (substance)
13076,NCT03440814,Chlordecone reductase (substance),Chlordecone reductase (substance)
13077,NCT03441516,Acute exacerbation of asthma co-occurrent with allergic rhinitis (disorder)|Donepezil hydrochloride (substance),Acute exacerbation of asthma co-occurrent with allergic rhinitis (disorder)|Ketone (substance)
13078,NCT03443596,Malignant essential hypertension (disorder),Malignant essential hypertension (disorder)
13079,NCT03443973,Gliadin antibody (substance),Immunologic substance (substance)
13080,NCT03444038,Valbenazine (substance),Valbenazine (substance)
13081,NCT03444519,Mannitol (substance),Nutrients (substance)
13082,NCT03444870,Gliadin antibody (substance),Immunologic substance (substance)
13083,NCT03446001,Reset hypothalamic osmostat (disorder)|Arlt line of conjunctiva (disorder),Disorder of neurometabolic regulation (disorder)|Arlt line of conjunctiva (disorder)
13084,NCT03446807,Droxidopa (substance),Amino acid derivative (substance)
13085,NCT03446924,Egg fried rice (substance)|Phosphatidic acid (substance),Egg fried rice (substance)|Phosphatidic acid (substance)
13086,NCT03447756,Ceftazidime (substance),Amide (substance)
13087,NCT03448159,Fluoxetine hydrochloride (substance),Psychotropic agent (substance)
13088,NCT03449940,Diclofenac sodium (substance)|Lidocaine (substance)|Ceftriaxone (substance),Analgesic (substance)|Local anesthetic (substance)|Amide (substance)
13089,NCT03450161,Fentanyl (substance),General anesthetic (substance)
13090,NCT03451591,Isosorbide mononitrate (substance)|Substance (substance)|Cilostazol (substance),Isosorbide mononitrate (substance)|Substance (substance)|Azole (substance)
13091,NCT03452488,B*4001 (substance),Gene (substance)
13092,NCT03452943,Antigen of live attenuated Mumps orthorubulavirus Jeryl-Lynn RIT 4385 strain (substance),Immunologic substance (substance)
13093,NCT03453749,Salicin extract (substance),Analgesic (substance)
13094,NCT03454217,Tramadol (substance)|Oxycodone (substance),Analgesic (substance)
13095,NCT03454646,Substance with acetylcholinesterase inhibitor mechanism of action (substance),Parasympathomimetic agent (substance)
13096,NCT03454893,Russellysin (substance),Russellysin (substance)
13097,NCT03455088,Fluoxetine (substance),Psychotropic agent (substance)
13098,NCT03456349,Proximal duplication of long arm of chromosome 18 (disorder),Proximal duplication of long arm of chromosome 18 (disorder)
13099,NCT03456388,Intractable ophthalmic migraine (disorder),Migraine with aura (disorder)
13100,NCT03456687,Exenatide (substance),Exenatide (substance)
13101,NCT03456882,Ribosomal ribonucleic acid N-glycosylase (substance),Ribosomal ribonucleic acid N-glycosylase (substance)
13102,NCT03457025,Substance with antiviral mechanism of action (substance)|Corticosteroid series (substance),Substance with antiviral mechanism of action (substance)|Patch test substance (substance)
13103,NCT03457129,Perampanel (substance),Perampanel (substance)
13104,NCT03457389,Cabergoline (substance),Ergoline derivative (substance)
13105,NCT03457493,Valproic acid (substance)|Capromab pendetide (substance)|Technetium (99m-Tc) N-pyridoxyl-5-methyltryptophan (substance),Psychotropic agent (substance)|Immunologic substance (substance)|Radioactive isotope (substance)
13106,NCT03457740,Fundamental constituent of matter (substance)|Color developer CD 2 (substance),Fundamental constituent of matter (substance)|Patch test substance (substance)
13107,NCT03458416,Cannabidiol (substance),Psychotropic agent (substance)
13108,NCT03459833,Hyaluronic acid (substance),Replacement agent (substance)
13109,NCT03460756,Ganirelix (substance),Ganirelix (substance)
13110,NCT03461276,Simian virus 40 antibody (substance),Immunologic substance (substance)
13111,NCT03462641,Flumazenil (substance),Antidote (substance)
13112,NCT03462680,Nicotinic acid (substance)|Substance (substance),Nutrients (substance)|Substance (substance)
13113,NCT03462771,Sunflowerseed oil (substance)|Fish oil (substance),Nutrients (substance)
13114,NCT03463707,Brunsting-Perry type cicatricial pemphigoid (disorder),Brunsting-Perry type cicatricial pemphigoid (disorder)
13115,NCT03464383,Escitalopram oxalate (substance),Psychotropic agent (substance)
13116,NCT03464487,Low glycemic index food (substance),Low glycemic index food (substance)
13117,NCT03465787,Lurasidone hydrochloride (substance)|Quetiapine fumarate (substance),Psychotropic agent (substance)
13118,NCT03466346,Fluoxetine (substance),Psychotropic agent (substance)
13119,NCT03466528,Magnesium sulfate (substance)|Glyceryl-p-aminobenzoate (substance),Magnesium compound (substance)|Glyceryl-p-aminobenzoate (substance)
13120,NCT03466671,Tin-121 (substance),Radioactive isotope (substance)
13121,NCT03467113,"2,4-dichlorophenoxyacetic acid (substance)|Cannabidiol (substance)","2,4-dichlorophenoxyacetic acid (substance)|Psychotropic agent (substance)"
13122,NCT03467477,Flortaucipir (18-F) (substance),Radioactive isotope (substance)
13123,NCT03467750,Stable isotope (substance)|Ketorolac (substance),Stable isotope (substance)|Analgesic (substance)
13124,NCT03468049,Spring onion (substance)|Allium cepa poisoning (disorder),Spring onion (substance)|Poisoning (disorder)
13125,NCT03469089,Modafinil (substance)|Esketamine (substance),Psychotropic agent (substance)|General anesthetic (substance)
13126,NCT03469999,Intentional drug overdose by injectable substance (disorder),Poisoning (disorder)
13127,NCT03470038,Nerve growth factor (substance)|Sodium chloride solution (substance),Nerve growth factor (substance)|Sodium chloride solution (substance)
13128,NCT03471143,Ethinylestradiol betadex clathrate (substance),Estradiol and/or estradiol derivative (substance)
13129,NCT03471169,Complication of embryo transfer (disorder)|High threshold for implanted defibrillator (disorder),Complication of embryo transfer (disorder)|High threshold for implanted defibrillator (disorder)
13130,NCT03471182,Cocaine abuse (disorder),Disorder caused by cocaine (disorder)
13131,NCT03471767,Bupropion hydrochloride (substance)|Almagate (substance),Ketone (substance)|Magnesium compound (substance)
13132,NCT03471871,Lemborexant (substance),Lemborexant (substance)
13133,NCT03472092,Amitriptyline (substance),Psychotropic agent (substance)
13134,NCT03472261,Botulinum toxin type A (substance),Bacterial agent (substance)
13135,NCT03472378,"Split hand, split foot malformation with sensorineural hearing loss syndrome (disorder)",Congenital absence of hand (disorder)
13136,NCT03473301,Cord blood (substance)|Human mesenchymal stem cell (substance),Blood (substance)|Immunologic agent (substance)
13137,NCT03474263,Lymphocyte antigen CD14 (substance),Immunologic substance (substance)
13138,NCT03475225,Colecalciferol (substance),Nutrients (substance)
13139,NCT03475784,Correction fluid (substance),Correction fluid (substance)
13140,NCT03477500,Antithymocyte immunoglobulin (substance)|Alemtuzumab (substance)|Ocrelizumab (substance)|Cladribine (substance),Immunologic substance (substance)|Antineoplastic agent (substance)
13141,NCT03478527,Antigen of Haemophilus influenzae type b capsular polysaccharide polyribosylribitol phosphate conjugated to Corynebacterium diphtheriae cross-reacting material 197 protein (substance),Immunologic substance (substance)
13142,NCT03478982,Alprazolam (substance),Psychotropic agent (substance)
13143,NCT03479476,Metformin (substance),Biguanide oral hypoglycemic agent (substance)
13144,NCT03480061,Dexmedetomidine hydrochloride (substance),Azole (substance)
13145,NCT03480191,Daptomycin (substance),Daptomycin (substance)
13146,NCT03480555,Recombinant protein (substance)|Serum protein (substance),Recombinant protein (substance)|Serum protein (substance)
13147,NCT03481400,Calcitonin gene-related peptide (substance),Calcitonin gene-related peptide (substance)
13148,NCT03482115,Blood (substance),Blood (substance)
13149,NCT03482297,Midodrine (substance),Midodrine (substance)
13150,NCT03482479,Naltrexone hydrochloride (substance),Antidote (substance)
13151,NCT03485274,Vortioxetine (substance),Psychotropic agent (substance)
13152,NCT03485287,Methylenedioxymethamphetamine (substance),Psychotropic agent (substance)
13153,NCT03487211,Duloxetine (substance)|Escitalopram (substance),Psychotropic agent (substance)
13154,NCT03487237,D-dimer (substance),Hemostasis related substance (substance)
13155,NCT03487263,Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance),Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance)
13156,NCT03487783,Aripiprazole lauroxil (substance),Psychotropic agent (substance)
13157,NCT03488524,B*3505 (substance),Gene (substance)
13158,NCT03488563,Cosmetic vehicle (substance)|B*4402 (substance),Cosmetic vehicle (substance)|Gene (substance)
13159,NCT03488888,Bupivacaine (substance)|Sodium chloride solution (substance),Local anesthetic (substance)|Sodium chloride solution (substance)
13160,NCT03489044,Levetiracetam (substance),Levetiracetam (substance)
13161,NCT03489551,Haloperidol (substance),Ketone (substance)
13162,NCT03490019,Metformin (substance),Biguanide oral hypoglycemic agent (substance)
13163,NCT03490786,GT1a-ganglioside (substance),GT1a-ganglioside (substance)
13164,NCT03491007,Dehydroepiandrosterone (substance),Corticosteroid and/or corticosteroid derivative (substance)
13165,NCT03491150,Pembrolizumab (substance),Antineoplastic agent (substance)
13166,NCT03491462,Aripiprazole lauroxil (substance),Psychotropic agent (substance)
13167,NCT03491696,Metyrapone (substance),Ketone (substance)
13168,NCT03492736,Melatonin (substance),Azole (substance)
13169,NCT03492970,Non-24 hour sleep-wake cycle (disorder),Non-24 hour sleep-wake cycle (disorder)
13170,NCT03493282,Augmented urinary bladder with urinary bladder neck retained (substance)|Malignant neoplasm of augmented urinary bladder (disorder),Augmented urinary bladder (substance)|Neoplastic disease (disorder)
13171,NCT03493607,Amok (disorder),Amok (disorder)
13172,NCT03493841,Lipoic acid (substance),Lipoic acid (substance)
13173,NCT03493919,Antigen of Neisseria meningitidis serogroup A capsular polysaccharide conjugated (substance)|Antigen of inactivated whole Rabies lyssavirus WISTAR PM/W1 38 1503-3M strain grown in cellular line (substance),Immunologic substance (substance)
13174,NCT03494725,Phospholipase C (substance),Phospholipase C (substance)
13175,NCT03495024,Varenicline (substance),Parasympathomimetic agent (substance)
13176,NCT03495206,Alternating exotropia with Y pattern (disorder),Alternating exotropia with Y pattern (disorder)
13177,NCT03495375,Live yogurt (substance),Live yogurt (substance)
13178,NCT03496389,Tramadol (substance)|Gabapentin (substance)|Paracetamol (substance),Analgesic (substance)|Nutrients (substance)
13179,NCT03496545,Coleslaw with reduced calorie dressing (substance)|Bromocriptine mesilate (substance),Salad (substance)|Ergoline derivative (substance)
13180,NCT03496870,Opicapone (substance)|Carbidopa (substance),Azole (substance)|Catecholamine (substance)
13181,NCT03496883,Eptacog alfa (substance),Blood component (substance)
13182,NCT03497442,Brimonidine tartrate (substance),Azole (substance)
13183,NCT03498131,Melatonin (substance)|Skatole (substance),Azole (substance)|Skatole (substance)
13184,NCT03499119,Immunoglobulin G antibody to mitochondria M2 (substance)|Ozanimod hydrochloride (substance)|Cefotetan disodium (substance),Immunologic substance (substance)|Immunosuppressant (substance)|Amide (substance)
13185,NCT03500029,Antidepressant (substance),Psychotropic agent (substance)
13186,NCT03500094,Gadolinium-150 (substance),Radioactive isotope (substance)
13187,NCT03500289,Ketamine (substance)|Midazolam (substance),Ketone (substance)|General anesthetic (substance)
13188,NCT03501966,Acetazolamide (substance),Diuretic (substance)
13189,NCT03502551,Ketamine (substance),Ketone (substance)
13190,NCT03502941,Bos taurus whey (substance)|Glycine max cheese (substance)|Aubergine stuffed with vegetables and cheese (substance),Whey (substance)|Glycine max (substance)|Aubergine stuffed with vegetables and cheese (substance)
13191,NCT03502967,Carbon (11-C) palmitate (substance)|Pyruvate (substance),Radioactive isotope (substance)|Pyruvate (substance)
13192,NCT03503318,Californium-246 (substance),Radioactive isotope (substance)
13193,NCT03503331,Piblokto (disorder),Piblokto (disorder)
13194,NCT03503513,Gentamicin sulfate (substance),Patch test substance (substance)
13195,NCT03504475,Intentional paroxetine poisoning (disorder)|Antigen of Haemophilus influenzae type b capsular polysaccharide polyribosylribitol phosphate conjugated to Clostridium tetani toxoid protein (substance),Poisoning (disorder)|Immunologic substance (substance)
13196,NCT03504917,Balsam (substance),Emollient (substance)
13197,NCT03505021,Levosimendan (substance),Levosimendan (substance)
13198,NCT03505034,Human mesenchymal stem cell (substance),Immunologic agent (substance)
13199,NCT03505099,Onasemnogene abeparvovec (substance),Immunologic substance (substance)
13200,NCT03506178,Sodium chloride solution (substance)|Menthyl anthranilate (substance)|Oxymetazoline hydrochloride (substance),Sodium chloride solution (substance)|Amino acid derivative (substance)|Decongestant (substance)
13201,NCT03506516,Cocktail (substance)|Substance with alcohol structure (substance),Drinks (substance)|Substance with alcohol structure (substance)
13202,NCT03506841,Cerebrosidase (substance),Cerebrosidase (substance)
13203,NCT03507127,Varenicline (substance),Parasympathomimetic agent (substance)
13204,NCT03507374,Alirocumab (substance),Immunologic substance (substance)
13205,NCT03507569,Ceftriaxone sodium (substance),Amide (substance)
13206,NCT03508440,Prednisone (substance),Corticosteroid and/or corticosteroid derivative (substance)
13207,NCT03508453,Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance)|Substance (substance),Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance)|Substance (substance)
13208,NCT03508700,Glass in thigh (disorder),Glass in lower limb (disorder)
13209,NCT03508882,Sodium chloride solution (substance)|Botulinum toxin type A and/or botulinum toxin type A derivative (substance),Sodium chloride solution (substance)|Bacterial agent (substance)
13210,NCT03508947,Silvex (substance),Silvex (substance)
13211,NCT03510325,Aripiprazole (substance)|Amisulpride (substance)|Risperidone (substance)|Olanzapine (substance)|Paliperidone palmitate (substance),Psychotropic agent (substance)
13212,NCT03510338,Sildenafil citrate (substance),Amide (substance)
13213,NCT03510546,Pyridostigmine (substance),Parasympathomimetic agent (substance)
13214,NCT03510572,Flortaucipir (18-F) (substance),Radioactive isotope (substance)
13215,NCT03510741,Acetylcysteine (substance)|Sodium benzoate (substance),Nutrients (substance)|Sodium benzoate (substance)
13216,NCT03510975,Desmopressin acetate trihydrate (substance),Hemostatic agent (substance)
13217,NCT03511846,Capsaicin (substance)|Substance (substance)|Hyperoxia (disorder)|Hypoxia (disorder),Amide (substance)|Substance (substance)|Hyperoxia (disorder)|Hypoxia (disorder)
13218,NCT03512418,Tenofovir alafenamide (substance),Tenofovir alafenamide (substance)
13219,NCT03512977,Laxative (substance),Laxative (substance)
13220,NCT03513302,Nitrate salt (substance),Nitrate salt (substance)
13221,NCT03513328,Thiotepa (substance),Immunologic agent (substance)
13222,NCT03513757,Lidocaine hydrochloride monohydrate (substance)|Sevoflurane (substance)|Nitrous oxide (substance)|Dexmedetomidine (substance)|Propofol (substance)|Glycopyrronium bromide (substance),Local anesthetic (substance)|General anesthetic (substance)|Gaseous substance (substance)|Azole (substance)|Glycopyrronium bromide (substance)
13223,NCT03513822,Midazolam hydrochloride (substance)|Ketamine hydrochloride (substance),General anesthetic (substance)
13224,NCT03514784,Immunoglobulin G antibody to Lactobacillus (substance),Immunologic substance (substance)
13225,NCT03514875,Mitotane (substance),Antineoplastic agent (substance)
13226,NCT03515213,Fenofibrate (substance),Antilipemic agent (substance)
13227,NCT03515733,Tazemetostat hydrobromide (substance),Antineoplastic agent (substance)
13228,NCT03516487,Annexin A7 (substance),Annexin A7 (substance)
13229,NCT03516526,Natalizumab (substance),Immunologic substance (substance)
13230,NCT03516604,Citalopram (substance)|Tazemetostat hydrobromide (substance),Psychotropic agent (substance)|Antineoplastic agent (substance)
13231,NCT03518021,Naloxone (substance)|Naloxone hydrochloride (substance),Antidote (substance)
13232,NCT03518801,Cannabidiol (substance),Psychotropic agent (substance)
13233,NCT03520517,Chronic post-COVID-19 syndrome (disorder),Chronic post-COVID-19 syndrome (disorder)
13234,NCT03520998,Ceftazidime (substance),Amide (substance)
13235,NCT03521323,Human mesenchymal stem cell (substance),Immunologic agent (substance)
13236,NCT03521336,Human mesenchymal stem cell (substance),Immunologic agent (substance)
13237,NCT03521635,Pramipexole (substance),Pramipexole (substance)
13238,NCT03522129,"Tau protein, phosphorylated 181 (substance)",Tau protein (substance)
13239,NCT03522207,Trazodone (substance),Psychotropic agent (substance)
13240,NCT03522844,Escitalopram (substance),Psychotropic agent (substance)
13241,NCT03522987,Escitalopram oxalate (substance),Psychotropic agent (substance)
13242,NCT03526354,Brexpiprazole (substance)|Substance (substance),Psychotropic agent (substance)|Substance (substance)
13243,NCT03526822,Blood (substance)|Neoplastic disease (disorder),Blood (substance)|Neoplastic disease (disorder)
13244,NCT03526978,Antigen of inactivated whole Human poliovirus serotype 3 Saukett strain (substance)|Antigen of inactivated whole Human poliovirus (substance),Immunologic substance (substance)
13245,NCT03527186,Palladium-100 (substance),Radioactive isotope (substance)
13246,NCT03529344,Protargol S stain (substance),Protargol S stain (substance)
13247,NCT03530033,Lidocaine (substance),Local anesthetic (substance)
13248,NCT03530202,Creatine monohydrate (substance)|Icodextrin (substance),Metabolite (substance)|Nutrients (substance)
13249,NCT03530293,Valbenazine (substance),Valbenazine (substance)
13250,NCT03530774,Egg white (substance)|Maltose (substance),Egg white (substance)|Nutrients (substance)
13251,NCT03530800,Dronabinol (substance),Dronabinol (substance)
13252,NCT03531060,Iridium-190m2 (substance),Radioactive isotope (substance)
13253,NCT03531242,Antigen of inactivated whole Rabies lyssavirus Flury LEP strain grown in cellular line (substance),Immunologic substance (substance)
13254,NCT03531684,Bismuth-205 (substance),Radioactive isotope (substance)
13255,NCT03531710,Ubiquitin (substance),Ubiquitin (substance)
13256,NCT03532542,Golodirsen (substance)|Casimersen (substance),Oligonucleotide (substance)
13257,NCT03533114,Ticarcillin disodium (substance),Amide (substance)
13258,NCT03533257,B*3505 (substance),Gene (substance)
13259,NCT03533673,Rhodium-101 (substance),Radioactive isotope (substance)
13260,NCT03535298,Hypertension due to gain-of-function mutation in mineralocorticoid receptor (disorder)|Overdose (disorder),Hypertension due to gain-of-function mutation in mineralocorticoid receptor (disorder)|Poisoning (disorder)
13261,NCT03536559,Congenital fiber-type disproportion myopathy due to ZAK mutation (disorder),Congenital fiber-type disproportion myopathy due to ZAK mutation (disorder)
13262,NCT03536845,Colecalciferol (substance),Nutrients (substance)
13263,NCT03536871,Multivitamin multimineral supplement (substance),Replacement agent (substance)
13264,NCT03537014,Methylenedioxymethamphetamine (substance),Psychotropic agent (substance)
13265,NCT03537495,Linezolid (substance),Linezolid (substance)
13266,NCT03537547,Antidepressant (substance),Psychotropic agent (substance)
13267,NCT03537950,Cannabidiol (substance)|Phospholipase C (substance),Psychotropic agent (substance)|Phospholipase C (substance)
13268,NCT03538054,Dextromethorphan (substance),Dextromethorphan (substance)
13269,NCT03538431,Buspirone (substance),Psychotropic agent (substance)
13270,NCT03538522,2-amino-5-nitrothiazole (substance)|Argon-41 (substance)|Neon-20 (substance),2-amino-5-nitrothiazole (substance)|Radioactive isotope (substance)|Neon and/or neon compound (substance)
13271,NCT03539614,Prazosin (substance),Prazosin (substance)
13272,NCT03539887,Ketamine (substance),Ketone (substance)
13273,NCT03539900,Bupropion hydrobromide (substance),Ketone (substance)
13274,NCT03539952,Penicillamine (substance)|Anthrax toxin edema factor (substance),Nutrients (substance)|Bacterial agent (substance)
13275,NCT03540095,Epidural ascending spinal paralysis (disorder)|Bifascicular block (disorder),Paralysis due to lesion of spinal cord (disorder)|Heart block (disorder)
13276,NCT03540485,Melatonin (substance),Azole (substance)
13277,NCT03540602,Cherry (substance),Fruit (substance)
13278,NCT03541031,Safflower oil (substance)|Fish oil (substance),Nutrients (substance)
13279,NCT03541044,Electronic cigarette liquid containing nicotine (substance),Electronic cigarette liquid (substance)
13280,NCT03542357,Sumatriptan (substance)|Calcitonin gene-related peptide (substance),Amide (substance)|Calcitonin gene-related peptide (substance)
13281,NCT03542656,Amyloid P component (substance),Amyloid P component (substance)
13282,NCT03542851,Pentetrazol (substance),Azole (substance)
13283,NCT03542864,Keipert syndrome (disorder),Keipert syndrome (disorder)
13284,NCT03543137,Electronic cigarette liquid containing nicotine (substance),Electronic cigarette liquid (substance)
13285,NCT03543254,AbobotulinumtoxinA (substance)|OnabotulinumtoxinA (substance)|IncobotulinumtoxinA (substance),Bacterial agent (substance)
13286,NCT03545789,Technetium-95m (substance),Radioactive isotope (substance)
13287,NCT03545997,Montelukast (substance),Montelukast (substance)
13288,NCT03546283,Bickerstaff's brainstem encephalitis (disorder),Bickerstaff's brainstem encephalitis (disorder)
13289,NCT03546634,Antigen of inactivated whole Human poliovirus (substance),Immunologic substance (substance)
13290,NCT03546959,Clostridium botulinum toxin (substance),Bacterial agent (substance)
13291,NCT03547219,Escitalopram (substance),Psychotropic agent (substance)
13292,NCT03548155,Anti-psychotic agent (substance)|Berberine (substance),Psychotropic agent (substance)|Berberine (substance)
13293,NCT03548311,Mecobalamin (substance)|Sodium chloride solution (substance),Nutrients (substance)|Sodium chloride solution (substance)
13294,NCT03548415,Somatostatin (substance),Somatostatin (substance)
13295,NCT03548480,Lactobacillus (substance),Bacterial agent (substance)
13296,NCT03548584,Brexpiprazole (substance)|Substance (substance),Psychotropic agent (substance)|Substance (substance)
13297,NCT03549325,Lactam (substance),Amide (substance)
13298,NCT03549520,Sulfur hexafluoride lipid microsphere (substance),Sulfur hexafluoride lipid microsphere (substance)
13299,NCT03549819,Sunflowerseed oil (substance)|Cannabidiol (substance),Nutrients (substance)|Psychotropic agent (substance)
13300,NCT03549975,Botulinum toxin type A and/or botulinum toxin type A derivative (substance),Bacterial agent (substance)
13301,NCT03550183,Human mesenchymal stem cell (substance),Immunologic agent (substance)
13302,NCT03550209,Soft polyunsaturated fat margarine (substance),Nutrients (substance)
13303,NCT03551275,Cesium-132 (substance),Radioactive isotope (substance)
13304,NCT03551769,Trioctanoin (substance),Trioctanoin (substance)
13305,NCT03552068,Clonidine (substance),Clonidine (substance)
13306,NCT03552237,Plant fiber (substance),Laxative (substance)
13307,NCT03553875,Memantine hydrochloride (substance),Memantine hydrochloride (substance)
13308,NCT03554031,Somatropin (substance),Recombinant protein (substance)
13309,NCT03554265,Somatotropin (substance),Somatotropin (substance)
13310,NCT03554798,Acute poliomyelitis (disorder),Acute poliomyelitis (disorder)
13311,NCT03555292,Carbon (11-C) raclopride (substance),Radioactive isotope (substance)
13312,NCT03555916,Clostridium botulinum toxin (substance),Bacterial agent (substance)
13313,NCT03556137,Fluciclovine (18-F) (substance),Radioactive isotope (substance)
13314,NCT03556371,Acetylcysteine (substance),Nutrients (substance)
