,nct_id,linkbert_snomed_term_canonical_interventions,linkbert_top_concept_canonical_first_interventions
11948,NCT03417986,Thiethylperazine (substance),Thiethylperazine (substance)
11949,NCT03418675,Brexpiprazole (substance),Brexpiprazole (substance)
11950,NCT03418688,Cor a 8 (substance),Cor a 8 (substance)
11951,NCT03418831,Clozapine (substance)|Substance with estrogen receptor agonist mechanism of action (substance)|Raloxifene (substance)|Selective estrogen receptor modulator (substance)|Serine (substance),Clozapine (substance)|Sex hormone (substance)|Bone resorption inhibitor (substance)|Selective estrogen receptor modulator (substance)|Nutrients (substance)
11952,NCT03419039,Anthocyanin (substance),Anthocyanin (substance)
11953,NCT03419325,Clopidogrel (substance),Clopidogrel (substance)
11954,NCT03419715,Bimatoprost (substance),Fatty acid (substance)
11955,NCT03419806,Carbidopa (substance)|Duodenitis (disorder)|Interferon (substance)|Lymphocyte light chain (substance)|Levodopa (substance),Catecholamine (substance)|Duodenitis (disorder)|Mediator of immune response (substance)|Immunoglobulin (substance)
11956,NCT03419819,Glycidol (substance),Glycidol (substance)
11957,NCT03420222,Argipressin (substance)|Deutan defect (disorder)|Dextromethorphan hydrobromide (substance)|Glutamine (substance)|Quinidine sulfate (substance),Argipressin (substance)|Deutan defect (disorder)|Dextromethorphan hydrobromide (substance)|Nutrients (substance)|Quinidine sulfate (substance)
11958,NCT03420339,Stimulant (substance),Stimulant (substance)
11959,NCT03420794,Analgesic (substance)|Opioid dependence (disorder)|Non-opioid analgesic (substance),Analgesic (substance)|Opioid dependence (disorder)
11960,NCT03421496,Cannabidiol (substance)|Vigabatrin (substance),Hallucinogenic agent (substance)|Nutrients (substance)
11961,NCT03422796,Cilostazol (substance)|Substance with phosphodiesterase inhibitor mechanism of action (substance)|Sumatriptan (substance),Tetrazole (substance)|Substance with phosphodiesterase inhibitor mechanism of action (substance)|Sulfone (substance)
11962,NCT03423667,Acetylcysteine (substance),Nutrients (substance)
11963,NCT03423680,Aripiprazole (substance)|Lithium (substance)|Valproic acid (substance),Aripiprazole (substance)|Antidepressant (substance)|Fatty acid (substance)
11964,NCT03424733,Paracetamol (substance)|Aspirin (substance)|Peginterferon beta-1a (substance)|Prednisone (substance)|Steroid (substance),Acetamide (substance)|Analgesic (substance)|Mediator of immune response (substance)|Corticosteroid and/or corticosteroid derivative (substance)|Steroid (substance)
11965,NCT03425539,Panobinostat lactate (substance),Panobinostat lactate (substance)
11966,NCT03425552,Paliperidone (substance)|Eclair (substance),Paliperidone (substance)|Eclair (substance)
11967,NCT03426085,Liraglutide (substance),Liraglutide (substance)
11968,NCT03426891,Toxicity due to chemotherapy (disorder)|Pembrolizumab (substance)|Temozolomide (substance)|Vorinostat (substance),Poisoning caused by drug AND/OR medicinal substance (disorder)|Antibody (substance)|Immunologic agent (substance)|Vorinostat (substance)
11969,NCT03426982,Heparin (substance)|Low molecular weight heparin (substance)|Protamine (substance),Mucopolysaccharide (substance)|Anticoagulant antagonist (substance)
11970,NCT03427086,Biotin (substance),Nutrients (substance)
11971,NCT03427892,Brexpiprazole (substance),Brexpiprazole (substance)
11972,NCT03427983,Corticosteroid and/or corticosteroid derivative (substance),Corticosteroid and/or corticosteroid derivative (substance)
11973,NCT03428360,Dibromodicyanobutane (substance)|Diazepam (substance),Dibromodicyanobutane (substance)|Hypnotic agent (substance)
11974,NCT03428633,Local anesthetic (substance)|Morphine (substance)|Ropivacaine (substance),Local anesthetic (substance)|Analgesic (substance)
11975,NCT03429491,N-3 fatty acid (substance)|Leucine (substance)|Polyunsaturated fatty acid (substance),Fatty acid (substance)|Nutrients (substance)
11976,NCT03430180,Naloxone (substance)|Naloxone hydrochloride (substance),Naloxone (substance)|Naloxone hydrochloride (substance)
11977,NCT03430349,Antigen of inactivated whole Human poliovirus (substance)|Antigen of live attenuated Human poliovirus serotype 2 (substance)|Antigen of inactivated whole Human Poliovirus serotype 2 (substance)|Antigen of live attenuated Human poliovirus (substance)|Type 2 H (substance),Antigen of Human poliovirus (substance)|Type 2 H (substance)
11978,NCT03430388,Antigen of live attenuated Yellow fever virus (substance),Antigen of live attenuated virus (substance)
11979,NCT03431675,Ciprofloxacin (substance),Ciprofloxacin (substance)
11980,NCT03432065,Buspirone (substance),Piperidine (substance)
11981,NCT03432195,Donepezil (substance),Piperidine (substance)
11982,NCT03432858,Antineoplastic antibiotic (substance),Antineoplastic antibiotic (substance)
11983,NCT03432871,Nicotinamide mononucleotide (substance),Nicotinamide mononucleotide (substance)
11984,NCT03433183,Osimertinib (substance)|Substance with mitogen-activated protein kinase kinase inhibitor mechanism of action (substance)|Sirolimus (substance)|Selumetinib (substance),Osimertinib (substance)|Substance with mitogen-activated protein kinase kinase inhibitor mechanism of action (substance)|Lactam (substance)|Benzimidazole (substance)
11985,NCT03433482,Antigen of live attenuated Human alphaherpesvirus 3 Oka-GSK strain (substance)|Protein kinase (substance)|Latah (disorder)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated to Corynebacterium diphtheriae toxoid protein (substance)|Antigen of Neisseria meningitidis serogroup A capsular oligosaccharide conjugated (substance)|Meningococcal infectious disease (disorder)|Adverse reaction to component of vaccine product (disorder),Antigen of live attenuated virus (substance)|Protein kinase (substance)|Latah (disorder)|Antigen of Neisseria meningitidis (substance)|Meningococcal infectious disease (disorder)|Adverse reaction to component of vaccine product (disorder)
11986,NCT03433651,Creatine monohydrate (substance),Metabolite (substance)
11987,NCT03433859,Aluminium chloride (substance)|OnabotulinumtoxinA (substance),Aluminium chloride (substance)|Bacterial agent (substance)
11988,NCT03434210,Anti-psychotic agent (substance)|Paliperidone palmitate (substance),Anti-psychotic agent (substance)|Paliperidone palmitate (substance)
11989,NCT03434366,Dexmedetomidine (substance)|Ketamine (substance),Sedative (substance)|Hallucinogenic agent (substance)
11990,NCT03435185,Local anesthetic (substance),Local anesthetic (substance)
11991,NCT03435861,Imiquimod (substance)|Nerve agent VX (substance),Immunologic agent (substance)|Nerve agent VX (substance)
11992,NCT03436121,Ketamine (substance)|Midazolam (substance),Hallucinogenic agent (substance)|Hypnotic agent (substance)
11993,NCT03436173,Antidepressant (substance)|Fluoxetine (substance),Antidepressant (substance)
11994,NCT03436199,Recombinant non-replicating human adenovirus 5 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance)|Amantadine sulfate (substance),Recombinant non-replicating viral vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance)|Amantadine sulfate (substance)
11995,NCT03436433,Anticonvulsant (substance)|Lacosamide (substance)|Levetiracetam (substance),Anticonvulsant (substance)|Lacosamide (substance)|Levetiracetam (substance)
11996,NCT03436472,Dexmedetomidine (substance),Sedative (substance)
11997,NCT03436953,Ampicillin (substance),Lactam (substance)
11998,NCT03438604,Cadaver (substance)|Donepezil (substance),Human material (substance)|Piperidine (substance)
11999,NCT03439670,Prednisone (substance)|Oxymetholone (substance),Corticosteroid and/or corticosteroid derivative (substance)|Sex hormone (substance)
12000,NCT03439943,Lixisenatide (substance),Lixisenatide (substance)
12001,NCT03439982,Rifamycin (substance),Lactam (substance)
12002,NCT03440034,Pioglitazone (substance),Pioglitazone (substance)
12003,NCT03440112,Flumazenil (substance),Flumazenil (substance)
12004,NCT03440814,Familial colorectal cancer type X (disorder)|Diazonium salt (substance),Neoplastic disease (disorder)|Diazonium salt (substance)
12005,NCT03441399,Antidepressant (substance),Antidepressant (substance)
12006,NCT03441516,Choline bitartrate (substance),Nutrients (substance)
12007,NCT03442166,Blood group antigen S (substance),Blood group antigen S (substance)
12008,NCT03443973,Gliadin antibody (substance),Antibody (substance)
12009,NCT03444038,Aklomide (substance),Aklomide (substance)
12010,NCT03444519,Mannitol (substance),Nutrients (substance)
12011,NCT03444870,Gliadin antibody (substance),Antibody (substance)
12012,NCT03445416,Meningococcal infectious disease (disorder),Meningococcal infectious disease (disorder)
12013,NCT03446001,Piperacillin sodium (substance),Lactam (substance)
12014,NCT03446807,Droxidopa (substance),Droxidopa (substance)
12015,NCT03446924,Properdin (substance)|Phosphatidic acid (substance),Properdin (substance)|Phospholipid (substance)
12016,NCT03447756,Ceftazidime (substance),Lactam (substance)
12017,NCT03448159,Antidepressant (substance)|Fluoxetine (substance),Antidepressant (substance)
12018,NCT03448575,Anti-psychotic agent (substance),Anti-psychotic agent (substance)
12019,NCT03449771,Pentaerithrityl tetranitrate (substance)|Tenofovir alafenamide (substance),Nitric acid ester (substance)|Tenofovir alafenamide (substance)
12020,NCT03450161,Fentanyl (substance),Piperidine (substance)
12021,NCT03451591,Cilostazol (substance)|Isosorbide mononitrate (substance),Tetrazole (substance)|Isosorbide mononitrate (substance)
12022,NCT03452488,Rhodium-101 (substance)|B*4001 (substance),Radioactive isotope (substance)|B*4001 (substance)
12023,NCT03452943,Deutetrabenazine (substance)|Antigen of live attenuated Mumps orthorubulavirus Jeryl-Lynn RIT 4385 strain (substance),Deutetrabenazine (substance)|Antigen of live attenuated virus (substance)
12024,NCT03453463,Protein (substance),Protein (substance)
12025,NCT03453749,Atrial fibrillation (disorder)|Angiogenesis growth factor (substance)|Salicin extract (substance),Atrial fibrillation (disorder)|Growth substance (substance)|Analgesic (substance)
12026,NCT03454217,Substance with opioid receptor agonist mechanism of action (substance)|Oxycodone (substance)|Tramadol (substance),Substance with opioid receptor agonist mechanism of action (substance)|Analgesic (substance)
12027,NCT03454646,Substance with acetylcholinesterase inhibitor mechanism of action (substance),Substance with acetylcholinesterase inhibitor mechanism of action (substance)
12028,NCT03455088,Fluoxetine (substance),Antidepressant (substance)
12029,NCT03456349,Proximal duplication of long arm of chromosome 18 (disorder),Proximal duplication of long arm of chromosome 18 (disorder)
12030,NCT03456388,Emetine hydrochloride (substance),Emetine hydrochloride (substance)
12031,NCT03456687,Exenatide (substance),Exenatide (substance)
12032,NCT03456882,Riluzole (substance)|Ribosomal ribonucleic acid N-glycosylase (substance),Riluzole (substance)|Ribosomal ribonucleic acid N-glycosylase (substance)
12033,NCT03457025,Substance with antiviral mechanism of action (substance)|Corticosteroid series (substance),Substance with antiviral mechanism of action (substance)|Corticosteroid series (substance)
12034,NCT03457389,Cabergoline (substance),Ergoline derivative (substance)
12035,NCT03457740,Magnesium (substance),Mineral (substance)
12036,NCT03458416,Cannabidiol (substance),Hallucinogenic agent (substance)
12037,NCT03459833,Hyaluronic acid (substance),Mucopolysaccharide (substance)
12038,NCT03460756,Ganirelix (substance),Ganirelix (substance)
12039,NCT03461276,Amyloid beta 40 peptide (substance)|Simian virus 40 antibody (substance),Amyloid beta peptide (substance)|Antibody (substance)
12040,NCT03462641,Retinol (substance)|Flumazenil (substance),Nutrients (substance)|Flumazenil (substance)
12041,NCT03462680,Nicotinic acid (substance),Nutrients (substance)
12042,NCT03462771,N-3 fatty acid (substance),Fatty acid (substance)
12043,NCT03463707,Brunsting-Perry type cicatricial pemphigoid (disorder),Brunsting-Perry type cicatricial pemphigoid (disorder)
12044,NCT03465787,Lurasidone (substance)|Quetiapine (substance),Lurasidone (substance)|Quetiapine (substance)
12045,NCT03466528,Magnesium (substance)|Magnesium sulfate (substance)|Thiamine (substance),Mineral (substance)|Laxative (substance)|Nutrients (substance)
12046,NCT03466671,Oxytocin (substance)|Tin-121 (substance),Oxytocin (substance)|Radioactive isotope (substance)
12047,NCT03467113,Cannabidiol (substance)|Fenfluramine (substance)|Fenfluramine hydrochloride (substance)|pX02 plasmid (substance),Hallucinogenic agent (substance)|Amfetamine and/or amfetamine derivative (substance)|pX02 plasmid (substance)
12048,NCT03467750,Ketorolac (substance)|Morphine (substance),Analgesic (substance)
12049,NCT03468439,Phenol (substance),Phenol (substance)
12050,NCT03469089,Modafinil (substance),Modafinil (substance)
12051,NCT03469999,AbobotulinumtoxinA (substance),Bacterial agent (substance)
12052,NCT03471143,Hydroxypropyl cellulose (substance)|Sugammadex (substance)|Sustained ventricular tachycardia (disorder),Laxative (substance)|Nutrients (substance)|Ventricular tachycardia (disorder)
12053,NCT03471182,Cocaine (substance),Local anesthetic (substance)
12054,NCT03471767,Almagate (substance)|Bupropion (substance)|Dextromethorphan (substance),Almagate (substance)|Antidepressant (substance)|Dextromethorphan (substance)
12055,NCT03471871,Lemborexant (substance),Lemborexant (substance)
12056,NCT03472092,Amitriptyline (substance),Antidepressant (substance)
12057,NCT03472261,Botulinum toxin type A (substance),Bacterial agent (substance)
12058,NCT03472378,"Celecoxib (substance)|Substance with prostaglandin-endoperoxide synthase isoform 2 inhibitor mechanism of action (substance)|Split hand, split foot malformation with sensorineural hearing loss syndrome (disorder)|Tripe (substance)",Sulfone (substance)|Analgesic (substance)|Partial congenital absence of limb (disorder)|Tripe (substance)
12059,NCT03474263,Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance),Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance)
12060,NCT03475225,Ergocalciferol (substance)|Vitamin D and/or vitamin D derivative (substance),Nutrients (substance)
12061,NCT03477500,Alemtuzumab (substance)|Cladribine (substance)|Ocrelizumab (substance),Antibody (substance)|Immunologic agent (substance)
12062,NCT03478982,Alprazolam (substance)|Staphylococcus aureus toxic shock syndrome toxin 1 (substance),Hypnotic agent (substance)|Bacterial agent (substance)
12063,NCT03479476,Metformin (substance),Metformin (substance)
12064,NCT03480061,Dexmedetomidine (substance),Sedative (substance)
12065,NCT03480191,Daptomycin (substance),Daptomycin (substance)
12066,NCT03480555,Protein (substance),Protein (substance)
12067,NCT03480880,Thiopental (substance),Barbiturate (substance)
12068,NCT03481400,Calcitonin antibody (substance)|Calcitonin gene-related peptide (substance),Antibody (substance)|Gastrointestinal hormone (substance)
12069,NCT03482479,Naltrexone (substance),Naltrexone (substance)
12070,NCT03485274,Vortioxetine (substance),Antidepressant (substance)
12071,NCT03485287,Methylenedioxymethamphetamine (substance),Amfetamine and/or amfetamine derivative (substance)
12072,NCT03487211,Duloxetine (substance)|Escitalopram (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance),Antidepressant (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)
12073,NCT03487263,Tocilizumab (substance)|Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance),Antibody (substance)|Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance)
12074,NCT03487783,Aripiprazole (substance),Aripiprazole (substance)
12075,NCT03488524,B*3505 (substance),B*3505 (substance)
12076,NCT03488563,B*4402 (substance),B*4402 (substance)
12077,NCT03489044,Levetiracetam (substance),Levetiracetam (substance)
12078,NCT03489200,Endothelin-converting enzyme 1 (substance),Endothelin-converting enzyme 1 (substance)
12079,NCT03489551,Haloperidol (substance),Ketone (substance)
12080,NCT03490019,Metformin (substance),Metformin (substance)
12081,NCT03490786,GT1a-ganglioside (substance),Ganglioside (substance)
12082,NCT03491007,Neurosis (disorder)|Dehydroepiandrosterone (substance),Neurosis (disorder)|Corticosteroid and/or corticosteroid derivative (substance)
12083,NCT03491150,Pembrolizumab (substance),Antibody (substance)
12084,NCT03491462,Aripiprazole lauroxil (substance),Aripiprazole lauroxil (substance)
12085,NCT03491696,Antidepressant (substance)|Metyrapone (substance),Antidepressant (substance)|Ketone (substance)
12086,NCT03492736,Melatonin (substance),Melatonin (substance)
12087,NCT03493282,"Tau protein, phosphorylated 181 (substance)",Tau protein (substance)
12088,NCT03493321,5-trimethoxyamphetamine (substance)|Cinacalcet hydrochloride (substance),Amfetamine and/or amfetamine derivative (substance)|Bone resorption inhibitor (substance)
12089,NCT03493607,Amok (disorder),Amok (disorder)
12090,NCT03493841,Lipoic acid (substance),Fatty acid (substance)
12091,NCT03493919,Bexarotene (substance)|Prophyllin (substance)|Metildigoxin (substance)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated to Corynebacterium diphtheriae toxoid protein (substance)|Meningococcal infectious disease (disorder)|Antigen of inactivated whole Rabies lyssavirus WISTAR PM/W1 38 1503-3M strain grown in cellular line (substance),Terpene (substance)|Prophyllin (substance)|Glycoside (substance)|Antigen of Neisseria meningitidis (substance)|Meningococcal infectious disease (disorder)|Antigen of Rabies lyssavirus (substance)
12092,NCT03495024,Varenicline (substance),Benzazepine (substance)
12093,NCT03495206,Borneol (substance)|Edaravone (substance)|Peptide YY (substance),Oil (substance)|Edaravone (substance)|Peptide YY (substance)
12094,NCT03495375,Factor H (substance)|Drug resistance (disorder),Factor H (substance)|Drug resistance (disorder)
12095,NCT03496116,Nicotine (substance),Nicotine (substance)
12096,NCT03496389,Gabapentin (substance),Nutrients (substance)
12097,NCT03496545,Bromocriptine (substance),Ergoline derivative (substance)
12098,NCT03496870,Carbidopa (substance)|Levodopa (substance)|Opicapone (substance),Catecholamine (substance)|Opicapone (substance)
12099,NCT03496883,Eptacog alfa (substance),Proenzyme (substance)
12100,NCT03497299,Varenicline (substance),Benzazepine (substance)
12101,NCT03497442,Substance with alpha adrenergic receptor agonist mechanism of action (substance)|Decongestant (substance)|Brimonidine (substance)|Substance with alpha-2 adrenergic receptor agonist mechanism of action (substance),Substance with alpha adrenergic receptor agonist mechanism of action (substance)|Decongestant (substance)|Brimonidine (substance)|Substance with alpha-2 adrenergic receptor agonist mechanism of action (substance)
12102,NCT03498131,Melatonin (substance),Melatonin (substance)
12103,NCT03499119,Clofazimine (substance),Antileprotic drug (substance)
12104,NCT03500094,Migalastat (substance),Nutrients (substance)
12105,NCT03500289,Ketamine (substance)|Memantine (substance)|Midazolam (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance)|Riluzole (substance),Hallucinogenic agent (substance)|Memantine (substance)|Hypnotic agent (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance)|Riluzole (substance)
12106,NCT03502551,Ketamine (substance),Hallucinogenic agent (substance)
12107,NCT03502941,Pea (substance)|Essential amino acid (substance)|Protein (substance),Pea (substance)|Nutrients (substance)|Protein (substance)
12108,NCT03503318,Risperidone (substance)|Californium-246 (substance),Risperidone (substance)|Radioactive isotope (substance)
12109,NCT03503513,Gentamicin (substance),Glycoside (substance)
12110,NCT03504475,Paroxetine (substance)|Paroxetine hydrochloride (substance),Antidepressant (substance)
12111,NCT03504917,Balsam (substance),Balsam (substance)
12112,NCT03505021,Levosimendan (substance)|Silver-109m (substance),Levosimendan (substance)|Radioactive isotope (substance)
12113,NCT03505099,Avacopan (substance)|Onasemnogene abeparvovec (substance),Immunosuppressant (substance)|Onasemnogene abeparvovec (substance)
12114,NCT03506841,Cerebrosidase (substance),Cerebrosidase (substance)
12115,NCT03507127,Varenicline (substance),Benzazepine (substance)
12116,NCT03507374,Proprotein convertase subtilisin/kexin type 9 gene (substance),Proprotein convertase subtilisin/kexin type 9 gene (substance)
12117,NCT03507569,Ceftriaxone sodium (substance),Lactam (substance)
12118,NCT03508440,Steroid (substance),Steroid (substance)
12119,NCT03508453,Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance)|Monoclonal antibody (substance),Substance with Cytomegalovirus terminase complex inhibitor mechanism of action (substance)|Antibody (substance)
12120,NCT03508700,Vasopressin tannate (substance),Vasopressin tannate (substance)
12121,NCT03508882,Clostridium botulinum toxin (substance),Bacterial agent (substance)
12122,NCT03508947,Silvex (substance),Biocide (substance)
12123,NCT03510338,Sildenafil (substance),Sulfone (substance)
12124,NCT03510546,Pyridostigmine (substance),Pyridostigmine (substance)
12125,NCT03510741,Acetylcysteine (substance)|Sodium benzoate (substance),Nutrients (substance)|Benzoate (substance)
12126,NCT03510975,Desmopressin (substance),Desmopressin (substance)
12127,NCT03511677,Vinyl acetate (substance),Acetate (substance)
12128,NCT03511846,Capsaicin (substance),Capsaicin (substance)
12129,NCT03513328,Busulfan (substance)|Fludarabine (substance)|Rabbit anti-human T-lymphocyte globulin (substance)|Rat protein (substance)|Thiotepa (substance),Immunologic agent (substance)|Immunoglobulin (substance)|Rat protein (substance)
12130,NCT03513757,Dexmedetomidine (substance)|Glycopyrronium bromide (substance)|Lidocaine (substance)|Nitrous oxide (substance)|Propofol (substance)|Sevoflurane (substance),Sedative (substance)|Antispasmodic (substance)|Local anesthetic (substance)|Gaseous substance (substance)|Propofol (substance)|Sevoflurane (substance)
12131,NCT03513822,Ketamine (substance),Hallucinogenic agent (substance)
12132,NCT03514875,Food antioxidant (substance)|Mitochondrial ribonucleic acid (substance)|Mitotane (substance),Food antioxidant (substance)|Ribonucleic acid (substance)|Mitotane (substance)
12133,NCT03515213,Fenofibrate (substance),Antilipemic agent (substance)
12134,NCT03515733,Tazemetostat hydrobromide (substance)|Substance with serotonin 5-hydroxytryptamine-4 receptor agonist mechanism of action (substance),Tazemetostat hydrobromide (substance)|Substance with serotonin 5-hydroxytryptamine-4 receptor agonist mechanism of action (substance)
12135,NCT03516487,Annexin A7 (substance),Annexin A7 (substance)
12136,NCT03516526,Natalizumab (substance),Antibody (substance)
12137,NCT03516604,Citalopram (substance)|Tazemetostat hydrobromide (substance)|Substance with serotonin 5-hydroxytryptamine-4 receptor agonist mechanism of action (substance),Antidepressant (substance)|Tazemetostat hydrobromide (substance)|Substance with serotonin 5-hydroxytryptamine-4 receptor agonist mechanism of action (substance)
12138,NCT03518021,Naloxone (substance),Naloxone (substance)
12139,NCT03518801,Cannabidiol (substance)|Substance with cannabinoid receptor agonist mechanism of action (substance),Hallucinogenic agent (substance)|Substance with cannabinoid receptor agonist mechanism of action (substance)
12140,NCT03520517,Chronic post-COVID-19 syndrome (disorder),Chronic post-COVID-19 syndrome (disorder)
12141,NCT03520998,Ceftazidime (substance),Lactam (substance)
12142,NCT03521635,Levodopa (substance)|Pramipexole (substance),Catecholamine (substance)|Pramipexole (substance)
12143,NCT03522129,"Tau protein, phosphorylated 181 (substance)",Tau protein (substance)
12144,NCT03522207,Trazodone (substance),Antidepressant (substance)
12145,NCT03522844,Escitalopram (substance)|Drug or medicament (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance),Antidepressant (substance)|Drug or medicament (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)
12146,NCT03526354,Brexpiprazole (substance),Brexpiprazole (substance)
12147,NCT03526822,Radioactive isotope (substance)|Temozolomide (substance),Radioactive isotope (substance)|Immunologic agent (substance)
12148,NCT03526978,Antigen of inactivated whole Human poliovirus (substance)|Verocytotoxin (substance),Antigen of Human poliovirus (substance)|Bacterial agent (substance)
12149,NCT03527186,Risperidone (substance),Risperidone (substance)
12150,NCT03530033,Lidocaine (substance),Local anesthetic (substance)
12151,NCT03530202,Creatine (substance),Metabolite (substance)
12152,NCT03530293,Aklomide (substance),Aklomide (substance)
12153,NCT03530800,Dronabinol (substance),Synthetic cannabinoid (substance)
12154,NCT03531060,Iridium-190m2 (substance)|Levodopa (substance),Radioactive isotope (substance)|Catecholamine (substance)
12155,NCT03531242,Rubidium-84 (substance)|Thyroid stimulating immunoglobulins (substance)|Antigen of Venezuelan equine encephalitis virus (substance),Radioactive isotope (substance)|Antibody (substance)|Antigen of Venezuelan equine encephalitis virus (substance)
12156,NCT03531684,Bismuth-205 (substance)|Monomethyl fumarate (substance),Radioactive isotope (substance)|Fumarate (substance)
12157,NCT03531710,Ubiquitin (substance),Ubiquitin (substance)
12158,NCT03532542,Casimersen (substance)|Frontofacionasal dysplasia syndrome (disorder)|Golodirsen (substance),Oligonucleotide (substance)|Frontofacionasal dysplasia syndrome (disorder)
12159,NCT03533114,Ticarcillin disodium (substance)|Sodium oxybate (substance),Lactam (substance)|4-hydroxybutyrate (substance)
12160,NCT03533257,B*3505 (substance)|Sodium phenylbutyrate (substance)|Ursodeoxycholic acid (substance),B*3505 (substance)|Sodium phenylbutyrate (substance)|Acid (substance)
12161,NCT03536559,Central topographic island (disorder),Central topographic island (disorder)
12162,NCT03536845,Ergocalciferol (substance)|Vitamin D and/or vitamin D derivative (substance),Nutrients (substance)
12163,NCT03537014,Methylenedioxymethamphetamine (substance),Amfetamine and/or amfetamine derivative (substance)
12164,NCT03537495,Ethambutol (substance)|Isoniazid (substance)|Linezolid (substance)|Pyrazinamide (substance)|Rifampicin (substance),Ethambutol (substance)|Isoniazid (substance)|Linezolid (substance)|Pyrazinamide (substance)|Rifampicin (substance)
12165,NCT03537950,Cannabidiol (substance),Hallucinogenic agent (substance)
12166,NCT03538054,Dextromethorphan (substance),Dextromethorphan (substance)
12167,NCT03538431,Anxiolytic agent (substance)|Buspirone (substance),Anxiolytic agent (substance)|Piperidine (substance)
12168,NCT03538522,Rubidium-83 (substance)|Probucol (substance),Radioactive isotope (substance)|Polyphenol (substance)
12169,NCT03539575,Synthetic cannabinoid (substance),Synthetic cannabinoid (substance)
12170,NCT03539614,Prazosin (substance),Prazosin (substance)
12171,NCT03539887,Ketamine (substance),Hallucinogenic agent (substance)
12172,NCT03539900,Bupropion (substance)|Naltrexone (substance),Antidepressant (substance)|Naltrexone (substance)
12173,NCT03539952,Penicillamine (substance)|Trientine tetrahydrochloride (substance),Nutrients (substance)|Trientine tetrahydrochloride (substance)
12174,NCT03540095,Nylidrin (substance)|Ropinirole (substance),Nylidrin (substance)|Ropinirole (substance)
12175,NCT03540485,Melatonin (substance)|Ocrelizumab (substance),Melatonin (substance)|Antibody (substance)
12176,NCT03540602,Polyphenol (substance),Polyphenol (substance)
12177,NCT03540745,Annexin A7 (substance),Annexin A7 (substance)
12178,NCT03541031,Fish oil (substance)|Nutrients (substance)|Mineral (substance)|N-3 fatty acid (substance)|Vitamin (substance),Fish (substance)|Nutrients (substance)|Mineral (substance)|Fatty acid (substance)
12179,NCT03541044,Nicotine (substance)|Nicotine resin complex (substance),Nicotine (substance)|Nicotine resin complex (substance)
12180,NCT03541356,"Substance with dihydroxyphenylalanine decarboxylase inhibitor mechanism of action (substance)|1,3-dichloro-2-propanol (substance)|Indium-110 (substance)|Tyrosine based polyarylate (substance)","Substance with dihydroxyphenylalanine decarboxylase inhibitor mechanism of action (substance)|1,3-dichloro-2-propanol (substance)|Radioactive isotope (substance)|Tyrosine based polyarylate (substance)"
12181,NCT03542357,Amprotropine (substance)|Calcitonin gene-related peptide (substance)|Sumatriptan (substance),Antispasmodic (substance)|Gastrointestinal hormone (substance)|Sulfone (substance)
12182,NCT03542851,Botulinum toxoid (substance),Bacterial agent (substance)
12183,NCT03542903,Clozapine (substance),Clozapine (substance)
12184,NCT03543137,Nicorandil (substance)|Nicotine (substance)|Nicotine resin complex (substance),Nicorandil (substance)|Nicotine (substance)|Nicotine resin complex (substance)
12185,NCT03543254,Clostridium botulinum toxin (substance)|OnabotulinumtoxinA (substance),Bacterial agent (substance)
12186,NCT03543826,Neostigmine (substance)|Rocuronium (substance)|Sugammadex (substance),Neostigmine (substance)|Skeletal muscle relaxant (substance)|Nutrients (substance)
12187,NCT03545789,Apelin (substance)|Ruthenium-95 (substance)|Polybrominated biphenyl (substance),Apelin (substance)|Radioactive isotope (substance)|Polybrominated biphenyl (substance)
12188,NCT03545997,Leukotriene (substance)|Montelukast (substance),Fatty acid (substance)|Montelukast (substance)
12189,NCT03546283,Plant cyanogenic glycoside (substance)|Glycoside (substance),Plant cyanogenic glycoside (substance)|Glycoside (substance)
12190,NCT03546634,Antigen of inactivated whole Human poliovirus (substance)|Acute poliomyelitis (disorder)|Brazilian hemorrhagic fever (disorder),Antigen of Human poliovirus (substance)|Viral disease (disorder)
12191,NCT03546959,Botulinum toxin type A (substance),Bacterial agent (substance)
12192,NCT03548155,Berberine (substance)|Anti-psychotic agent (substance)|Small for gestational age fetus (disorder)|Short stature with craniofacial anomalies and genital hypoplasia syndrome (disorder),Berberine (substance)|Anti-psychotic agent (substance)|Small for gestational age fetus (disorder)|Short stature disorder (disorder)
12193,NCT03548311,Mecobalamin (substance),Nutrients (substance)
12194,NCT03548415,Somatostatin (substance)|Aztreonam (substance)|Somatostatin analog (substance),Gastrointestinal hormone (substance)|Lactam (substance)
