,nct_id,canonical_BioLinkBERT-base_conditions,snomed_termid,linkbert_snomed_term_canonical_conditions,linkbert_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
41364,NCT04143958,fabry disease,16652001,Fabry's disease (disorder),0.005,"[1821000146108, 27550009, 42030000, 55342001, 95320005]","['Hereditary metabolic disease (disorder)', 'Disorder of blood vessel (disorder)', 'Disorder of the genitourinary system (disorder)', 'Neoplastic disease (disorder)', 'Disorder of skin (disorder)']",Hereditary metabolic disease (disorder)
41366,NCT04144218,focal refractory epilepsy,434541000124109,"Benign childhood epilepsy with centrotemporal spikes, refractory (disorder)",9.0024,"[128613002, 41969006]","['Seizure disorder (disorder)', 'Idiopathic disease (disorder)']",Seizure disorder (disorder)
41371,NCT04144439,adhd,406506008,Attention deficit hyperactivity disorder (disorder),8.7026,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
41376,NCT04145037,type 1 gaucher disease,62201009,Chronic non-neuropathic Gaucher's disease (disorder),2.9583,"[1821000146108, 128289001]","['Hereditary metabolic disease (disorder)', 'Chronic metabolic disorder (disorder)']",Hereditary metabolic disease (disorder)
41380,NCT04145258,"tuberculosis, meningeal",58437007,Tuberculosis of meninges (disorder),3.1958,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
41381,NCT04145258,tuberculous meningitis,58437007,Tuberculosis of meninges (disorder),0.0052,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
41385,NCT04145674,moderate to very severe restless legs syndrome,722963007,Secondary restless legs syndrome (disorder),10.0857,"[128137003, 39898005]","['Disorder of lower leg (disorder)', 'Sleep disorder (disorder)']",Disorder of lower leg (disorder)
41387,NCT04145674,"primary, moderate to very severe restless legs syndrome",722963007,Secondary restless legs syndrome (disorder),8.2307,"[128137003, 39898005]","['Disorder of lower leg (disorder)', 'Sleep disorder (disorder)']",Disorder of lower leg (disorder)
41390,NCT04146285,neuromyelitis optica,25044007,Neuromyelitis optica (disorder),0.002,"[77157004, 48522003]","['Disorder of optic nerve (disorder)', 'Spinal cord disorder (disorder)']",Disorder of optic nerve (disorder)
41401,NCT04148391,prodromal or manifest lewy body dementia,312991009,Senile dementia of the Lewy body type (disorder),7.547,"[15662003, 785810000]","['Senile dementia (disorder)', 'Synucleinopathy (disorder)']",Senile dementia (disorder)
41427,NCT04149483,intracranial aneurysm,128609009,Intracranial aneurysm (disorder),0.0039,"[27550009, 432119003]","['Disorder of blood vessel (disorder)', 'Aneurysm (disorder)']",Disorder of blood vessel (disorder)
41428,NCT04149483,intracranial unruptured aneurysms,713265001,Nontraumatic ruptured cerebral aneurysm (disorder),11.1306,"[282026002, 27550009, 1119219007, 432119003]","['Soft tissue injury (disorder)', 'Disorder of blood vessel (disorder)', 'Nontraumatic injury (disorder)', 'Aneurysm (disorder)']",Soft tissue injury (disorder)
41432,NCT04150549,relapsing multiple sclerosis,724778008,Progressive relapsing multiple sclerosis (disorder),4.9867,"[24700007, 128283000]","['Multiple sclerosis (disorder)', 'Chronic nervous system disorder (disorder)']",Multiple sclerosis (disorder)
41436,NCT04150757,vaso-occlusive episode,439129009,Thrombosis of blood vessel (disorder),11.6995,"[27550009, 439127006]","['Disorder of blood vessel (disorder)', 'Thrombosis (disorder)']",Disorder of blood vessel (disorder)
41437,NCT04150835,acute ischemic stroke,422504002,Ischemic stroke (disorder),7.675,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
41439,NCT04150913,car-t cell mediated neurotoxicity,1230414002,Immune effector cell-associated neurotoxicity syndrome (disorder),10.7771,"[56019007, 127341005, 128482007, 75478009]","['Systemic disease (disorder)', 'Acute nervous system disorder (disorder)', 'Acute inflammatory disease (disorder)', 'Poisoning (disorder)']",Systemic disease (disorder)
41440,NCT04150913,cytokine release syndrome,710027002,Cytokine-associated toxicity (disorder),0.0,"[75478009, 56019007]","['Poisoning (disorder)', 'Systemic disease (disorder)']",Poisoning (disorder)
41448,NCT04151082,late radiation-associated lower cranial neuropathy,722606000,Optic neuropathy caused by ionizing radiation following radiotherapy procedure (disorder),9.6942,"[77157004, 57182000, 24803000, 400209005]","['Disorder of optic nerve (disorder)', 'Nerve injury (disorder)', 'Injury caused by ionizing radiation (disorder)', 'Injury caused by causative force (disorder)']",Disorder of optic nerve (disorder)
41449,NCT04151082,oropharyngeal cancer,363392002,Malignant tumor of oropharynx (disorder),6.735,"[232208008, 50410009, 50043002, 55342001, 76712006]","['Ear, nose and throat disorder (disorder)', 'Disorder of upper digestive tract (disorder)', 'Disorder of respiratory system (disorder)', 'Neoplastic disease (disorder)', 'Disorder of digestive organ (disorder)']","Ear, nose and throat disorder (disorder)"
41450,NCT04151472,episodic migraine,471651000124106,Episodic migraine (disorder),0.0039,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41451,NCT04151472,episodic migraine with or without aura,471651000124106,Episodic migraine (disorder),5.5027,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41452,NCT04151472,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41453,NCT04151472,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41455,NCT04152083,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41456,NCT04152083,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41463,NCT04153422,chronic inflammatory demyelinating polyneuropathy,128209004,Chronic inflammatory demyelinating polyradiculoneuropathy (disorder),0.0057,"[302226006, 128283000]","['Peripheral nerve disease (disorder)', 'Chronic nervous system disorder (disorder)']",Peripheral nerve disease (disorder)
41466,NCT04153422,plexin d1 antibodies,259921001,Plexin d1 antibodies,12.157,"[106181007, 312413002]","['Immunologic substance (substance)', 'Substance categorized by structure (substance)']",Plexin d1 antibodies
41469,NCT04153422,"ts-hds, fgfr-3, or",722105002,Oro-facial digital syndrome type 5 (disorder),13.9215,"[50410009, 276654001, 95320005, 110359009]","['Disorder of upper digestive tract (disorder)', 'Congenital malformation (disorder)', 'Disorder of skin (disorder)', 'Intellectual disability (disorder)']",Disorder of upper digestive tract (disorder)
41471,NCT04153942,ischemic stroke,422504002,Ischemic stroke (disorder),0.0039,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
41481,NCT04155424,neuromyelitis optica,25044007,Neuromyelitis optica (disorder),0.002,"[77157004, 48522003]","['Disorder of optic nerve (disorder)', 'Spinal cord disorder (disorder)']",Disorder of optic nerve (disorder)
41482,NCT04155424,neuromyelitis optica spectrum disorder,25044007,Neuromyelitis optica (disorder),6.3801,"[77157004, 48522003]","['Disorder of optic nerve (disorder)', 'Spinal cord disorder (disorder)']",Disorder of optic nerve (disorder)
41483,NCT04155424,relapsing neuromyelitis optica spectrum disorder,25044007,Neuromyelitis optica (disorder),9.6601,"[77157004, 48522003]","['Disorder of optic nerve (disorder)', 'Spinal cord disorder (disorder)']",Disorder of optic nerve (disorder)
41484,NCT04155632,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
41498,NCT04158752,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41499,NCT04158752,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41504,NCT04158752,trigeminal and glossopharyngeal pain,43763009,Glossopharyngeal neuralgia (disorder),8.8881,"[232208008, 50410009, 15241006, 76712006, 23096007, 302226006, 50043002]","['Ear, nose and throat disorder (disorder)', 'Disorder of upper digestive tract (disorder)', 'Disorder of autonomic nervous system (disorder)', 'Disorder of digestive organ (disorder)', 'Cranial neuralgia (disorder)', 'Peripheral nerve disease (disorder)', 'Disorder of respiratory system (disorder)']","Ear, nose and throat disorder (disorder)"
41505,NCT04158752,trigeminal or glossopharyngeal nerve pain,31681005,Trigeminal neuralgia (disorder),8.2685,"[23096007, 302226006]","['Cranial neuralgia (disorder)', 'Peripheral nerve disease (disorder)']",Cranial neuralgia (disorder)
41506,NCT04159805,generalized myasthenia gravis,230686005,Generalized myasthenia (disorder),4.136,"[85828009, 75047002]","['Autoimmune disease (disorder)', 'Disorder of skeletal muscle (disorder)']",Autoimmune disease (disorder)
41507,NCT04159805,myasthenia gravis,91637004,Myasthenia gravis (disorder),0.0,"[85828009, 75047002]","['Autoimmune disease (disorder)', 'Disorder of skeletal muscle (disorder)']",Autoimmune disease (disorder)
41515,NCT04160611,ivf,1148927006,Idiopathic female infertility (disorder),13.4438,"[42030000, 41969006]","['Disorder of the genitourinary system (disorder)', 'Idiopathic disease (disorder)']",Disorder of the genitourinary system (disorder)
41524,NCT04161144,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[1254812006, 66214007]","['Substance dependence (disorder)', 'Substance abuse (disorder)']",Substance dependence (disorder)
41525,NCT04161339,moderate-severe obstructive sleep apnea,16275741000119100,Severe pediatric obstructive sleep apnea (disorder),8.1779,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
41526,NCT04161690,acute postoperative pain,64581007,Postoperative nausea (disorder),11.9381,"[738668004, 119292006, 50410009]","['Perioperative complication (disorder)', 'Disorder of gastrointestinal tract (disorder)', 'Disorder of upper digestive tract (disorder)']",Perioperative complication (disorder)
41529,NCT04161690,total knee arthroplasty,281450006,Loosening of total knee replacement (disorder),12.5735,"[111746009, 88230002]","['Mechanical complication of device (disorder)', 'Disorder of skeletal system (disorder)']",Mechanical complication of device (disorder)
41530,NCT04161690,unilateral,1285322008,Triopia (disorder),11.6905,"[276654001, 11164009, 371409005, 88230002]","['Congenital malformation (disorder)', 'Autosomal dominant hereditary disorder (disorder)', 'Disorder of eye region (disorder)', 'Disorder of skeletal system (disorder)']",Congenital malformation (disorder)
41531,NCT04161729,lumbar laminectomy surgery,262713001,Transection of lumbar cord (disorder),9.501,"[282026002, 48522003, 262521009, 48125009]","['Soft tissue injury (disorder)', 'Spinal cord disorder (disorder)', 'Traumatic injury of spinal cord and/or vertebral column (disorder)', 'Injury of trunk (disorder)']",Soft tissue injury (disorder)
41538,NCT04162743,insomnic ischemic stroke,16891111000119104,Cryptogenic stroke (disorder),10.4453,"[230690007, 389100007, 41969006]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)', 'Idiopathic disease (disorder)']",Cerebrovascular accident (disorder)
41539,NCT04162743,insomnic stroke,195213000,Cerebellar stroke syndrome (disorder),10.2618,"[223176004, 230690007]","['Cerebellar disorder (disorder)', 'Cerebrovascular accident (disorder)']",Cerebellar disorder (disorder)
41540,NCT04162743,low arousal threshold phenotype,732250002,Craniosynostosis fibular aplasia syndrome (disorder),13.1633,"[128137003, 276654001, 88230002]","['Disorder of lower leg (disorder)', 'Congenital malformation (disorder)', 'Disorder of skeletal system (disorder)']",Disorder of lower leg (disorder)
41541,NCT04162743,"sleep apnea, obstructive",78275009,Obstructive sleep apnea syndrome (disorder),2.3482,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
41543,NCT04163185,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41544,NCT04163185,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41545,NCT04163185,migraine pain,37796009,Migraine (disorder),4.4682,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41546,NCT04163185,migraine with or without aura,56097005,Migraine without aura (disorder),4.4049,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41551,NCT04165239,mitochondrial dna trnaleu (uur) m. 3243a > g mutation,711409002,"3-methylglutaconic aciduria type IV with sensorineural deafness, encephalopathy and Leigh-like syndrome (disorder)",15.333,"[15188001, 1821000146108, 44779003]","['Hearing loss (disorder)', 'Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hearing loss (disorder)
41553,NCT04165486,multiple system atrophy,230297002,Multiple system atrophy (disorder),0.0,"[15241006, 785810000]","['Disorder of autonomic nervous system (disorder)', 'Synucleinopathy (disorder)']",Disorder of autonomic nervous system (disorder)
41560,NCT04168879,nasal surgery,283404004,Cut of nose (disorder),14.6298,"[232208008, 125593007, 416462003]","['Ear, nose and throat disorder (disorder)', 'Injury of face (disorder)', 'Wound (disorder)']","Ear, nose and throat disorder (disorder)"
41561,NCT04168879,sphenopalatine ganglion block,61830005,Sphenopalatine neuralgia (disorder),10.4708,"[15241006, 23096007, 302226006]","['Disorder of autonomic nervous system (disorder)', 'Cranial neuralgia (disorder)', 'Peripheral nerve disease (disorder)']",Disorder of autonomic nervous system (disorder)
41563,NCT04170738,adhd,406506008,Attention deficit hyperactivity disorder (disorder),8.7026,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
41569,NCT04172285,sarcopenia,772791006,Sarcopenia (disorder),0.0,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
41580,NCT04173364,arthroscopic shoulder surgery,287035002,Rupture of synovium of shoulder (disorder),13.9596,"[282026002, 88230002, 105606008]","['Soft tissue injury (disorder)', 'Disorder of skeletal system (disorder)', 'Injury of musculoskeletal system (disorder)']",Soft tissue injury (disorder)
41582,NCT04173364,dysfunction diaphragmatic,48475001,Disorder of diaphragm (disorder),5.8775,"[75047002, 50043002]","['Disorder of skeletal muscle (disorder)', 'Disorder of respiratory system (disorder)']",Disorder of skeletal muscle (disorder)
41583,NCT04173364,hemi-diaphragmatic paresis,64228003,Paralysis of diaphragm (disorder),8.5909,"[75047002, 50043002]","['Disorder of skeletal muscle (disorder)', 'Disorder of respiratory system (disorder)']",Disorder of skeletal muscle (disorder)
41605,NCT04176172,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
41614,NCT04176172,tobacco use,89765005,Tobacco dependence syndrome (disorder),6.5418,"[1254812006, 66214007]","['Substance dependence (disorder)', 'Substance abuse (disorder)']",Substance dependence (disorder)
41615,NCT04176302,i,44588005,I,9.1164,"[312413002, 115669006]","['Substance categorized by structure (substance)', 'Substance categorized by physical state (substance)']",I
41617,NCT04176991,friedreich ataxia,10394003,Friedreich ataxia (disorder),0.0,"[48522003, 223176004, 763597000, 128283000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)', 'Chronic nervous system disorder (disorder)']",Spinal cord disorder (disorder)
41618,NCT04177615,basilar artery occlusion stroke,239965291000119107,Cerebrovascular accident due to occlusion of basilar artery (disorder),3.9706,"[127341005, 230690007, 128487001]","['Acute nervous system disorder (disorder)', 'Cerebrovascular accident (disorder)', 'Acute disease of cardiovascular system (disorder)']",Acute nervous system disorder (disorder)
41626,NCT04178005,active secondary progressive multiple sclerosis,425500002,Secondary progressive multiple sclerosis (disorder),8.3925,"[24700007, 128283000]","['Multiple sclerosis (disorder)', 'Chronic nervous system disorder (disorder)']",Multiple sclerosis (disorder)
41627,NCT04178005,active spms,428700003,Primary progressive multiple sclerosis (disorder),13.3678,"[24700007, 128283000]","['Multiple sclerosis (disorder)', 'Chronic nervous system disorder (disorder)']",Multiple sclerosis (disorder)
41631,NCT04179266,cch,399040002,Congenital central hypoventilation (disorder),12.2685,"[15241006, 39898005]","['Disorder of autonomic nervous system (disorder)', 'Sleep disorder (disorder)']",Disorder of autonomic nervous system (disorder)
41634,NCT04179266,chronic cluster headache,230473009,Chronic cluster headache (disorder),0.007,"[230461009, 128283000]","['Headache disorder (disorder)', 'Chronic nervous system disorder (disorder)']",Headache disorder (disorder)
41637,NCT04179266,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41638,NCT04179266,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41639,NCT04179266,mixed headache,95657009,Chronic mixed headache syndrome (disorder),7.1546,"[27550009, 230461009, 128283000]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)', 'Chronic nervous system disorder (disorder)']",Disorder of blood vessel (disorder)
41643,NCT04179266,refractory chronic cluster headache,425365009,Refractory migraine variants (disorder),10.0567,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41644,NCT04179409,dmd duplications,240048000,X-linked muscular dystrophy with abnormal dystrophin (disorder),12.2425,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
41645,NCT04179409,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
41646,NCT04179409,duchennemuscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),5.3025,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
41648,NCT04179409,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
41649,NCT04179474,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41650,NCT04179474,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
41653,NCT04181723,rett syndrome,68618008,Rett syndrome (disorder),0.0,"[1296869000, 129104009, 128293007, 110359009, 128283000]","['Methyl-cytosine phosphate guanine binding protein-2 related disorder (disorder)', 'Developmental mental disorder (disorder)', 'Chronic mental disorder (disorder)', 'Intellectual disability (disorder)', 'Chronic nervous system disorder (disorder)']",Methyl-cytosine phosphate guanine binding protein-2 related disorder (disorder)
41657,NCT04182399,levodopa,387086006,Levodopa,0.0,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Levodopa
41660,NCT04182633,constipation,197118003,Constipation - functional (disorder),5.6313,"[76712006, 119292006]","['Disorder of digestive organ (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
41661,NCT04182633,diarrhea,128333008,Diarrheal disorder (disorder),2.7673,"[76712006, 119292006]","['Disorder of digestive organ (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
41667,NCT04184063,multiple system atrophy,230297002,Multiple system atrophy (disorder),0.0,"[15241006, 785810000]","['Disorder of autonomic nervous system (disorder)', 'Synucleinopathy (disorder)']",Disorder of autonomic nervous system (disorder)
41668,NCT04184063,progressive supranuclear palsy,192976002,Progressive supranuclear palsy (disorder),0.002,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
41669,NCT04184063,"supranuclear palsy, progressive",192976002,Progressive supranuclear palsy (disorder),2.2785,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
41670,NCT04185038,b7,1229843000,B7,9.1513,"[312413002, 106181007]","['Substance categorized by structure (substance)', 'Immunologic substance (substance)']",B7
41676,NCT04185038,recurrent or refractory pediatric central nervous system tumors,1208339007,Neuhauser Eichner Opitz syndrome (disorder),13.6181,"[58184002, 763597000, 11164009]","['Recurrent disease (disorder)', 'Hereditary ataxia (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Recurrent disease (disorder)
41680,NCT04185415,progressive supranuclear palsy,192976002,Progressive supranuclear palsy (disorder),0.002,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
41681,NCT04185415,"supranuclear palsy, progressive",192976002,Progressive supranuclear palsy (disorder),2.2785,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
41689,NCT04186494,moderate to severe obstructive sleep apnea,16275741000119100,Severe pediatric obstructive sleep apnea (disorder),8.0768,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
41690,NCT04186494,obstructive sleep apnoea,78275009,Obstructive sleep apnea syndrome (disorder),0.0,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
41692,NCT04187547,mild to moderately severe probable alzheimer's disease,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",11.2578,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
41695,NCT04189107,squamous cell carcinoma of unknown primary and obstructive sleep apnea,721605003,Primary squamous cell carcinoma of overlapping sites of accessory sinuses (disorder),13.1537,"[232208008, 50043002, 55342001]","['Ear, nose and throat disorder (disorder)', 'Disorder of respiratory system (disorder)', 'Neoplastic disease (disorder)']","Ear, nose and throat disorder (disorder)"
41696,NCT04189107,transoral robotic surgery,763834000,Oro-facial digital syndrome type 12 (disorder),14.6144,"[50410009, 56265001, 276654001, 95320005]","['Disorder of upper digestive tract (disorder)', 'Heart disease (disorder)', 'Congenital malformation (disorder)', 'Disorder of skin (disorder)']",Disorder of upper digestive tract (disorder)
41697,NCT04189107,transoral robotic surgery for,763834000,Oro-facial digital syndrome type 12 (disorder),14.4646,"[50410009, 56265001, 276654001, 95320005]","['Disorder of upper digestive tract (disorder)', 'Heart disease (disorder)', 'Congenital malformation (disorder)', 'Disorder of skin (disorder)']",Disorder of upper digestive tract (disorder)
41704,NCT04192656,idiopathic sudden sensorineural hearing loss,724636005,Sudden idiopathic hearing loss (disorder),4.2809,"[15188001, 41969006]","['Hearing loss (disorder)', 'Idiopathic disease (disorder)']",Hearing loss (disorder)
41705,NCT04192656,isshl,765471005,"X-linked intellectual disability, hypogonadism, ichthyosis, obesity, short stature syndrome (disorder)",12.3896,"[362969004, 42030000, 276654001, 95320005, 110359009, 237836003]","['Disorder of endocrine system (disorder)', 'Disorder of the genitourinary system (disorder)', 'Congenital malformation (disorder)', 'Disorder of skin (disorder)', 'Intellectual disability (disorder)', 'Short stature disorder (disorder)']",Disorder of endocrine system (disorder)
41706,NCT04192656,osa,78275009,Obstructive sleep apnea syndrome (disorder),8.4152,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
41707,NCT04192656,"sleep apnea, obstructive",78275009,Obstructive sleep apnea syndrome (disorder),2.3482,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
41712,NCT04193527,multiple system atrophy,230297002,Multiple system atrophy (disorder),0.0,"[15241006, 785810000]","['Disorder of autonomic nervous system (disorder)', 'Synucleinopathy (disorder)']",Disorder of autonomic nervous system (disorder)
41713,NCT04193527,"multiple system atrophy,",230297002,Multiple system atrophy (disorder),1.7986,"[15241006, 785810000]","['Disorder of autonomic nervous system (disorder)', 'Synucleinopathy (disorder)']",Disorder of autonomic nervous system (disorder)
41717,NCT04193527,progressive supranuclear palsy,192976002,Progressive supranuclear palsy (disorder),0.002,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
41720,NCT04193527,striatal dopaminergic deficit,725392005,Autosomal dominant striatal neurodegeneration (disorder),10.6847,"[32798002, 11164009]","['Parkinsonism (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Parkinsonism (disorder)
41721,NCT04193527,"supranuclear palsy, progressive",192976002,Progressive supranuclear palsy (disorder),2.2785,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
41725,NCT04196946,acute appendicitis,85189001,Acute appendicitis (disorder),0.0,"[76712006, 128482007, 128999004, 119292006]","['Disorder of digestive organ (disorder)', 'Acute inflammatory disease (disorder)', 'Inflammatory disorder of digestive tract (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
41727,NCT04196946,appendectomy,262863003,Transection of appendix (disorder),11.526,"[76712006, 48125009, 119292006]","['Disorder of digestive organ (disorder)', 'Injury of trunk (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
41728,NCT04196946,appendicitis,74400008,Appendicitis (disorder),0.0,"[76712006, 128999004, 119292006]","['Disorder of digestive organ (disorder)', 'Inflammatory disorder of digestive tract (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
41729,NCT04196946,laparoscopic appendectomy,4998000,Acute obstructive appendicitis (disorder),14.0511,"[76712006, 128482007, 128999004, 119292006]","['Disorder of digestive organ (disorder)', 'Acute inflammatory disease (disorder)', 'Inflammatory disorder of digestive tract (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
41730,NCT04196946,laparoscopic appendectomy surgery,4998000,Acute obstructive appendicitis (disorder),14.1847,"[76712006, 128482007, 128999004, 119292006]","['Disorder of digestive organ (disorder)', 'Acute inflammatory disease (disorder)', 'Inflammatory disorder of digestive tract (disorder)', 'Disorder of gastrointestinal tract (disorder)']",Disorder of digestive organ (disorder)
41733,NCT04198129,mandible fractures,263172003,Fracture of mandible (disorder),3.0236,"[125593007, 88230002, 105606008]","['Injury of face (disorder)', 'Disorder of skeletal system (disorder)', 'Injury of musculoskeletal system (disorder)']",Injury of face (disorder)
