,Neurological Disease,Source,Disease Class
12784,Primary cerebral arteritis,ICD,Diseases of the nervous system
12785,Primary cough headache,ICD,Diseases of the nervous system
12786,Primary disorders of muscles,ICD,Diseases of the nervous system
12787,Primary dystonia,ICD,Diseases of the nervous system
12788,Primary dystonia DYT1 gene mutation,ICD,Diseases of the nervous system
12789,"Primary dystonia, DYT13 type",ICD,Diseases of the nervous system
12790,"Primary dystonia, DYT2 type",ICD,Diseases of the nervous system
12791,"Primary dystonia, DYT4 type",ICD,Diseases of the nervous system
12792,"Primary dystonia, DYT6 type",ICD,Diseases of the nervous system
12793,"Primary dystonia, familial",ICD,Diseases of the nervous system
12794,Primary erythromelalgia,ICD,Diseases of the nervous system
12795,Primary exercise headache,ICD,Diseases of the nervous system
12796,Primary familial brain calcification,ICD,Diseases of the nervous system
12797,Primary generalised hyperhidrosis,ICD,Diseases of the nervous system
12798,Primary headache associated with sexual activity,ICD,Diseases of the nervous system
12799,Primary lateral sclerosis,ICD,Diseases of the nervous system
12800,Primary progressive apraxia,ICD,Diseases of the nervous system
12801,Primary progressive freezing gait,ICD,Diseases of the nervous system
12802,Primary progressive multiple sclerosis,ICD,Diseases of the nervous system
12803,Primary progressive visual-spatial impairment,ICD,Diseases of the nervous system
12804,Primary stabbing headache,ICD,Diseases of the nervous system
12805,Primary stereotypy,ICD,Diseases of the nervous system
12806,Primary syringomyelia,ICD,Diseases of the nervous system
12807,Primary syringomyelia or hydromyelia,ICD,Diseases of the nervous system
12808,Primary tethered cord syndrome,ICD,Diseases of the nervous system
12809,Primary thunderclap headache,ICD,Diseases of the nervous system
12810,Primary tics or tic disorders,ICD,Diseases of the nervous system
12811,Primary writing tremor,ICD,Diseases of the nervous system
12812,Prion Disease,MeSH,Neurodegenerative Diseases
12813,Prion Diseases,MeSH,Neurodegenerative Diseases
12814,Prion Induced Disorder,MeSH,Neurodegenerative Diseases
12815,Prion Protein Disease,MeSH,Neurodegenerative Diseases
12816,Prion Protein Diseases,MeSH,Neurodegenerative Diseases
12817,Prion-Associated Disorders,MeSH,Neurodegenerative Diseases
12818,Prion-Induced Disorder,MeSH,Neurodegenerative Diseases
12819,Prion-Induced Disorders,MeSH,Neurodegenerative Diseases
12820,Probable autosomal recessive dystonia,ICD,Diseases of the nervous system
12821,"Processing Disorder, Auditory",MeSH,Neurologic Manifestations
12822,"Processing Disorders, Auditory",MeSH,Neurologic Manifestations
12823,Profound Alexia,ICD,Diseases of the nervous system
12824,Progeria Like Syndrome,MeSH,Neurodegenerative Diseases
12825,Progeria-Like Syndrome,MeSH,Neurodegenerative Diseases
12826,Progeria-Like Syndromes,MeSH,Neurodegenerative Diseases
12827,Progeroid Nanism,MeSH,Neurodegenerative Diseases
12828,"Progressive Aphasia, Primary",MeSH,Central Nervous System Diseases
12829,"Progressive Aphasias, Primary",MeSH,Central Nervous System Diseases
12830,Progressive Ataxia palatal tremor syndrome-GFAP gene mutation,ICD,Diseases of the nervous system
12831,Progressive Autonomic Failure,MeSH,Central Nervous System Diseases
12832,Progressive Autonomic Failures,MeSH,Central Nervous System Diseases
12833,Progressive Bulbar Palsies,MeSH,Neurodegenerative Diseases
12834,"Progressive Chorea, Chronic Hereditary (Huntington)",MeSH,Neurodegenerative Diseases
12835,"Progressive Chorea, Hereditary, Chronic (Huntington)",MeSH,Neurodegenerative Diseases
12836,Progressive External Ophthalmoplegia,MeSH,Neurologic Manifestations
12837,Progressive Facial Hemiatrophies,MeSH,Cranial Nerve Diseases
12838,Progressive Facial Hemiatrophy,MeSH,Cranial Nerve Diseases
12839,Progressive Hemifacial Atrophies,MeSH,Cranial Nerve Diseases
12840,Progressive Hemifacial Atrophy,MeSH,Cranial Nerve Diseases
12841,Progressive Intracranial Occlusive Arteropathy (Moyamoya),MeSH,Central Nervous System Diseases
12842,Progressive Lenticular Degeneration,MeSH,Central Nervous System Diseases
12843,Progressive Multifocal Leukoencephalopathies,MeSH,Central Nervous System Diseases
12844,Progressive Multifocal Leukoencephalopathy,MeSH,Central Nervous System Diseases
12845,"Progressive Muscular Dystrophy, Duchenne Type",MeSH,Neuromuscular Diseases
12846,"Progressive Muscular Dystrophy, Facioscapulohumeral Type",MeSH,Neuromuscular Diseases
12847,"Progressive Muscular Dystrophy, Oculopharyngeal Type",MeSH,Neuromuscular Diseases
12848,Progressive Myoclonic Epilepsies,MeSH,Central Nervous System Diseases
12849,Progressive Myoclonic Epilepsy,MeSH,Central Nervous System Diseases
12850,Progressive Myoclonic Epilepsy Type 2,MeSH,Central Nervous System Diseases
12851,"Progressive Myoclonic Epilepsy, Lafora",MeSH,Central Nervous System Diseases
12852,"Progressive Myoclonic Epilepsy, Lafora Type",MeSH,Central Nervous System Diseases
12853,Progressive Myoclonus Epilepsies,MeSH,Central Nervous System Diseases
12854,Progressive Myoclonus Epilepsy,MeSH,Central Nervous System Diseases
12855,Progressive Myoclonus Epilepsy 1,MeSH,Central Nervous System Diseases
12856,"Progressive Myoclonus Epilepsy, Lafora Type",MeSH,Central Nervous System Diseases
12857,Progressive Myoclonus Epilepsybaltic Myoclonic Epilepsy,MeSH,Central Nervous System Diseases
12858,Progressive Nonfluent Aphasia,MeSH,Central Nervous System Diseases
12859,Progressive Nonfluent Aphasias,MeSH,Central Nervous System Diseases
12860,Progressive Supranuclear Palsies,MeSH,Cranial Nerve Diseases
12861,Progressive Supranuclear Palsy,MeSH,Cranial Nerve Diseases
12862,Progressive Torsion Spasm,MeSH,Neurodegenerative Diseases
12863,Progressive bulbar palsy,ICD,Diseases of the nervous system
12864,Progressive cavitating leukoencephalopathy,ICD,Diseases of the nervous system
12865,Progressive chronic inflammatory demyelinating neuropathy,ICD,Diseases of the nervous system
12866,Progressive encephalitis with rigidity or myoclonus,ICD,Diseases of the nervous system
12867,Progressive external ophthalmoplegia,ICD,Diseases of the nervous system
12868,"Progressive external ophthalmoplegia, autosomal dominant",ICD,Diseases of the nervous system
12869,"Progressive external ophthalmoplegia, autosomal dominant, type 1",ICD,Diseases of the nervous system
12870,"Progressive external ophthalmoplegia, autosomal dominant, type 2",ICD,Diseases of the nervous system
12871,"Progressive external ophthalmoplegia, autosomal dominant, type 3",ICD,Diseases of the nervous system
12872,"Progressive external ophthalmoplegia, autosomal dominant, type 4",ICD,Diseases of the nervous system
12873,"Progressive external ophthalmoplegia, autosomal dominant, type 5",ICD,Diseases of the nervous system
12874,"Progressive external ophthalmoplegia, autosomal recessive",ICD,Diseases of the nervous system
12875,Progressive focal atrophies,ICD,Diseases of the nervous system
12876,Progressive hemifacial paralysis,ICD,Diseases of the nervous system
12877,Progressive hypertrophic interstitial neuropathy,ICD,Diseases of the nervous system
12878,Progressive isolated aphasia,ICD,Diseases of the nervous system
12879,Progressive isolated segmental anhidrosis,ICD,Diseases of the nervous system
12880,Progressive multifocal leukoencephalopathy,ICD,Diseases of the nervous system
12881,Progressive muscular atrophy,ICD,Diseases of the nervous system
12882,Progressive myoclonic epilepsy,ICD,Diseases of the nervous system
12883,Progressive myoclonic epilepsy type 1,ICD,Diseases of the nervous system
12884,Progressive myoclonic epilepsy type 2,ICD,Diseases of the nervous system
12885,Progressive myoclonic epilepsy type 3,ICD,Diseases of the nervous system
12886,Progressive myoclonic epilepsy type 6,ICD,Diseases of the nervous system
12887,Progressive neuropathic muscular atrophy,ICD,Diseases of the nervous system
12888,Progressive pallidal degeneration,ICD,Diseases of the nervous system
12889,Progressive pseudobulbar palsy,ICD,Diseases of the nervous system
12890,Progressive spinal cord paralysis,ICD,Diseases of the nervous system
12891,Progressive subcortical ischemic demyelination,ICD,Diseases of the nervous system
12892,Progressive supranuclear palsy,ICD,Diseases of the nervous system
12893,Progressive supranuclear palsy - corticobasal syndrome,ICD,Diseases of the nervous system
12894,Progressive supranuclear palsy - parkinsonism,ICD,Diseases of the nervous system
12895,Progressive supranuclear palsy - progressive non fluent aphasia,ICD,Diseases of the nervous system
12896,Progressive supranuclear palsy - pure akinesia with gait freezing,ICD,Diseases of the nervous system
12897,Prolactin Hypersecretion Syndrome,MeSH,Central Nervous System Diseases
12898,Prolactin Producing Pituitary Adenoma,MeSH,Central Nervous System Diseases
12899,Prolactin Secreting Pituitary Adenoma,MeSH,Central Nervous System Diseases
12900,"Prolactin Secretion, Inappropriate",MeSH,Central Nervous System Diseases
12901,"Prolactin, Inappropriate Secretion",MeSH,Central Nervous System Diseases
12902,Prolactin-Producing Pituitary Adenoma,MeSH,Central Nervous System Diseases
12903,Prolactin-Producing Pituitary Adenomas,MeSH,Central Nervous System Diseases
12904,Prolactin-Secreting Pituitary Adenoma,MeSH,Central Nervous System Diseases
12905,Prolactin-Secreting Pituitary Adenomas,MeSH,Central Nervous System Diseases
12906,Prolactinoma,MeSH,Central Nervous System Diseases
12907,"Prolactinoma, Familial",MeSH,Central Nervous System Diseases
12908,Prolactinomas,MeSH,Central Nervous System Diseases
12909,Prolonged grief disorder,ICD,Diseases of the nervous system
12910,Prominent anxiety symptoms in mood episodes,ICD,Diseases of the nervous system
12911,Prominent personality traits or patterns,ICD,Diseases of the nervous system
12912,Propriospinal myoclonus,ICD,Diseases of the nervous system
12913,Propriospinal myoclonus at sleep onset,ICD,Diseases of the nervous system
12914,Propriospinal myoclonus at sleep onset in infancy,ICD,Diseases of the nervous system
12915,Prosopagnosia,MeSH,Neurologic Manifestations
12916,Prosopagnosias,MeSH,Neurologic Manifestations
12917,"Proteinopathies, TDP-43",MeSH,Neurodegenerative Diseases
12918,"Proteinopathy, TDP-43",MeSH,Neurodegenerative Diseases
12919,"Protozoal Infection, CNS",MeSH,Central Nervous System Diseases
12920,"Protozoal Infections, CNS",MeSH,Central Nervous System Diseases
12921,"Protozoal Infections, Central Nervous System",MeSH,Central Nervous System Diseases
12922,Pseudo-abducens palsy,ICD,Diseases of the nervous system
12923,Pseudobulbar Palsies,MeSH,Neurologic Manifestations
12924,Pseudobulbar Palsy,MeSH,Neurologic Manifestations
12925,Pseudobulbar Paralyses,MeSH,Neurologic Manifestations
12926,Pseudobulbar Paralysis,MeSH,Neurologic Manifestations
12927,Pseudobulbar Pareses,MeSH,Neurologic Manifestations
12928,Pseudobulbar Paresis,MeSH,Neurologic Manifestations
12929,Pseudobulbar Syndrome,MeSH,Neurologic Manifestations
12930,Pseudobulbar Syndromes,MeSH,Neurologic Manifestations
12931,Pseudoglycogenosis 2,MeSH,Neurologic Manifestations
12932,Pseudoglycogenosis 2s,MeSH,Neurologic Manifestations
12933,Pseudoglycogenosis II,MeSH,Neurologic Manifestations
12934,Pseudoglycogenosis IIs,MeSH,Neurologic Manifestations
12935,Pseudohypertrophic Childhood Muscular Dystrophy,MeSH,Neuromuscular Diseases
12936,Pseudohypertrophic Muscular Dystrophy,MeSH,Neuromuscular Diseases
12937,"Pseudohypertrophic Muscular Dystrophy, Childhood",MeSH,Neuromuscular Diseases
12938,Pseudomelia,MeSH,Neurologic Manifestations
12939,Pseudomelias,MeSH,Neurologic Manifestations
12940,Pseudomeningitides,MeSH,Neurologic Manifestations
12941,Pseudomeningitis,MeSH,Neurologic Manifestations
12942,Pseudomyotonia,ICD,Diseases of the nervous system
12943,Pseudomyotonia Syndrome of Isaacs,MeSH,Neuromuscular Diseases
12944,Pseudopapilloedema of optic disc,ICD,Diseases of the nervous system
12945,Pseudopolyneuritic form of Amyotrophic lateral sclerosis,ICD,Diseases of the nervous system
12946,Pseudorabies,MeSH,Central Nervous System Diseases
12947,"Pseudoscleroses, Cerebral",MeSH,Central Nervous System Diseases
12948,Pseudosclerosis,MeSH,Central Nervous System Diseases
12949,"Pseudosclerosis, Cerebral",MeSH,Central Nervous System Diseases
12950,Pseudotetanus,ICD,Diseases of the nervous system
12951,Pseudotetany,ICD,Diseases of the nervous system
12952,Pseudotumor Cerebri,MeSH,Central Nervous System Diseases
12953,Pseudotumour Cerebri related to Hypervitaminosis A,ICD,Diseases of the nervous system
12954,Pseudotumour cerebri related to obesity,ICD,Diseases of the nervous system
12955,Psychic Equivalent Epilepsy,MeSH,Central Nervous System Diseases
12956,Psychoacoustical Disorder,MeSH,Neurologic Manifestations
12957,Psychoacoustical Disorders,MeSH,Neurologic Manifestations
12958,Psychogenic Headache,MeSH,Central Nervous System Diseases
12959,Psychogenic Headaches,MeSH,Central Nervous System Diseases
12960,Psychogenic Hearing Loss,MeSH,Neurologic Manifestations
12961,Psychogenic impotence,ICD,Diseases of the nervous system
12962,Psychogenic movement disorders,ICD,Diseases of the nervous system
12963,Psychological disorder related to obstetric fistula,ICD,Diseases of the nervous system
12964,Psychological or behavioural factors affecting disorders or diseases classified elsewhere,ICD,Diseases of the nervous system
12965,Psychological symptoms affecting disorders or diseases classified elsewhere,ICD,Diseases of the nervous system
12966,Psychomotor Agitation,MeSH,Neurologic Manifestations
12967,Psychomotor Disorders,MeSH,Neurologic Manifestations
12968,Psychomotor Epilepsy,MeSH,Central Nervous System Diseases
12969,Psychomotor Excitement,MeSH,Neurologic Manifestations
12970,Psychomotor Hyperactivity,MeSH,Neurologic Manifestations
12971,Psychomotor Restlessness,MeSH,Neurologic Manifestations
12972,Psychomotor symptoms in primary psychotic disorders,ICD,Diseases of the nervous system
12973,"Psychoses, Alcohol-Induced Amnestic",MeSH,Neurotoxicity Syndromes
12974,"Psychoses, Alcohol-Induced Dysmnesic",MeSH,Neurotoxicity Syndromes
12975,"Psychoses, Korsakoff",MeSH,Neurologic Manifestations
12976,Psychosine Lipidosis,MeSH,Demyelinating Diseases
12977,"Psychosis, Alcohol-Induced Amnestic",MeSH,Neurotoxicity Syndromes
12978,"Psychosis, Alcohol-Induced Dysmnesic",MeSH,Neurotoxicity Syndromes
12979,"Psychosis, Korsakoff",MeSH,Neurologic Manifestations
12980,Psychotic disorder induced by multiple specified psychoactive substances,ICD,Diseases of the nervous system
12981,Psychotic disorder induced by other specified psychoactive substance,ICD,Diseases of the nervous system
12982,Psychotic disorder induced by unknown or unspecified psychoactive substance,ICD,Diseases of the nervous system
12983,Psychotic symptoms in dementia,ICD,Diseases of the nervous system
12984,Pudendal Neuralgia,MeSH,Neuromuscular Diseases
12985,Pudendal Neuralgias,MeSH,Neuromuscular Diseases
12986,Pudendal Neuropathies,MeSH,Neuromuscular Diseases
12987,Pudendal Neuropathy,MeSH,Neuromuscular Diseases
12988,Puerperal postanaesthetic pneumonitis,ICD,Diseases of the nervous system
12989,Pulmonary autograft failure,ICD,Diseases of the nervous system
12990,Pulmonary complications of anaesthesia during pregnancy,ICD,Diseases of the nervous system
12991,Pulmonary complications of anaesthesia during the puerperium,ICD,Diseases of the nervous system
12992,Puncture wound or laceration of dura mater of lumbar spinal cord,ICD,Diseases of the nervous system
12993,Puncture wound with foreign body of cheek or temporomandibular area,ICD,Diseases of the nervous system
12994,Puncture wound with foreign body of ear,ICD,Diseases of the nervous system
12995,Puncture wound with foreign body of eyelid or periocular area,ICD,Diseases of the nervous system
12996,Puncture wound with foreign body of head,ICD,Diseases of the nervous system
12997,Puncture wound with foreign body of larynx,ICD,Diseases of the nervous system
12998,Puncture wound with foreign body of lip or oral cavity,ICD,Diseases of the nervous system
12999,Puncture wound with foreign body of neck,ICD,Diseases of the nervous system
13000,Puncture wound with foreign body of nose,ICD,Diseases of the nervous system
13001,Puncture wound with foreign body of pharynx or cervical oesophagus,ICD,Diseases of the nervous system
13002,Puncture wound with foreign body of thyroid gland,ICD,Diseases of the nervous system
13003,Puncture wound with foreign body of vocal cord,ICD,Diseases of the nervous system
13004,Puncture wound without foreign body of cheek or temporomandibular area,ICD,Diseases of the nervous system
13005,Puncture wound without foreign body of ear,ICD,Diseases of the nervous system
13006,Puncture wound without foreign body of eyelid or periocular area,ICD,Diseases of the nervous system
13007,Puncture wound without foreign body of head,ICD,Diseases of the nervous system
13008,Puncture wound without foreign body of larynx,ICD,Diseases of the nervous system
13009,Puncture wound without foreign body of lip or oral cavity,ICD,Diseases of the nervous system
13010,Puncture wound without foreign body of neck,ICD,Diseases of the nervous system
13011,Puncture wound without foreign body of nose,ICD,Diseases of the nervous system
13012,Puncture wound without foreign body of pharynx or cervical oesophagus,ICD,Diseases of the nervous system
13013,Puncture wound without foreign body of thyroid gland,ICD,Diseases of the nervous system
13014,Puncture wound without foreign body of vocal cord,ICD,Diseases of the nervous system
13015,Pupil Diameter Unequal,MeSH,Neurologic Manifestations
13016,Pupil Disorder,MeSH,Neurologic Manifestations
13017,Pupil Disorders,MeSH,Neurologic Manifestations
13018,"Pupil, Adie",MeSH,Neurologic Manifestations
13019,"Pupil, Adie's",MeSH,Neurologic Manifestations
13020,"Pupil, Constricted",MeSH,Neurologic Manifestations
13021,"Pupil, Myotonic",MeSH,Neurologic Manifestations
13022,"Pupil, Poorly Reacting",MeSH,Cranial Nerve Diseases
13023,"Pupil, Small",MeSH,Neurologic Manifestations
13024,"Pupil, Tonic",MeSH,Neurologic Manifestations
13025,Pupillary Disorder,MeSH,Neurologic Manifestations
13026,Pupillary Disorders,MeSH,Neurologic Manifestations
13027,Pupillary Mioses,MeSH,Neurologic Manifestations
13028,Pupillary Miosis,MeSH,Neurologic Manifestations
13029,Pupillary Size Inequality,MeSH,Neurologic Manifestations
13030,Pupillary involving oculomotor nerve palsy,ICD,Diseases of the nervous system
13031,Pupillary sparing oculomotor nerve palsy,ICD,Diseases of the nervous system
13032,Pupillotonia,MeSH,Neurologic Manifestations
13033,Pupillotonias,MeSH,Neurologic Manifestations
13034,"Pupils, Adie's",MeSH,Neurologic Manifestations
13035,"Pupils, Constricted",MeSH,Neurologic Manifestations
13036,"Pupils, Myotonic",MeSH,Neurologic Manifestations
13037,"Pupils, Poorly Reacting",MeSH,Cranial Nerve Diseases
13038,"Pupils, Small",MeSH,Neurologic Manifestations
13039,"Pupils, Tonic",MeSH,Neurologic Manifestations
13040,Puppet Children,MeSH,Central Nervous System Diseases
13041,Pure Alexia,MeSH,Neurologic Manifestations
13042,Pure Alexia Without Agraphia,MeSH,Neurologic Manifestations
13043,Pure Alexias,MeSH,Neurologic Manifestations
13044,Pure Autonomic Failure,MeSH,Autonomic Nervous System Diseases
13045,Pure Word Blindness,MeSH,Neurologic Manifestations
13046,Pure Word Blindnesses,MeSH,Neurologic Manifestations
13047,Pure X-linked spastic paraplegia type 2,ICD,Diseases of the nervous system
13048,Pure autonomic nervous system failure,ICD,Diseases of the nervous system
13049,Pure mitochondrial myopathy,ICD,Diseases of the nervous system
13050,Pure motor lacunar syndrome,ICD,Diseases of the nervous system
13051,Pure sensory lacunar syndrome,ICD,Diseases of the nervous system
13052,Purpura Fulminans (Waterhouse-Friderichsen Syndrome),MeSH,Central Nervous System Diseases
13053,Purulent labyrinthitis,ICD,Diseases of the nervous system
13054,Putamen Hemorrhage,MeSH,Central Nervous System Diseases
13055,Putaminal Hemorrhage,MeSH,Central Nervous System Diseases
13056,Putaminal haemorrhage,ICD,Diseases of the nervous system
13057,Pyogenic hydrocephalus,ICD,Diseases of the nervous system
13058,Pyomyositis,MeSH,Neuromuscular Diseases
13059,Pyrexial Convulsion,MeSH,Neurologic Manifestations
13060,Pyrexial Convulsions,MeSH,Neurologic Manifestations
13061,Pyrexial Seizure,MeSH,Neurologic Manifestations
13062,Pyrexial Seizures,MeSH,Neurologic Manifestations
13063,Pyridoxal dependent epilepsy,ICD,Diseases of the nervous system
13064,Pyridoxine dependent epilepsy with antiquitin mutations,ICD,Diseases of the nervous system
13065,Pyromania,ICD,Diseases of the nervous system
13066,Pyruvate Carboxylase Deficiency,MeSH,Central Nervous System Diseases
13067,Pyruvate Carboxylase Deficiency Disease,MeSH,Central Nervous System Diseases
13068,Pyruvate Decarboxylase Deficiency,MeSH,Neurologic Manifestations
13069,Pyruvate Dehydrogenase Complex Deficiency,MeSH,Neurologic Manifestations
13070,Pyruvate Dehydrogenase Complex Deficiency Disease,MeSH,Neurologic Manifestations
13071,Pyruvate Dehydrogenase Deficiency,MeSH,Neurologic Manifestations
13072,Quadriceps myopathy,ICD,Diseases of the nervous system
13073,Quadriplegia,MeSH,Neurologic Manifestations
13074,Quadriplegias,MeSH,Neurologic Manifestations
13075,Quantal Squander,MeSH,Neuromuscular Diseases
13076,RAVINE syndrome,ICD,Diseases of the nervous system
13077,REM Behavior Disorder,MeSH,Sleep Wake Disorders
13078,REM Behavior Disorders,MeSH,Sleep Wake Disorders
13079,REM Sleep Behavior Disorder,MeSH,Sleep Wake Disorders
13080,REM Sleep Parasomnia,MeSH,Sleep Wake Disorders
13081,REM Sleep Parasomnias,MeSH,Sleep Wake Disorders
13082,REM sleep behaviour disorder,ICD,Diseases of the nervous system
13083,RSD (Reflex Sympathetic Dystrophy),MeSH,Autonomic Nervous System Diseases
13084,RSDs (Reflex Sympathetic Dystrophy),MeSH,Autonomic Nervous System Diseases
13085,Radial Mononeuropathies,MeSH,Neuromuscular Diseases
13086,Radial Mononeuropathy,MeSH,Neuromuscular Diseases
13087,Radial Nerve Disease,MeSH,Neuromuscular Diseases
13088,Radial Nerve Diseases,MeSH,Neuromuscular Diseases
13089,Radial Neuropathies,MeSH,Neuromuscular Diseases
13090,Radial Neuropathy,MeSH,Neuromuscular Diseases
13091,Radial nerve paralysis,ICD,Diseases of the nervous system
13092,Radial nerve posterior interosseous syndrome,ICD,Diseases of the nervous system
13093,Radiation optic neuropathy,ICD,Diseases of the nervous system
13094,Radiculomyelopathy,ICD,Diseases of the nervous system
13095,Radiculopathies,MeSH,Neuromuscular Diseases
13096,Radiculopathy,MeSH|ICD,Diseases of the nervous system|Neuromuscular Diseases
13097,Radiculopathy due to compression,ICD,Diseases of the nervous system
13098,Radiculopathy due to electric shock or lightning,ICD,Diseases of the nervous system
13099,Radiculopathy due to intervertebral disc disorders,ICD,Diseases of the nervous system
13100,Radiculopathy due to metabolic disorders,ICD,Diseases of the nervous system
13101,Radiculopathy due to neoplastic disease,ICD,Diseases of the nervous system
13102,Radiculopathy due to nutritional deficiencies,ICD,Diseases of the nervous system
13103,Radiculopathy due to radiation injury,ICD,Diseases of the nervous system
13104,Radiculopathy due to spondylosis,ICD,Diseases of the nervous system
13105,Radiculopathy due to toxicity,ICD,Diseases of the nervous system
13106,"Radiculopathy, cervical region",ICD,Diseases of the nervous system
13107,"Radiculopathy, cervicothoracic region",ICD,Diseases of the nervous system
13108,"Radiculopathy, lumbar region",ICD,Diseases of the nervous system
13109,"Radiculopathy, lumbosacral region",ICD,Diseases of the nervous system
13110,"Radiculopathy, multiple sites in spine",ICD,Diseases of the nervous system
13111,"Radiculopathy, occipito-atlanto-axial region",ICD,Diseases of the nervous system
13112,"Radiculopathy, sacral or sacrococcygeal region",ICD,Diseases of the nervous system
13113,"Radiculopathy, thoracic region",ICD,Diseases of the nervous system
13114,"Radiculopathy, thoracolumbar region",ICD,Diseases of the nervous system
13115,Radiculoplexopathy,ICD,Diseases of the nervous system
13116,Raeder paratrigeminal syndrome,ICD,Diseases of the nervous system
13117,Ramsay Hunt Auricular Syndrome,MeSH,Cranial Nerve Diseases
13118,Ramsay Hunt Cerebellar Syndrome,MeSH,Central Nervous System Diseases
13119,Ramsay Hunt Dentate Syndrome,MeSH,Central Nervous System Diseases
13120,Ramsay Hunt Syndrome,MeSH,Cranial Nerve Diseases
13121,Ramsay Hunt cerebellar syndrome,ICD,Diseases of the nervous system
13122,Rape trauma syndrome,ICD,Diseases of the nervous system
13123,Rapid Eye Movement Sleep Behavior Disorder,MeSH,Sleep Wake Disorders
13124,Rapid Eye Movement Sleep Parasomnias,MeSH,Sleep Wake Disorders
13125,Rapid cycling,ICD,Diseases of the nervous system
13126,Rapid-onset dystonia-parkinsonism,ICD,Diseases of the nervous system
13127,Rare leukodystrophies,ICD,Diseases of the nervous system
13128,Raymond-Cestan syndrome,ICD,Diseases of the nervous system
13129,Raynaud phenomenon,ICD,Diseases of the nervous system
13130,Raynaud phenomenon caused or exacerbated by occupation,ICD,Diseases of the nervous system
13131,Raynaud phenomenon due to nonorgan specific systemic autoimmune disorder,ICD,Diseases of the nervous system
13132,Raynaud phenomenon due to other specified disorder,ICD,Diseases of the nervous system
13133,"Reaction, Echo",MeSH,Neurologic Manifestations
13134,"Reaction, Meningitis-Like",MeSH,Neurologic Manifestations
13135,"Reactions, Echo",MeSH,Neurologic Manifestations
13136,"Reactions, Meningitis-Like",MeSH,Neurologic Manifestations
13137,Reactive attachment disorder,ICD,Diseases of the nervous system
13138,"Reading Disabilities, Acquired",MeSH,Neurologic Manifestations
13139,"Reading Disability, Acquired",MeSH,Neurologic Manifestations
13140,Reading Disorder,MeSH,Neurologic Manifestations
13141,Reading Disorders,MeSH,Neurologic Manifestations
13142,Reading epilepsy,ICD,Diseases of the nervous system
13143,Receptive dysphasia,ICD,Diseases of the nervous system
13144,"Receptor Encephalitides, Anti-NMDA",MeSH,Central Nervous System Diseases
13145,"Receptor Encephalitis, Anti-NMDA",MeSH,Central Nervous System Diseases
13146,Recessive axonal Charcot-Marie-Tooth disease with acrodystrophy,ICD,Diseases of the nervous system
13147,Recessive intermediate Charcot-Marie-Tooth disease,ICD,Diseases of the nervous system
13148,Recessive intermediate Charcot-Marie-Tooth disease type A,ICD,Diseases of the nervous system
13149,Recessive intermediate Charcot-Marie-Tooth disease type B,ICD,Diseases of the nervous system
13150,Recessive limb-girdle muscular dystrophy,ICD,Diseases of the nervous system
13151,Recklinghausen Disease of Nerve,MeSH,Neurocutaneous Syndromes
13152,"Recklinghausen Disease, Nerve",MeSH,Neurocutaneous Syndromes
13153,Recklinghausen's Disease of Nerve,MeSH,Neurocutaneous Syndromes
13154,Recklinghausens Disease of Nerve,MeSH,Neurocutaneous Syndromes
13155,"Recognition Agnosia, Facial",MeSH,Neurologic Manifestations
13156,"Recognition Agnosias, Facial",MeSH,Neurologic Manifestations
13157,"Recruitment, Loudness",MeSH,Neurologic Manifestations
13158,Rectus abdominis syndrome,ICD,Diseases of the nervous system
13159,Recurrent Laryngeal Nerve Injuries,MeSH,Cranial Nerve Diseases
13160,Recurrent Laryngeal Nerve Injury,MeSH,Cranial Nerve Diseases
13161,Recurrent Laryngeal Nerve Trauma,MeSH,Cranial Nerve Diseases
13162,"Recurrent Laryngeal Neuropathy, Traumatic",MeSH,Cranial Nerve Diseases
13163,"Recurrent Vertigo, Benign",MeSH,Neurologic Manifestations
13164,"Recurrent Vertigos, Benign",MeSH,Neurologic Manifestations
13165,Recurrent compression of laryngeal nerve,ICD,Diseases of the nervous system
13166,Recurrent depressive disorder,ICD,Diseases of the nervous system
13167,"Recurrent depressive disorder, current episode mild",ICD,Diseases of the nervous system
13168,"Recurrent depressive disorder, current episode mild, current episode perinatal",ICD,Diseases of the nervous system
13169,"Recurrent depressive disorder, current episode mild, with melancholia",ICD,Diseases of the nervous system
13170,"Recurrent depressive disorder, current episode mild, with melancholia and seasonal pattern",ICD,Diseases of the nervous system
13171,"Recurrent depressive disorder, current episode mild, with melancholia and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13172,"Recurrent depressive disorder, current episode mild, with melancholia, current episode perinatal",ICD,Diseases of the nervous system
13173,"Recurrent depressive disorder, current episode mild, with prominent anxiety symptoms",ICD,Diseases of the nervous system
13174,"Recurrent depressive disorder, current episode mild, with prominent anxiety symptoms and melancholia",ICD,Diseases of the nervous system
13175,"Recurrent depressive disorder, current episode mild, with prominent anxiety symptoms and melancholia, current episode perinatal",ICD,Diseases of the nervous system
13176,"Recurrent depressive disorder, current episode mild, with prominent anxiety symptoms and seasonal pattern",ICD,Diseases of the nervous system
13177,"Recurrent depressive disorder, current episode mild, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
13178,"Recurrent depressive disorder, current episode mild, with prominent anxiety symptoms, current episode perinatal",ICD,Diseases of the nervous system
