,Neurological Disease,Disease Class,Source
2314,Autistic Spectrum Disorder,Psychiatry and Psychology Category,MeSH
2315,Autistic Spectrum Disorders,Psychiatry and Psychology Category,MeSH
2316,"Disorder, Autistic Spectrum",Psychiatry and Psychology Category,MeSH
2317,"Disorder, Panic",Psychiatry and Psychology Category,MeSH
2318,"Disorders, Panic",Psychiatry and Psychology Category,MeSH
2319,Panic Disorders,Psychiatry and Psychology Category,MeSH
2320,Panic Attacks,Psychiatry and Psychology Category,MeSH
2321,"Attack, Panic",Psychiatry and Psychology Category,MeSH
2322,"Attacks, Panic",Psychiatry and Psychology Category,MeSH
2323,Panic Attack,Psychiatry and Psychology Category,MeSH
2324,"Disorder, Phobic",Psychiatry and Psychology Category,MeSH
2325,Phobic Disorder,Psychiatry and Psychology Category,MeSH
2326,"Neuroses, Phobic",Psychiatry and Psychology Category,MeSH
2327,Phobic Neuroses,Psychiatry and Psychology Category,MeSH
2328,Phobias,Psychiatry and Psychology Category,MeSH
2329,Phobia,Psychiatry and Psychology Category,MeSH
2330,"Phobia, School",Psychiatry and Psychology Category,MeSH
2331,School Phobia,Psychiatry and Psychology Category,MeSH
2332,Scolionophobia,Psychiatry and Psychology Category,MeSH
2333,Claustrophobia,Psychiatry and Psychology Category,MeSH
2334,"Disorder, Phobic",Psychiatry and Psychology Category,MeSH
2335,Phobic Disorder,Psychiatry and Psychology Category,MeSH
2336,"Neuroses, Phobic",Psychiatry and Psychology Category,MeSH
2337,Phobic Neuroses,Psychiatry and Psychology Category,MeSH
2338,Phobias,Psychiatry and Psychology Category,MeSH
2339,Phobia,Psychiatry and Psychology Category,MeSH
2340,"Phobia, School",Psychiatry and Psychology Category,MeSH
2341,School Phobia,Psychiatry and Psychology Category,MeSH
2342,Scolionophobia,Psychiatry and Psychology Category,MeSH
2343,Claustrophobia,Psychiatry and Psychology Category,MeSH
2344,"Disorder, Borderline Personality",Psychiatry and Psychology Category,MeSH
2345,Borderline Personality Disorders,Psychiatry and Psychology Category,MeSH
2346,"Disorders, Borderline Personality",Psychiatry and Psychology Category,MeSH
2347,"Personality Disorders, Borderline",Psychiatry and Psychology Category,MeSH
2348,"Personality Disorder, Borderline",Psychiatry and Psychology Category,MeSH
2349,"Personality Disorder, Narcissistic",Psychiatry and Psychology Category,MeSH
2350,Malignant Narcissism,Psychiatry and Psychology Category,MeSH
2351,Malignant Narcissisms,Psychiatry and Psychology Category,MeSH
2352,"Narcissism, Malignant",Psychiatry and Psychology Category,MeSH
2353,"Narcissisms, Malignant",Psychiatry and Psychology Category,MeSH
2354,Pathological Narcissism,Psychiatry and Psychology Category,MeSH
2355,"Narcissism, Pathological",Psychiatry and Psychology Category,MeSH
2356,"Narcissisms, Pathological",Psychiatry and Psychology Category,MeSH
2357,Pathological Narcissisms,Psychiatry and Psychology Category,MeSH
2358,Antisocial Personality Disorders,Psychiatry and Psychology Category,MeSH
2359,"Disorder, Antisocial Personality",Psychiatry and Psychology Category,MeSH
2360,"Disorders, Antisocial Personality",Psychiatry and Psychology Category,MeSH
2361,"Personality Disorders, Antisocial",Psychiatry and Psychology Category,MeSH
2362,Sociopathic Personality,Psychiatry and Psychology Category,MeSH
2363,"Personalities, Sociopathic",Psychiatry and Psychology Category,MeSH
2364,"Personality, Sociopathic",Psychiatry and Psychology Category,MeSH
2365,Sociopathic Personalities,Psychiatry and Psychology Category,MeSH
2366,Psychopathic Personality,Psychiatry and Psychology Category,MeSH
2367,"Personalities, Psychopathic",Psychiatry and Psychology Category,MeSH
2368,"Personality, Psychopathic",Psychiatry and Psychology Category,MeSH
2369,Psychopathic Personalities,Psychiatry and Psychology Category,MeSH
2370,Antisocial Personality,Psychiatry and Psychology Category,MeSH
2371,Antisocial Personalities,Psychiatry and Psychology Category,MeSH
2372,"Personalities, Antisocial",Psychiatry and Psychology Category,MeSH
2373,"Personality, Antisocial",Psychiatry and Psychology Category,MeSH
2374,"Personality Disorder, Antisocial",Psychiatry and Psychology Category,MeSH
2375,Dyssocial Behavior,Psychiatry and Psychology Category,MeSH
2376,"Behavior, Dyssocial",Psychiatry and Psychology Category,MeSH
2377,"Behaviors, Dyssocial",Psychiatry and Psychology Category,MeSH
2378,Dyssocial Behaviors,Psychiatry and Psychology Category,MeSH
2379,Antisocial Behavior,Psychiatry and Psychology Category,MeSH
2380,Antisocial Behaviors,Psychiatry and Psychology Category,MeSH
2381,"Behavior, Antisocial",Psychiatry and Psychology Category,MeSH
2382,"Behaviors, Antisocial",Psychiatry and Psychology Category,MeSH
2383,Deviant Behavior,Psychiatry and Psychology Category,MeSH
2384,"Behavior, Deviant",Psychiatry and Psychology Category,MeSH
2385,"Behaviors, Deviant",Psychiatry and Psychology Category,MeSH
2386,Deviant Behaviors,Psychiatry and Psychology Category,MeSH
2387,"Disorder, Dissociative",Psychiatry and Psychology Category,MeSH
2388,"Disorders, Dissociative",Psychiatry and Psychology Category,MeSH
2389,Dissociative Disorder,Psychiatry and Psychology Category,MeSH
2390,Dissociative Reaction,Psychiatry and Psychology Category,MeSH
2391,Dissociative Reactions,Psychiatry and Psychology Category,MeSH
2392,"Reaction, Dissociative",Psychiatry and Psychology Category,MeSH
2393,"Reactions, Dissociative",Psychiatry and Psychology Category,MeSH
2394,"Hysteria, Dissociative",Psychiatry and Psychology Category,MeSH
2395,Dissociative Hysteria,Psychiatry and Psychology Category,MeSH
2396,"Hysterias, Dissociative",Psychiatry and Psychology Category,MeSH
2397,Fugue,Psychiatry and Psychology Category,MeSH
2398,Dissociation,Psychiatry and Psychology Category,MeSH
2399,Substance Related Disorder,Diseases Category,MeSH
2400,"Disorder, Substance Related",Diseases Category,MeSH
2401,"Disorders, Substance Related",Diseases Category,MeSH
2402,"Related Disorder, Substance",Diseases Category,MeSH
2403,"Related Disorders, Substance",Diseases Category,MeSH
2404,Drug Use Disorders,Diseases Category,MeSH
2405,Drug Use Disorder,Diseases Category,MeSH
2406,"Disorder, Drug Use",Diseases Category,MeSH
2407,"Organic Mental Disorders, Substance-Induced",Diseases Category,MeSH
2408,"Organic Mental Disorders, Substance Induced",Diseases Category,MeSH
2409,Substance Abuse,Diseases Category,MeSH
2410,"Abuse, Substance",Diseases Category,MeSH
2411,Substance Abuses,Diseases Category,MeSH
2412,Substance Dependence,Diseases Category,MeSH
2413,"Dependence, Substance",Diseases Category,MeSH
2414,Substance Addiction,Diseases Category,MeSH
2415,"Addiction, Substance",Diseases Category,MeSH
2416,Chemical Dependence,Diseases Category,MeSH
2417,Chemical Dependences,Diseases Category,MeSH
2418,"Dependence, Chemical",Diseases Category,MeSH
2419,"Dependences, Chemical",Diseases Category,MeSH
2420,Drug Dependence,Diseases Category,MeSH
2421,"Dependence, Drug",Diseases Category,MeSH
2422,Drug Addiction,Diseases Category,MeSH
2423,"Addiction, Drug",Diseases Category,MeSH
2424,Prescription Drug Abuse,Diseases Category,MeSH
2425,"Abuse, Prescription Drug",Diseases Category,MeSH
2426,"Drug Abuse, Prescription",Diseases Category,MeSH
2427,Substance Use,Diseases Category,MeSH
2428,Substance Uses,Diseases Category,MeSH
2429,"Use, Substance",Diseases Category,MeSH
2430,Drug Abuse,Diseases Category,MeSH
2431,"Abuse, Drug",Diseases Category,MeSH
2432,Drug Habituation,Diseases Category,MeSH
2433,"Habituation, Drug",Diseases Category,MeSH
2434,Substance Use Disorders,Diseases Category,MeSH
2435,"Disorder, Substance Use",Diseases Category,MeSH
2436,Substance Use Disorder,Diseases Category,MeSH
2437,"Disorder, Somatoform",Psychiatry and Psychology Category,MeSH
2438,Somatoform Disorder,Psychiatry and Psychology Category,MeSH
2439,Medically Unexplained Syndromes,Psychiatry and Psychology Category,MeSH
2440,Medically Unexplained Syndrome,Psychiatry and Psychology Category,MeSH
2441,"Syndrome, Medically Unexplained",Psychiatry and Psychology Category,MeSH
2442,"Unexplained Syndrome, Medically",Psychiatry and Psychology Category,MeSH
2443,Somatization Disorder,Psychiatry and Psychology Category,MeSH
2444,Somatization Disorders,Psychiatry and Psychology Category,MeSH
2445,Briquet Syndrome,Psychiatry and Psychology Category,MeSH
2446,"Syndrome, Briquet",Psychiatry and Psychology Category,MeSH
2447,Pain Disorder,Psychiatry and Psychology Category,MeSH
2448,Impulse Control Disorders,Psychiatry and Psychology Category,MeSH
2449,"Disorders, Impulse Control",Psychiatry and Psychology Category,MeSH
2450,Impulse-Control Disorders,Psychiatry and Psychology Category,MeSH
2451,Intermittent Explosive Disorder,Psychiatry and Psychology Category,MeSH
2452,"Disorders, Intermittent Explosive",Psychiatry and Psychology Category,MeSH
2453,"Explosive Disorder, Intermittent",Psychiatry and Psychology Category,MeSH
2454,Intermittent Explosive Disorders,Psychiatry and Psychology Category,MeSH
2455,Kleptomania,Psychiatry and Psychology Category,MeSH
2456,"Disorder, Sleep Wake",Diseases Category,MeSH
2457,"Disorders, Sleep Wake",Diseases Category,MeSH
2458,Sleep Wake Disorder,Diseases Category,MeSH
2459,"Wake Disorder, Sleep",Diseases Category,MeSH
2460,"Wake Disorders, Sleep",Diseases Category,MeSH
2461,Subwakefullness Syndrome,Diseases Category,MeSH
2462,Subwakefullness Syndromes,Diseases Category,MeSH
2463,"Syndrome, Subwakefullness",Diseases Category,MeSH
2464,"Syndromes, Subwakefullness",Diseases Category,MeSH
2465,Sleep Disorders,Diseases Category,MeSH
2466,"Disorder, Sleep",Diseases Category,MeSH
2467,"Disorders, Sleep",Diseases Category,MeSH
2468,Sleep Disorder,Diseases Category,MeSH
2469,Sleep-Related Neurogenic Tachypnea,Diseases Category,MeSH
2470,"Neurogenic Tachypnea, Sleep-Related",Diseases Category,MeSH
2471,"Neurogenic Tachypneas, Sleep-Related",Diseases Category,MeSH
2472,Sleep Related Neurogenic Tachypnea,Diseases Category,MeSH
2473,Sleep-Related Neurogenic Tachypneas,Diseases Category,MeSH
2474,"Tachypnea, Sleep-Related Neurogenic",Diseases Category,MeSH
2475,"Tachypneas, Sleep-Related Neurogenic",Diseases Category,MeSH
2476,Long Sleeper Syndrome,Diseases Category,MeSH
2477,Long Sleeper Syndromes,Diseases Category,MeSH
2478,"Sleeper Syndrome, Long",Diseases Category,MeSH
2479,"Sleeper Syndromes, Long",Diseases Category,MeSH
2480,"Syndrome, Long Sleeper",Diseases Category,MeSH
2481,"Syndromes, Long Sleeper",Diseases Category,MeSH
2482,Short Sleeper Syndrome,Diseases Category,MeSH
2483,Short Sleeper Syndromes,Diseases Category,MeSH
2484,"Sleeper Syndrome, Short",Diseases Category,MeSH
2485,"Sleeper Syndromes, Short",Diseases Category,MeSH
2486,"Syndrome, Short Sleeper",Diseases Category,MeSH
2487,"Syndromes, Short Sleeper",Diseases Category,MeSH
2488,Short Sleep Phenotype,Diseases Category,MeSH
2489,"Phenotype, Short Sleep",Diseases Category,MeSH
2490,"Phenotypes, Short Sleep",Diseases Category,MeSH
2491,Short Sleep Phenotypes,Diseases Category,MeSH
2492,"Sleep Phenotypes, Short",Diseases Category,MeSH
2493,Reactive Disorders,Psychiatry and Psychology Category,MeSH
2494,"Disorder, Reactive",Psychiatry and Psychology Category,MeSH
2495,"Disorders, Reactive",Psychiatry and Psychology Category,MeSH
2496,Reactive Disorder,Psychiatry and Psychology Category,MeSH
2497,Adjustment Disorder,Psychiatry and Psychology Category,MeSH
2498,"Disorder, Adjustment",Psychiatry and Psychology Category,MeSH
2499,"Disorders, Adjustment",Psychiatry and Psychology Category,MeSH
2500,"Depression, Reactive",Psychiatry and Psychology Category,MeSH
2501,"Depressions, Reactive",Psychiatry and Psychology Category,MeSH
2502,Reactive Depression,Psychiatry and Psychology Category,MeSH
2503,Reactive Depressions,Psychiatry and Psychology Category,MeSH
2504,Anniversary Reaction,Psychiatry and Psychology Category,MeSH
2505,Anniversary Reactions,Psychiatry and Psychology Category,MeSH
2506,"Reaction, Anniversary",Psychiatry and Psychology Category,MeSH
2507,"Reactions, Anniversary",Psychiatry and Psychology Category,MeSH
2508,Transient Situational Disturbance,Psychiatry and Psychology Category,MeSH
2509,"Disturbance, Transient Situational",Psychiatry and Psychology Category,MeSH
2510,"Disturbances, Transient Situational",Psychiatry and Psychology Category,MeSH
2511,"Situational Disturbance, Transient",Psychiatry and Psychology Category,MeSH
2512,"Situational Disturbances, Transient",Psychiatry and Psychology Category,MeSH
2513,Transient Situational Disturbances,Psychiatry and Psychology Category,MeSH
2514,Epilepsies,Diseases Category,MeSH
2515,Seizure Disorder,Diseases Category,MeSH
2516,Seizure Disorders,Diseases Category,MeSH
2517,Awakening Epilepsy,Diseases Category,MeSH
2518,"Epilepsy, Awakening",Diseases Category,MeSH
2519,"Epilepsy, Cryptogenic",Diseases Category,MeSH
2520,Cryptogenic Epilepsies,Diseases Category,MeSH
2521,Cryptogenic Epilepsy,Diseases Category,MeSH
2522,"Epilepsies, Cryptogenic",Diseases Category,MeSH
2523,Aura,Diseases Category,MeSH
2524,Auras,Diseases Category,MeSH
2525,Strokes,Diseases Category,MeSH
2526,Cerebrovascular Accident,Diseases Category,MeSH
2527,Cerebrovascular Accidents,Diseases Category,MeSH
2528,CVA (Cerebrovascular Accident),Diseases Category,MeSH
2529,CVAs (Cerebrovascular Accident),Diseases Category,MeSH
2530,Cerebrovascular Apoplexy,Diseases Category,MeSH
2531,"Apoplexy, Cerebrovascular",Diseases Category,MeSH
2532,"Vascular Accident, Brain",Diseases Category,MeSH
2533,Brain Vascular Accident,Diseases Category,MeSH
2534,Brain Vascular Accidents,Diseases Category,MeSH
2535,"Vascular Accidents, Brain",Diseases Category,MeSH
2536,Cerebrovascular Stroke,Diseases Category,MeSH
2537,Cerebrovascular Strokes,Diseases Category,MeSH
2538,"Stroke, Cerebrovascular",Diseases Category,MeSH
2539,"Strokes, Cerebrovascular",Diseases Category,MeSH
2540,Apoplexy,Diseases Category,MeSH
2541,Cerebral Stroke,Diseases Category,MeSH
2542,Cerebral Strokes,Diseases Category,MeSH
2543,"Stroke, Cerebral",Diseases Category,MeSH
2544,"Strokes, Cerebral",Diseases Category,MeSH
2545,"Stroke, Acute",Diseases Category,MeSH
2546,Acute Stroke,Diseases Category,MeSH
2547,Acute Strokes,Diseases Category,MeSH
2548,"Strokes, Acute",Diseases Category,MeSH
2549,"Cerebrovascular Accident, Acute",Diseases Category,MeSH
2550,Acute Cerebrovascular Accident,Diseases Category,MeSH
2551,Acute Cerebrovascular Accidents,Diseases Category,MeSH
2552,"Cerebrovascular Accidents, Acute",Diseases Category,MeSH
2553,Alzheimer Dementia,Diseases Category,MeSH
2554,Alzheimer Dementias,Diseases Category,MeSH
2555,"Dementia, Alzheimer",Diseases Category,MeSH
2556,Alzheimer's Disease,Diseases Category,MeSH
2557,"Dementia, Senile",Diseases Category,MeSH
2558,Senile Dementia,Diseases Category,MeSH
2559,"Dementia, Alzheimer Type",Diseases Category,MeSH
2560,Alzheimer Type Dementia,Diseases Category,MeSH
2561,Alzheimer-Type Dementia (ATD),Diseases Category,MeSH
2562,Alzheimer Type Dementia (ATD),Diseases Category,MeSH
2563,"Dementia, Alzheimer-Type (ATD)",Diseases Category,MeSH
2564,Alzheimer Type Senile Dementia,Diseases Category,MeSH
2565,Primary Senile Degenerative Dementia,Diseases Category,MeSH
2566,"Dementia, Primary Senile Degenerative",Diseases Category,MeSH
2567,Alzheimer Sclerosis,Diseases Category,MeSH
2568,"Sclerosis, Alzheimer",Diseases Category,MeSH
2569,Alzheimer Syndrome,Diseases Category,MeSH
2570,Alzheimer's Diseases,Diseases Category,MeSH
2571,Alzheimer Diseases,Diseases Category,MeSH
2572,Alzheimers Diseases,Diseases Category,MeSH
2573,"Senile Dementia, Alzheimer Type",Diseases Category,MeSH
2574,Acute Confusional Senile Dementia,Diseases Category,MeSH
2575,"Senile Dementia, Acute Confusional",Diseases Category,MeSH
2576,"Dementia, Presenile",Diseases Category,MeSH
2577,Presenile Dementia,Diseases Category,MeSH
2578,"Alzheimer Disease, Late Onset",Diseases Category,MeSH
2579,Late Onset Alzheimer Disease,Diseases Category,MeSH
2580,"Alzheimer's Disease, Focal Onset",Diseases Category,MeSH
2581,Focal Onset Alzheimer's Disease,Diseases Category,MeSH
2582,Familial Alzheimer Disease (FAD),Diseases Category,MeSH
2583,"Alzheimer Disease, Familial (FAD)",Diseases Category,MeSH
2584,Familial Alzheimer Diseases (FAD),Diseases Category,MeSH
2585,"Alzheimer Disease, Early Onset",Diseases Category,MeSH
2586,Early Onset Alzheimer Disease,Diseases Category,MeSH
2587,Presenile Alzheimer Dementia,Diseases Category,MeSH
2588,Idiopathic Parkinson's Disease,Diseases Category,MeSH
2589,Lewy Body Parkinson's Disease,Diseases Category,MeSH
2590,"Parkinson's Disease, Idiopathic",Diseases Category,MeSH
2591,"Parkinson's Disease, Lewy Body",Diseases Category,MeSH
2592,"Parkinson Disease, Idiopathic",Diseases Category,MeSH
2593,Parkinson's Disease,Diseases Category,MeSH
2594,Idiopathic Parkinson Disease,Diseases Category,MeSH
2595,Lewy Body Parkinson Disease,Diseases Category,MeSH
2596,Primary Parkinsonism,Diseases Category,MeSH
2597,"Parkinsonism, Primary",Diseases Category,MeSH
2598,Paralysis Agitans,Diseases Category,MeSH
2599,"Sclerosis, Multiple",Diseases Category,MeSH
2600,"Sclerosis, Disseminated",Diseases Category,MeSH
2601,Disseminated Sclerosis,Diseases Category,MeSH
2602,MS (Multiple Sclerosis),Diseases Category,MeSH
2603,"Multiple Sclerosis, Acute Fulminating",Diseases Category,MeSH
2604,"Sclerosis, Amyotrophic Lateral",Diseases Category,MeSH
2605,Gehrig's Disease,Diseases Category,MeSH
2606,Gehrig Disease,Diseases Category,MeSH
2607,Gehrigs Disease,Diseases Category,MeSH
2608,Charcot Disease,Diseases Category,MeSH
2609,"Motor Neuron Disease, Amyotrophic Lateral Sclerosis",Diseases Category,MeSH
2610,Lou Gehrig's Disease,Diseases Category,MeSH
2611,Lou-Gehrigs Disease,Diseases Category,MeSH
2612,"Disease, Lou-Gehrigs",Diseases Category,MeSH
2613,ALS - Amyotrophic Lateral Sclerosis,Diseases Category,MeSH
2614,ALS Amyotrophic Lateral Sclerosis,Diseases Category,MeSH
2615,Lou Gehrig Disease,Diseases Category,MeSH
2616,"Amyotrophic Lateral Sclerosis, Guam Form",Diseases Category,MeSH
2617,Amyotrophic Lateral Sclerosis-Parkinsonism-Dementia Complex 1,Diseases Category,MeSH
2618,Amyotrophic Lateral Sclerosis Parkinsonism Dementia Complex 1,Diseases Category,MeSH
2619,Guam Form of Amyotrophic Lateral Sclerosis,Diseases Category,MeSH
2620,Guam Disease,Diseases Category,MeSH
2621,"Disease, Guam",Diseases Category,MeSH
2622,"Amyotrophic Lateral Sclerosis, Parkinsonism-Dementia Complex of Guam",Diseases Category,MeSH
2623,"Amyotrophic Lateral Sclerosis, Parkinsonism Dementia Complex of Guam",Diseases Category,MeSH
2624,Amyotrophic Lateral Sclerosis With Dementia,Diseases Category,MeSH
2625,Dementia With Amyotrophic Lateral Sclerosis,Diseases Category,MeSH
2626,Huntington Chorea,Diseases Category,MeSH
2627,"Chorea, Huntington",Diseases Category,MeSH
2628,Huntington's Disease,Diseases Category,MeSH
2629,Chronic Progressive Hereditary Chorea (Huntington),Diseases Category,MeSH
2630,Huntington Chronic Progressive Hereditary Chorea,Diseases Category,MeSH
2631,"Progressive Chorea, Chronic Hereditary (Huntington)",Diseases Category,MeSH
2632,"Progressive Chorea, Hereditary, Chronic (Huntington)",Diseases Category,MeSH
2633,Huntington's Chorea,Diseases Category,MeSH
2634,"Chorea, Huntington's",Diseases Category,MeSH
2635,"Chorea, Chronic Progressive Hereditary (Huntington)",Diseases Category,MeSH
2636,"Huntington Disease, Late Onset",Diseases Category,MeSH
2637,Late-Onset Huntington Disease,Diseases Category,MeSH
2638,"Huntington Disease, Late-Onset",Diseases Category,MeSH
2639,Late Onset Huntington Disease,Diseases Category,MeSH
2640,Juvenile Huntington Disease,Diseases Category,MeSH
2641,Juvenile-Onset Huntington Disease,Diseases Category,MeSH
2642,Juvenile Onset Huntington Disease,Diseases Category,MeSH
2643,"Huntington Disease, Juvenile-Onset",Diseases Category,MeSH
2644,"Huntington Disease, Juvenile Onset",Diseases Category,MeSH
2645,"Huntington Disease, Juvenile",Diseases Category,MeSH
2646,Akinetic-Rigid Variant of Huntington Disease,Diseases Category,MeSH
2647,Akinetic Rigid Variant of Huntington Disease,Diseases Category,MeSH
2648,"Huntington Disease, Akinetic-Rigid Variant",Diseases Category,MeSH
2649,"Huntington Disease, Akinetic Rigid Variant",Diseases Category,MeSH
2650,Bell Palsies,Diseases Category,MeSH
2651,"Palsies, Bell",Diseases Category,MeSH
2652,"Palsy, Bell",Diseases Category,MeSH
2653,"Facial Neuropathy, Inflammatory, Acute",Diseases Category,MeSH
2654,"Facial Paralysis, Idiopathic",Diseases Category,MeSH
2655,"Facial Paralyses, Idiopathic",Diseases Category,MeSH
2656,Idiopathic Facial Paralyses,Diseases Category,MeSH
2657,Idiopathic Facial Paralysis,Diseases Category,MeSH
2658,"Paralyses, Idiopathic Facial",Diseases Category,MeSH
2659,"Paralysis, Idiopathic Facial",Diseases Category,MeSH
2660,"Inflammatory Facial Neuropathy, Acute",Diseases Category,MeSH
2661,Acute Inflammatory Facial Neuropathy,Diseases Category,MeSH
2662,"Facial Neuropathy, Idiopathic Acute",Diseases Category,MeSH
2663,Idiopathic Acute Facial Neuropathy,Diseases Category,MeSH
2664,Bell's Palsy,Diseases Category,MeSH
2665,Bell's Palsies,Diseases Category,MeSH
2666,Bells Palsy,Diseases Category,MeSH
2667,"Palsies, Bell's",Diseases Category,MeSH
2668,"Palsy, Bell's",Diseases Category,MeSH
2669,Acute Idiopathic Facial Neuropathy,Diseases Category,MeSH
2670,Herpetic Facial Paralysis,Diseases Category,MeSH
2671,"Facial Paralyses, Herpetic",Diseases Category,MeSH
2672,"Facial Paralysis, Herpetic",Diseases Category,MeSH
2673,Herpetic Facial Paralyses,Diseases Category,MeSH
2674,"Paralyses, Herpetic Facial",Diseases Category,MeSH
2675,"Paralysis, Herpetic Facial",Diseases Category,MeSH
2676,Peripheral Nervous System Disease,Diseases Category,MeSH
2677,PNS Diseases,Diseases Category,MeSH
2678,PNS Disease,Diseases Category,MeSH
2679,Peripheral Neuropathies,Diseases Category,MeSH
2680,"Neuropathy, Peripheral",Diseases Category,MeSH
2681,Peripheral Neuropathy,Diseases Category,MeSH
2682,PNS (Peripheral Nervous System) Diseases,Diseases Category,MeSH
2683,Peripheral Nerve Diseases,Diseases Category,MeSH
2684,"Nerve Disease, Peripheral",Diseases Category,MeSH
2685,"Nerve Diseases, Peripheral",Diseases Category,MeSH
2686,Peripheral Nerve Disease,Diseases Category,MeSH
2687,Peripheral Nervous System Disorders,Diseases Category,MeSH
2688,Guillain Barre Syndrome,Diseases Category,MeSH
2689,"Syndrome, Guillain-Barre",Diseases Category,MeSH
2690,Guillaine-Barre Syndrome,Diseases Category,MeSH
2691,Guillaine Barre Syndrome,Diseases Category,MeSH
2692,"Syndrome, Guillaine-Barre",Diseases Category,MeSH
2693,Guillain-Barré Syndrome,Diseases Category,MeSH
2694,Guillain Barré Syndrome,Diseases Category,MeSH
2695,Guillain-Barré Syndromes,Diseases Category,MeSH
2696,"Syndrome, Guillain-Barré",Diseases Category,MeSH
2697,Landry-Guillain-Barre Syndrome,Diseases Category,MeSH
2698,Landry Guillain Barre Syndrome,Diseases Category,MeSH
2699,"Syndrome, Landry-Guillain-Barre",Diseases Category,MeSH
2700,Acute Autoimmune Neuropathy,Diseases Category,MeSH
2701,Acute Autoimmune Neuropathies,Diseases Category,MeSH
2702,"Autoimmune Neuropathies, Acute",Diseases Category,MeSH
2703,"Autoimmune Neuropathy, Acute",Diseases Category,MeSH
2704,"Neuropathy, Acute Autoimmune",Diseases Category,MeSH
2705,Acute Infectious Polyneuritis,Diseases Category,MeSH
2706,"Infectious Polyneuritis, Acute",Diseases Category,MeSH
2707,"Polyneuritis, Acute Infectious",Diseases Category,MeSH
2708,"Guillain-Barre Syndrome, Familial",Diseases Category,MeSH
2709,Familial Guillain-Barre Syndrome,Diseases Category,MeSH
2710,Familial Guillain-Barre Syndromes,Diseases Category,MeSH
2711,"Guillain Barre Syndrome, Familial",Diseases Category,MeSH
2712,"Guillain-Barre Syndromes, Familial",Diseases Category,MeSH
2713,"Syndrome, Familial Guillain-Barre",Diseases Category,MeSH
2714,Acute Inflammatory Demyelinating Polyneuropathy,Diseases Category,MeSH
2715,Inflammatory Polyneuropathy Acute,Diseases Category,MeSH
2716,"Polyneuropathy Acute, Inflammatory",Diseases Category,MeSH
2717,Acute Inflammatory Demyelinating Polyradiculoneuropathy,Diseases Category,MeSH
2718,Acute Inflammatory Polyneuropathy,Diseases Category,MeSH
2719,Acute Inflammatory Polyneuropathies,Diseases Category,MeSH
2720,"Inflammatory Polyneuropathies, Acute",Diseases Category,MeSH
2721,"Inflammatory Polyneuropathy, Acute",Diseases Category,MeSH
2722,"Polyradiculoneuropathy, Acute Inflammatory",Diseases Category,MeSH
2723,Acute Inflammatory Polyradiculoneuropathies,Diseases Category,MeSH
2724,"Inflammatory Polyradiculoneuropathies, Acute",Diseases Category,MeSH
2725,"Polyradiculoneuropathies, Acute Inflammatory",Diseases Category,MeSH
2726,"Polyneuropathy, Inflammatory Demyelinating, Acute",Diseases Category,MeSH
2727,"Demyelinating Polyradiculoneuropathy, Acute Inflammatory",Diseases Category,MeSH
2728,"Polyneuropathy, Acute Inflammatory",Diseases Category,MeSH
2729,"Polyradiculoneuropathy, Acute Inflammatory Demyelinating",Diseases Category,MeSH
2730,"Inflammatory Demyelinating Polyradiculoneuropathy, Acute",Diseases Category,MeSH
2731,Acute Inflammatory Polyradiculoneuropathy,Diseases Category,MeSH
2732,CP (Cerebral Palsy),Diseases Category,MeSH
2733,"Cerebral Palsy, Dystonic-Rigid",Diseases Category,MeSH
2734,"Cerebral Palsies, Dystonic-Rigid",Diseases Category,MeSH
2735,"Cerebral Palsy, Dystonic Rigid",Diseases Category,MeSH
2736,Dystonic-Rigid Cerebral Palsies,Diseases Category,MeSH
2737,Dystonic-Rigid Cerebral Palsy,Diseases Category,MeSH
2738,"Cerebral Palsy, Mixed",Diseases Category,MeSH
2739,Mixed Cerebral Palsies,Diseases Category,MeSH
2740,Mixed Cerebral Palsy,Diseases Category,MeSH
2741,"Cerebral Palsy, Monoplegic, Infantile",Diseases Category,MeSH
2742,Monoplegic Infantile Cerebral Palsy,Diseases Category,MeSH
2743,"Infantile Cerebral Palsy, Monoplegic",Diseases Category,MeSH
2744,"Cerebral Palsy, Quadriplegic, Infantile",Diseases Category,MeSH
2745,Quadriplegic Infantile Cerebral Palsy,Diseases Category,MeSH
2746,"Infantile Cerebral Palsy, Quadriplegic",Diseases Category,MeSH
2747,"Cerebral Palsy, Rolandic Type",Diseases Category,MeSH
2748,Rolandic Type Cerebral Palsy,Diseases Category,MeSH
2749,"Cerebral Palsy, Congenital",Diseases Category,MeSH
2750,Congenital Cerebral Palsy,Diseases Category,MeSH
2751,Little Disease,Diseases Category,MeSH
2752,Little's Disease,Diseases Category,MeSH
2753,Spastic Diplegia,Diseases Category,MeSH
2754,"Diplegias, Spastic",Diseases Category,MeSH
2755,Spastic Diplegias,Diseases Category,MeSH
2756,"Diplegia, Spastic",Diseases Category,MeSH
2757,Monoplegic Cerebral Palsy,Diseases Category,MeSH
2758,"Cerebral Palsies, Monoplegic",Diseases Category,MeSH
2759,"Cerebral Palsy, Monoplegic",Diseases Category,MeSH
2760,Monoplegic Cerebral Palsies,Diseases Category,MeSH
2761,"Cerebral Palsy, Athetoid",Diseases Category,MeSH
2762,Athetoid Cerebral Palsy,Diseases Category,MeSH
2763,"Cerebral Palsies, Athetoid",Diseases Category,MeSH
